,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-25,Fri,3,Away,L 0–3,Luton Town,Chelsea,Y,CM,76,0,0,0,0,2,0,0,0,35,0,1,0,0.1,0.1,0.0,1,0,25,29,3,21,0,0,0,483,49,7,7,16,17,1,2,0.0,0,1,0,0,25,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,15,2,85.0,26.0,0,0,2,0,23,0,0,5,0,5.0,1.2,0.0,2023-08-25 19:00:00+00:00,76,0,3,0,14286,10.0,2,-2316,692,3008,50,2023-08-25
1,2023-09-01,Fri,4,Home,L 1–2,Luton Town,West Ham,Y,CM,70,0,0,0,0,2,0,0,0,36,0,1,1,0.2,0.2,0.3,5,0,22,29,5,16,1,3,3,451,171,8,10,7,9,6,8,0.3,4,5,0,0,21,8,2,0,0,5,2,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,4,16,18,1,102.0,30.0,0,0,1,3,21,1,0,12,0,59.8,7.7,10.2,2023-09-01 19:00:00+00:00,70,0,4,0,13503,7.0,2,-1279,856,2135,50,2023-09-01
2,2023-10-07,Sat,8,Home,L 0–1,Luton Town,Tottenham,N,CB,10,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,10,13,0,5,0,0,0,198,57,2,2,6,7,1,2,0.0,0,1,0,0,12,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,1,0,17.0,7.0,0,0,0,1,9,0,0,1,0,0.4,0.0,0.0,2023-10-07 11:30:00+00:00,9,0,8,0,8209,0.0,1,-783,159,942,49,2023-10-07
3,2023-10-21,Sat,9,Away,D 2–2,Luton Town,Nott'ham Forest,N,CM,19,0,0,0,0,0,0,0,0,23,0,1,0,0.0,0.0,0.0,3,2,19,22,5,13,2,1,0,260,86,6,7,8,8,0,1,0.0,0,2,3,0,20,2,0,0,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,15,5,0,142.0,67.0,1,0,0,1,15,1,0,2,0,1.6,0.1,0.0,2023-10-21 14:00:00+00:00,18,0,9,0,7908,0.0,1,-382,176,558,49,2023-10-21
4,2023-10-29,Sun,10,Away,L 1–3,Luton Town,Aston Villa,Y,CM,90,0,0,0,0,4,1,0,0,47,2,1,1,0.2,0.2,0.1,2,0,29,38,4,27,1,3,2,511,129,16,17,10,11,2,5,0.0,1,1,0,0,30,6,2,0,1,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,1,2,1,1,0,1,0,1,7,31,10,2,143.0,66.0,0,0,0,1,30,0,0,15,0,12.3,6.0,18.2,2023-10-29 14:00:00+00:00,90,0,10,0,7595,29.0,2,-338,116,454,49,2023-10-29
5,2023-11-05,Sun,11,Home,D 1–1,Luton Town,Liverpool,Y,CM,90,0,0,0,0,2,1,0,0,54,3,1,1,0.0,0.0,0.0,1,1,29,40,5,25,2,4,3,445,182,13,16,12,16,1,4,0.0,0,5,0,0,36,4,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,1,3,2,1,0,5,0,4,22,23,11,1,168.0,81.0,1,0,3,0,31,2,0,20,0,4.4,4.1,26.2,2023-11-05 16:30:00+00:00,90,0,11,0,7606,10.0,2,-61,292,353,49,2023-11-05
6,2023-11-11,Sat,12,Away,L 0–1,Luton Town,Manchester Utd,Y,CM,90,0,0,0,0,2,0,0,0,52,0,1,1,0.1,0.1,0.1,2,0,37,44,3,30,2,2,1,681,178,16,17,15,17,5,7,0.0,2,2,0,0,39,5,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,4,12,34,8,1,243.0,129.0,4,1,0,2,29,1,0,12,0,22.4,4.2,14.4,2023-11-11 15:00:00+00:00,90,0,12,0,7927,5.0,2,270,624,354,49,2023-11-11
7,2023-11-25,Sat,13,Home,W 2–1,Luton Town,Crystal Palace,Y,CM,90,0,0,0,0,1,0,1,0,53,3,0,0,0.0,0.0,0.0,2,1,37,43,5,32,1,3,1,851,301,12,15,14,15,9,10,0.1,0,7,1,0,42,1,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,2,2,0,0,2,0,2,16,29,8,0,176.0,68.0,0,0,0,0,31,1,0,7,0,7.0,2.0,11.4,2023-11-25 15:00:00+00:00,90,0,13,0,8065,2.0,1,66,624,558,49,2023-11-25
8,2023-12-02,Sat,14,Away,L 1–3,Luton Town,Brentford,Y,"CM,DM",90,0,0,0,0,3,0,0,0,60,0,1,1,0.1,0.1,0.0,3,0,31,46,4,22,1,3,2,526,126,16,22,12,15,3,9,0.0,1,1,1,0,35,11,4,0,0,6,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,17,26,17,2,202.0,105.0,0,0,0,4,27,1,0,16,0,12.1,3.6,13.0,2023-12-02 15:00:00+00:00,90,0,14,0,8314,11.0,5,215,667,452,49,2023-12-02
9,2023-12-05,Tue,15,Home,L 3–4,Luton Town,Arsenal,Y,CM,90,1,0,0,0,1,1,1,0,52,2,1,2,0.1,0.1,0.0,1,0,27,38,6,25,2,8,6,464,157,13,16,10,12,4,8,0.0,1,7,0,0,36,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,0,4,18,30,10,1,210.0,116.0,1,0,2,1,23,2,0,27,0,16.1,8.7,53.4,2023-12-05 20:15:00+00:00,90,0,15,0,8631,17.0,6,226,578,352,49,2023-12-05
