,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,D 1–1,West Ham,Bournemouth,Y,LW,90,0,0,0,0,2,1,0,0,42,1,0,2,0.1,0.1,0.1,4,0,21,30,4,26,3,4,1,268,82,12,17,7,9,0,1,0.3,2,3,1,0,30,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,2,0,0,0,8,17,18,4,175.0,102.0,2,1,3,0,31,9,0,7,0,27.0,6.0,9.2,2023-08-12 14:00:00+00:00,90,0,1,0,75884,24.0,2,0,0,0,60,2023-08-12
1,2023-08-20,Sun,2,Home,W 3–1,West Ham,Chelsea,Y,LW,68,0,0,0,0,3,0,0,0,24,1,0,0,0.1,0.1,0.0,0,0,12,16,0,19,2,4,2,150,33,6,7,3,6,1,1,0.0,0,0,1,1,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,1,5,10,9,0,133.0,47.0,2,1,2,1,19,7,0,2,0,4.8,1.1,0.6,2023-08-20 15:30:00+00:00,68,0,2,0,77420,6.0,2,-8815,4162,12977,60,2023-08-20
2,2023-08-26,Sat,3,Away,W 3–1,West Ham,Brighton,N,LM,52,0,1,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.7,7,1,25,29,7,21,5,7,3,296,101,18,20,5,7,1,1,0.2,4,2,4,0,29,0,0,0,0,2,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,1,0,1,1,0,1,10,9,21,6,151.0,102.0,0,3,1,1,22,7,0,21,0,44.9,9.1,30.4,2023-08-26 16:30:00+00:00,51,0,3,0,70373,16.0,4,-10178,4184,14362,59,2023-08-26
3,2023-09-01,Fri,4,Away,W 2–1,West Ham,Luton Town,Y,LW,71,0,0,0,0,5,1,0,0,52,1,1,0,0.2,0.2,0.0,2,0,26,37,3,35,5,4,1,369,22,17,17,5,8,3,5,0.0,0,0,0,0,34,1,1,1,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,7,18,28,6,317.0,143.0,4,2,3,1,38,14,0,3,1,7.6,4.2,0.2,2023-09-01 19:00:00+00:00,70,0,4,0,72328,34.0,3,-1149,7225,8374,59,2023-09-01
4,2023-09-16,Sat,5,Home,L 1–3,West Ham,Manchester City,N,LW,23,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,3,5,0,6,2,1,0,39,9,1,2,1,1,0,0,0.0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,0,98.0,34.0,2,0,0,0,6,2,0,3,0,0.3,0.3,2.2,2023-09-16 14:00:00+00:00,22,0,5,0,63828,0.0,1,-10115,1971,12086,59,2023-09-16
5,2023-09-30,Sat,7,Home,W 2–0,West Ham,Sheffield Utd,N,"LW,LM",19,0,0,0,0,1,1,0,0,15,0,0,1,0.1,0.1,0.1,3,0,10,12,3,14,2,0,0,123,40,6,7,3,3,0,0,0.1,1,0,3,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,8,4,133.0,44.0,2,3,0,2,11,2,0,3,0,11.0,4.3,5.4,2023-09-30 14:00:00+00:00,18,0,7,0,57389,27.0,1,-2803,3284,6087,58,2023-09-30
6,2023-10-08,Sun,8,Home,D 2–2,West Ham,Newcastle Utd,N,LW,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,5,7,0,4,0,0,0,31,4,4,4,0,0,0,0,0.0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,7.0,1.0,0,0,0,0,6,2,0,3,0,2.3,0.4,0.0,2023-10-08 13:00:00+00:00,15,0,8,0,54115,2.0,1,-3698,1553,5251,58,2023-10-08
7,2023-10-29,Sun,10,Home,L 0–1,West Ham,Everton,N,FW,34,0,0,0,0,1,1,1,0,33,0,0,1,0.0,0.0,0.0,2,0,21,25,0,25,3,5,2,327,4,12,14,9,10,0,0,0.0,2,0,0,0,25,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,19,4,167.0,47.0,1,1,1,1,27,8,0,-1,0,23.8,5.4,7.0,2023-10-29 13:00:00+00:00,33,0,10,0,49398,23.0,0,-2912,733,3645,57,2023-10-29
8,2023-11-04,Sat,11,Away,L 2–3,West Ham,Brentford,Y,LM,63,0,0,0,0,0,0,0,0,22,0,1,1,0.0,0.0,0.5,1,0,11,15,2,13,0,3,0,179,61,7,10,3,3,1,1,0.1,1,1,1,1,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,10,8,0,64.0,14.0,0,0,1,0,12,4,0,11,0,16.3,2.1,4.6,2023-11-04 15:00:00+00:00,63,0,11,0,47760,0.0,2,-1967,1272,3239,57,2023-11-04
9,2023-11-25,Sat,13,Away,W 2–1,West Ham,Burnley,N,LW,28,0,0,0,0,2,0,0,0,20,0,0,1,0.1,0.1,0.0,1,0,10,13,1,16,3,2,1,159,19,5,6,3,4,1,1,0.0,0,0,1,0,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,10,3,114.0,72.0,1,2,2,0,16,5,0,3,0,5.2,1.9,1.4,2023-11-25 15:00:00+00:00,27,0,13,0,47280,12.0,1,-400,1527,1927,56,2023-11-25
10,2023-12-10,Sun,16,Away,L 0–5,West Ham,Fulham,N,AM,26,0,0,0,0,2,1,0,0,16,0,0,0,0.4,0.4,0.0,1,0,8,10,1,10,0,4,1,122,11,3,3,4,6,0,0,0.0,0,0,0,0,9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,9,1,28.0,11.0,1,0,0,0,10,5,0,-3,0,1.2,2.1,2.2,2023-12-10 14:00:00+00:00,25,0,16,0,44826,18.0,1,-929,356,1285,56,2023-12-10
11,2023-12-28,Thu,19,Away,W 2–0,West Ham,Arsenal,N,LW,58,0,0,0,1,1,0,0,0,32,2,0,0,0.9,0.1,0.0,2,0,12,23,1,16,1,3,2,163,29,6,9,5,10,0,2,0.0,0,1,0,0,23,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,3,0,3,10,14,9,3,124.0,75.0,0,1,0,0,14,1,0,-5,0,6.8,4.5,11.4,2023-12-28 20:15:00+00:00,57,0,19,0,43151,27.0,-1,-541,258,799,56,2023-12-28
12,2024-01-02,Tue,20,Home,D 0–0,West Ham,Brighton,Y,LW,72,0,0,0,0,1,0,0,0,44,2,2,1,0.0,0.0,0.1,2,0,29,35,6,33,2,1,1,361,89,19,22,8,9,1,3,0.0,1,3,0,0,35,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,2,0,5,11,13,21,3,176.0,98.0,2,1,1,2,33,4,0,17,1,13.7,3.2,10.8,2024-01-02 19:30:00+00:00,72,0,20,0,42917,7.0,3,-393,439,832,56,2024-01-02
13,2022-08-07,Sun,1,Home,L 0–2,West Ham,Manchester City,N,"LM,LW",34,0,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.0,0,0,7,10,1,10,1,1,0,112,16,3,3,4,7,0,0,0.0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,9,1,37.0,25.0,1,0,1,0,14,3,0,0,0,1.0,2.0,2.2,2022-08-07 15:30:00+00:00,33,0,1,0,185141,17.0,1,0,0,0,60,2022-08-07
14,2022-08-14,Sun,2,Away,L 0–1,West Ham,Nott'ham Forest,Y,LW,90,0,0,0,0,3,1,0,0,44,1,0,2,0.1,0.1,0.4,12,0,28,34,2,31,8,10,4,399,34,17,17,10,13,1,3,0.3,4,0,1,0,31,3,0,0,0,4,2,0,0,7,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,3,11,31,7,348.0,222.0,3,5,0,2,35,19,0,10,0,50.0,9.0,23.6,2022-08-14 13:00:00+00:00,90,0,2,0,176951,16.0,2,-21526,11870,33396,60,2022-08-14
15,2022-08-21,Sun,3,Home,L 0–2,West Ham,Brighton,Y,LW,74,0,0,0,0,2,0,0,0,29,1,0,0,0.1,0.1,0.0,1,0,15,23,2,20,3,1,1,204,72,10,13,4,4,1,4,0.0,0,0,0,0,22,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,7,12,13,2,125.0,57.0,3,0,3,2,22,7,0,6,0,2.1,2.7,2.0,2022-08-21 13:00:00+00:00,74,0,3,0,193031,23.0,2,3807,42053,38246,60,2022-08-21
16,2022-08-28,Sun,4,Away,W 1–0,West Ham,Aston Villa,N,"LW,WB",45,0,0,0,0,1,0,0,0,27,1,0,0,0.1,0.1,0.0,1,0,17,22,1,16,2,3,2,291,45,7,8,9,11,1,3,0.0,1,0,1,1,21,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8,14,1,78.0,45.0,2,0,1,1,18,5,0,6,0,18.5,3.1,7.2,2022-08-28 13:00:00+00:00,45,0,4,0,150695,5.0,1,-45211,6698,51909,59,2022-08-28
17,2022-08-31,Wed,5,Home,D 1–1,West Ham,Tottenham,Y,AM,66,0,0,0,0,2,1,0,0,32,0,0,0,0.1,0.1,0.1,3,0,23,26,1,22,1,2,0,320,39,15,17,8,8,0,1,0.0,3,1,0,0,24,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16,0,120.0,52.0,1,0,2,0,26,5,0,7,0,32.9,5.7,9.0,2022-08-31 18:45:00+00:00,66,0,5,0,122118,15.0,2,-31644,3561,35205,58,2022-08-31
