,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-11,Fri,1,Home,L 0–3,Burnley,Manchester City,Y,CM,89,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,0,0,23,28,1,12,0,0,0,413,57,12,13,8,10,3,4,0.0,0,1,0,0,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,12,18,3,1,35.0,17.0,0,0,1,0,24,1,0,5,0,1.0,0.6,3.2,2023-08-11 19:00:00+00:00,90,0,1,0,13803,2.0,2,0,0,0,50,2023-08-11
1,2023-08-27,Sun,3,Home,L 1–3,Burnley,Aston Villa,Y,CM,67,0,0,0,0,0,0,1,0,34,1,0,0,0.0,0.0,0.0,1,0,25,27,0,22,0,1,0,341,67,13,15,10,10,0,0,0.0,1,1,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,2,10,13,11,1,65.0,10.0,0,1,2,2,25,4,0,1,0,15.3,2.3,3.2,2023-08-27 13:00:00+00:00,67,0,3,0,14433,4.0,1,-1830,345,2175,50,2023-08-27
2,2023-09-02,Sat,4,Home,L 2–5,Burnley,Tottenham,Y,CM,45,0,0,0,0,0,0,0,0,28,2,0,3,0.0,0.0,0.0,2,0,20,22,0,21,0,2,1,281,58,13,14,5,5,2,2,0.0,1,2,0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,1,2,0,0,3,10,14,4,0,76.0,12.0,1,0,0,1,18,0,0,8,0,12.3,2.5,12.2,2023-09-02 14:00:00+00:00,45,0,4,0,13132,0.0,1,-1592,248,1840,49,2023-09-02
3,2023-09-18,Mon,5,Away,D 1–1,Burnley,Nott'ham Forest,N,AM,28,0,0,0,0,0,0,0,0,23,1,0,2,0.0,0.0,0.0,0,0,11,17,3,12,2,1,1,143,42,8,10,3,5,0,1,0.0,0,1,0,0,16,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,3,8,13,5,77.0,30.0,0,2,1,0,12,4,0,5,0,1.5,1.9,7.8,2023-09-18 18:45:00+00:00,26,0,5,0,11907,10.0,1,-1367,174,1541,49,2023-09-18
4,2023-09-23,Sat,6,Home,L 0–1,Burnley,Manchester Utd,N,RM,18,0,0,0,0,1,0,0,0,17,0,0,0,0.2,0.2,0.0,1,0,14,16,3,8,1,1,1,185,25,11,12,3,4,0,0,0.0,0,1,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,2,40.0,21.0,1,0,0,0,15,3,0,3,0,2.8,1.2,0.0,2023-09-23 19:00:00+00:00,17,0,6,0,11338,9.0,1,-660,225,885,49,2023-09-23
5,2023-09-30,Sat,7,Away,L 0–2,Burnley,Newcastle Utd,Y,DM,87,0,0,0,0,1,0,0,0,50,2,1,1,0.1,0.1,0.1,3,0,33,38,1,27,1,0,0,519,91,13,13,18,23,1,1,0.1,2,1,1,0,37,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,2,0,5,20,22,9,2,125.0,52.0,1,0,1,1,34,0,0,13,0,23.6,4.7,17.0,2023-09-30 14:00:00+00:00,87,0,7,0,11078,6.0,2,-299,405,704,48,2023-09-30
6,2023-10-03,Tue,2,Away,W 2–1,Burnley,Luton Town,Y,RM,90,0,1,0,0,0,0,0,0,52,2,1,1,0.0,0.0,0.4,1,1,31,42,5,21,3,1,1,583,100,12,14,16,20,3,7,0.1,1,2,0,0,40,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,3,1,0,1,3,0,4,11,24,17,2,160.0,89.0,3,0,0,0,26,1,2,25,0,16.4,5.0,29.4,2023-10-03 18:30:00+00:00,90,0,7,0,11078,4.0,7,-299,405,704,48,2023-10-03
7,2023-10-07,Sat,8,Home,L 1–4,Burnley,Chelsea,Y,RM,90,0,0,0,0,1,0,0,0,44,1,0,0,0.0,0.0,0.0,1,0,36,39,2,31,1,0,0,666,128,15,17,15,15,5,6,0.0,0,1,0,0,35,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,2,14,26,4,1,165.0,97.0,1,0,0,2,32,0,0,8,0,4.3,1.0,0.8,2023-10-07 14:00:00+00:00,90,0,8,0,12595,5.0,2,1261,2199,938,48,2023-10-07
8,2023-10-21,Sat,9,Away,L 0–3,Burnley,Brentford,Y,DM,65,0,0,0,0,0,0,1,0,27,1,0,2,0.0,0.0,0.0,0,0,13,16,1,11,1,2,1,205,18,6,6,4,4,1,2,0.0,0,0,0,0,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,4,9,11,7,0,58.0,18.0,3,0,1,2,14,2,0,0,0,1.2,0.9,7.8,2023-10-21 14:00:00+00:00,65,0,9,0,12999,0.0,1,365,1384,1019,48,2023-10-21
9,2023-10-28,Sat,10,Away,L 1–2,Burnley,Bournemouth,N,"CM,DM",31,0,0,0,0,2,1,0,0,34,0,2,2,0.5,0.5,0.0,0,0,26,27,3,23,0,1,1,428,115,13,14,9,9,3,3,0.0,0,2,0,0,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,19,5,2,174.0,66.0,0,0,0,1,24,1,0,1,0,1.1,3.1,6.0,2023-10-28 14:00:00+00:00,30,0,10,0,12650,24.0,1,-370,972,1342,48,2023-10-28
