,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,LW,76,0,1,0,0,3,1,0,0,24,0,0,1,0.5,0.5,0.1,3,1,12,15,2,18,3,1,1,147,38,8,8,2,3,1,2,0.1,2,1,1,0,15,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,5,8,13,3,211.0,147.0,3,0,2,1,17,6,0,13,1,21.9,6.8,22.8,2021-08-15 15:30:00+00:00,76,0,1,0,18514,23.0,6,0,0,0,60,2021-08-15
1,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,LW,89,0,0,0,0,2,2,0,0,38,0,0,0,0.1,0.1,0.5,4,0,20,25,1,23,3,4,2,210,51,14,15,3,4,0,1,0.1,2,1,0,0,25,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,5,14,20,6,177.0,97.0,2,2,3,6,30,7,0,5,1,23.2,6.9,12.0,2021-08-22 13:00:00+00:00,90,0,2,0,53698,34.0,3,19646,26563,6917,60,2021-08-22
2,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,LW,67,0,0,0,0,2,0,0,0,36,1,1,2,0.2,0.2,0.0,3,1,21,25,3,21,4,2,1,238,55,10,11,6,8,0,1,0.1,0,1,2,0,24,1,0,0,0,3,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,1,0,1,4,8,24,4,152.0,91.0,0,2,2,0,25,6,0,18,1,4.1,4.8,3.8,2021-08-29 13:00:00+00:00,67,0,3,0,73146,40.0,6,14304,27789,13485,60,2021-08-29
3,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,N,RW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,1,0,1,0,0,3,0,0.0,0.0,0.0,2021-10-24 13:00:00+00:00,1,0,9,0,28913,0.0,1,-668,565,1233,59,2021-10-24
4,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,N,RW,37,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,12,14,2,11,2,0,0,165,32,9,10,2,2,1,1,0.1,0,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,7,8,0,67.0,46.0,1,0,1,0,11,3,0,2,0,2.1,0.2,0.0,2021-10-30 16:30:00+00:00,36,0,10,0,28477,0.0,1,-835,540,1375,59,2021-10-30
5,2021-12-02,Thu,14,Home,W 2–0,Tottenham,Brentford,N,FW,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,0,2,0,0,0,36,0,3,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2.0,0.0,0,0,0,0,2,0,0,3,0,0.2,0.0,0.0,2021-12-02 19:30:00+00:00,3,0,14,0,28581,0.0,1,-142,473,615,59,2021-12-02
6,2021-12-05,Sun,15,Home,W 3–0,Tottenham,Norwich City,N,AM,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,0,4,0,0,0,36,14,5,5,0,0,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,3,2,1,0,26.0,2.0,0,0,0,1,5,0,0,2,0,0.3,0.2,1.4,2021-12-05 14:00:00+00:00,10,0,15,0,28339,0.0,1,-347,586,933,59,2021-12-05
7,2021-12-26,Sun,19,Home,W 3–0,Tottenham,Crystal Palace,N,FW,27,0,0,0,0,2,1,0,0,13,0,0,0,0.0,0.0,0.0,3,0,5,7,0,11,1,1,0,70,25,3,5,0,0,1,1,0.1,1,0,0,0,6,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,80.0,20.0,2,0,3,1,13,3,0,2,0,15.6,4.8,5.0,2021-12-26 15:00:00+00:00,26,0,19,0,28638,27.0,1,348,921,573,59,2021-12-26
8,2022-01-19,Wed,17,Away,W 3–2,Tottenham,Leicester City,N,AM,12,2,0,0,0,2,2,1,0,14,0,0,0,0.4,0.4,0.0,2,1,8,9,1,8,1,2,1,74,26,7,7,1,1,0,0,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,5,32.0,13.0,1,1,2,0,12,7,3,38,0,14.1,12.4,67.6,2022-01-19 19:30:00+00:00,11,0,22,0,26508,42.0,13,-885,119,1004,59,2022-01-19
9,2022-01-23,Sun,23,Away,L 0–2,Tottenham,Chelsea,Y,"FW,LW,AM",90,0,0,0,0,2,1,0,0,26,0,0,0,0.3,0.3,0.0,1,0,10,13,2,18,3,4,3,163,43,7,8,2,2,1,1,0.0,0,2,0,0,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,14,9,2,148.0,69.0,1,0,7,2,23,4,0,4,0,2.3,2.7,5.0,2022-01-23 16:30:00+00:00,90,0,23,0,31623,20.0,2,4522,5278,756,59,2022-01-23
