,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-01-21,Sun,21,Home,D 2–2,Sheffield Utd,West Ham,Y,LM,66,1,0,0,0,4,2,0,0,34,0,0,0,0.9,0.9,0.0,3,1,17,22,2,17,2,3,2,251,82,9,10,7,9,1,2,0.0,1,2,1,0,21,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,17,17,7,96.0,34.0,1,3,3,1,25,12,0,20,0,12.7,10.3,37.0,2024-01-21 14:00:00+00:00,66,0,21,0,1335,53.0,7,1240,1691,451,50,2024-01-21
1,2024-01-30,Tue,22,Away,L 2–3,Sheffield Utd,Crystal Palace,Y,LM,45,1,0,0,0,1,1,0,0,14,1,0,0,0.0,0.0,0.0,2,1,4,8,1,4,0,0,0,52,20,3,5,1,2,0,1,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,9,3,0,16.0,10.0,0,0,1,0,10,2,1,22,0,0.3,4.2,34.4,2024-01-30 20:00:00+00:00,45,0,22,0,8468,7.0,7,6699,7687,988,50,2024-01-30
2,2024-02-03,Sat,23,Home,L 0–5,Sheffield Utd,Aston Villa,Y,"LM,FW",64,0,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.0,0,0,7,9,2,7,2,1,1,94,29,6,6,1,2,0,0,0.0,0,1,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,4,2,76.0,39.0,0,2,2,1,7,0,0,3,0,0.8,2.5,5.6,2024-02-03 17:30:00+00:00,64,0,23,0,16624,19.0,2,8157,9538,1381,50,2024-02-03
3,2024-03-09,Sat,28,Away,D 2–2,Sheffield Utd,Bournemouth,Y,FW,79,0,0,0,0,1,1,1,0,28,1,0,1,0.0,0.0,0.0,1,0,13,21,3,24,3,3,2,146,31,12,15,1,1,0,1,0.0,0,2,1,0,21,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,5,9,15,3,192.0,109.0,2,3,2,1,24,8,0,3,0,3.3,3.4,9.2,2024-03-09 15:00:00+00:00,79,0,28,0,7576,21.0,1,-936,306,1242,50,2024-03-09
4,2024-03-30,Sat,30,Home,D 3–3,Sheffield Utd,Fulham,Y,FW,90,2,1,0,0,2,2,0,0,21,2,0,3,1.0,1.0,0.7,1,1,7,12,1,16,2,1,0,97,22,5,7,2,4,0,0,0.5,1,1,0,0,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,2,1,1,0,1,3,8,10,6,78.0,21.0,0,1,0,4,15,2,3,51,0,11.9,17.0,98.2,2024-03-30 15:00:00+00:00,90,0,30,0,6157,60.0,18,-488,218,706,50,2024-03-30
5,2024-04-04,Thu,31,Away,L 1–3,Sheffield Utd,Liverpool,Y,FW,62,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,0,4,4,2,6,0,2,0,63,34,2,2,2,2,0,0,0.0,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,1,19.0,1.0,1,0,2,1,7,4,0,4,0,10.3,1.6,3.6,2024-04-04 18:30:00+00:00,62,0,31,0,10037,2.0,2,3620,4323,703,50,2024-04-04
6,2024-04-07,Sun,32,Home,D 2–2,Sheffield Utd,Chelsea,Y,"FW,LW",90,0,0,0,0,2,0,1,0,20,0,0,0,0.3,0.3,0.2,1,0,10,13,1,18,1,2,0,130,31,8,10,2,3,0,0,0.3,1,1,1,1,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,13,3,64.0,22.0,2,1,2,0,19,7,0,5,0,15.3,3.0,2.4,2024-04-07 16:30:00+00:00,90,0,32,0,12380,12.0,1,2240,3209,969,50,2024-04-07
7,2024-04-13,Sat,33,Away,L 0–2,Sheffield Utd,Brentford,Y,FW,90,0,0,0,0,2,1,1,0,33,0,0,0,0.5,0.5,0.1,2,0,22,28,3,26,3,2,2,281,94,15,17,7,8,0,1,0.1,1,1,1,0,25,3,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,14,19,4,216.0,129.0,3,2,2,1,28,4,0,-1,0,14.6,4.3,4.8,2024-04-13 14:00:00+00:00,90,0,33,0,22772,24.0,1,9922,11659,1737,50,2024-04-13
8,2024-04-20,Sat,34,Home,L 1–4,Sheffield Utd,Burnley,Y,LW,90,0,0,0,0,4,3,0,0,48,2,2,2,0.7,0.7,0.0,7,0,25,30,9,25,4,3,0,382,123,15,15,6,9,3,3,0.1,1,3,2,0,29,1,0,0,0,1,1,0,0,5,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2,4,0,4,10,15,25,4,161.0,103.0,2,2,2,1,26,10,0,3,0,16.3,9.3,24.0,2024-04-20 14:00:00+00:00,90,0,34,0,84976,53.0,2,19562,22836,3274,50,2024-04-20
9,2024-04-24,Wed,29,Away,L 2–4,Sheffield Utd,Manchester Utd,Y,FW,90,1,0,0,0,4,2,0,0,36,2,0,1,0.4,0.4,0.0,1,0,13,22,2,11,1,3,0,172,45,9,12,4,5,0,1,0.0,0,2,0,0,21,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,1,4,0,4,5,18,13,4,81.0,41.0,1,1,1,2,20,3,0,20,0,1.3,9.0,45.6,2024-04-24 19:00:00+00:00,90,0,34,0,84976,43.0,7,19562,22836,3274,50,2024-04-24
