,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-30,Sat,7,Away,L 0–2,Sheffield Utd,West Ham,N,FW,12,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.1,1,0,5,5,0,3,0,1,0,57,0,4,4,1,1,0,0,0.0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,6,3,13.0,3.0,0,1,1,0,6,3,0,3,0,10.8,2.1,4.0,2023-09-30 14:00:00+00:00,11,0,7,0,3093,6.0,1,-237,77,314,49,2023-09-30
1,2023-10-07,Sat,8,Away,L 1–3,Sheffield Utd,Fulham,N,FW,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,0,4,0,0,0,6,0,1,1,0,1,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4.0,1.0,0,0,2,0,3,0,0,3,0,0.0,0.0,0.0,2023-10-07 14:00:00+00:00,11,0,8,0,3318,0.0,1,69,297,228,49,2023-10-07
2,2023-10-21,Sat,9,Home,L 1–2,Sheffield Utd,Manchester Utd,N,FW,39,0,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.0,0,0,4,8,1,6,1,1,0,51,17,2,2,1,4,0,0,0.0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,7,1,22.0,16.0,2,0,0,0,9,2,0,1,0,1.8,1.5,4.2,2023-10-21 19:00:00+00:00,38,0,9,0,3490,9.0,1,46,240,194,49,2023-10-21
3,2023-10-28,Sat,10,Away,L 0–5,Sheffield Utd,Arsenal,Y,FW,58,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,2,0,5,7,0,9,0,1,0,48,7,5,6,0,1,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7,7,2,18.0,1.0,0,1,2,1,10,3,0,1,0,0.3,1.0,3.2,2023-10-28 14:00:00+00:00,58,0,10,0,3800,6.0,1,179,386,207,49,2023-10-28
4,2023-11-04,Sat,11,Home,W 2–1,Sheffield Utd,Wolves,Y,FW,44,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,7,12,0,11,0,0,0,61,22,6,7,0,3,0,0,0.0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,13,3,23.0,15.0,2,0,2,0,12,3,0,2,0,1.6,0.8,0.4,2023-11-04 15:00:00+00:00,45,0,11,0,4331,6.0,1,392,679,287,49,2023-11-04
5,2023-12-26,Tue,19,Home,L 2–3,Sheffield Utd,Luton Town,N,LM,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,0,1,0,0,0,43,7,2,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0.0,0.0,0,0,0,0,2,1,0,3,0,0.5,0.1,0.2,2023-12-26 15:00:00+00:00,4,0,19,0,3215,0.0,1,-95,31,126,49,2023-12-26
6,2023-12-30,Sat,20,Away,L 0–2,Sheffield Utd,Manchester City,N,AM,24,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,1,4,0,0,0,90,53,0,0,3,4,1,1,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,0,0,11.0,4.0,0,0,0,0,5,0,0,3,0,0.1,0.3,2.4,2023-12-30 15:00:00+00:00,23,0,20,0,3235,0.0,1,-19,68,87,49,2023-12-30
7,2024-01-21,Sun,21,Home,D 2–2,Sheffield Utd,West Ham,N,CM,10,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,6,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,1,0,0,-7,0,0.1,0.0,0.0,2024-01-21 14:00:00+00:00,10,0,21,0,3304,0.0,-2,-30,138,168,49,2024-01-21
8,2024-02-10,Sat,24,Away,W 3–1,Sheffield Utd,Luton Town,N,FW,10,0,0,0,0,1,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,0,4,0,3,0,0,0,0,0,0,2,0,2,0,0,0.0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,16.0,8.0,0,0,0,2,4,0,0,-2,0,0.0,0.0,0.0,2024-02-10 15:00:00+00:00,9,0,24,0,3358,2.0,1,85,166,81,49,2024-02-10
9,2024-02-18,Sun,25,Home,L 0–5,Sheffield Utd,Brighton,N,FW,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,4,0,4,0,0,0,82,15,2,2,1,1,1,1,0.0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,13.0,4.0,0,0,1,0,3,1,0,3,0,0.4,0.1,0.2,2024-02-18 14:00:00+00:00,11,0,25,0,3468,0.0,1,34,174,140,49,2024-02-18
