,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,D 1–1,Bournemouth,West Ham,Y,RW,74,0,0,0,0,4,2,0,0,49,0,0,0,0.2,0.2,0.0,2,0,24,38,6,30,3,2,0,401,178,10,11,12,16,2,10,0.0,1,4,2,0,31,7,1,0,0,7,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,24,0,195.0,97.0,3,0,4,1,35,7,0,4,0,13.8,3.5,5.2,2023-08-12 14:00:00+00:00,74,0,1,0,8398,16.0,2,0,0,0,50,2023-08-12
1,2023-08-19,Sat,2,Away,L 1–3,Bournemouth,Liverpool,N,RW,15,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.3,4,0,9,10,0,4,0,0,0,122,47,7,7,1,1,1,2,0.2,2,0,0,0,8,2,0,1,0,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1,41.0,4.0,1,0,0,0,7,1,0,7,0,27.8,3.3,3.4,2023-08-19 14:00:00+00:00,14,0,2,0,9519,2.0,1,-135,1015,1150,50,2023-08-19
2,2023-08-26,Sat,3,Home,L 0–2,Bournemouth,Tottenham,N,"RW,RM",18,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,9,12,3,5,1,0,0,133,64,5,6,4,5,0,0,0.0,0,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,3,7,1,39.0,26.0,1,0,0,0,7,2,0,5,0,1.4,0.6,2.2,2023-08-26 11:30:00+00:00,17,0,3,0,8242,2.0,1,-1505,243,1748,50,2023-08-26
3,2023-09-02,Sat,4,Away,D 2–2,Bournemouth,Brentford,N,"RW,RM",31,1,0,0,0,2,1,0,0,10,0,0,1,1.0,1.0,0.0,1,1,2,4,0,5,0,1,1,35,0,1,2,1,1,0,1,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,4,2,2,34.0,10.0,0,0,1,0,3,1,2,23,0,0.1,7.4,35.0,2023-09-02 14:00:00+00:00,30,0,4,0,7352,39.0,8,-1055,287,1342,49,2023-09-02
4,2023-09-17,Sun,5,Home,D 0–0,Bournemouth,Chelsea,N,AM,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,2,4,1,4,0,0,0,18,12,1,1,0,1,0,1,0.0,1,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5.0,0.0,0,0,0,0,4,0,0,4,0,10.5,1.3,2.4,2023-09-17 13:00:00+00:00,1,0,5,0,10517,0.0,1,2226,3360,1134,49,2023-09-17
5,2023-09-24,Sun,6,Away,L 1–3,Bournemouth,Brighton,N,"RW,DM",9,0,0,0,0,1,0,1,0,8,1,0,0,0.3,0.3,0.1,3,0,5,6,3,4,0,0,0,52,37,5,5,0,0,0,1,0.0,1,2,2,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,5,3,1,14.0,9.0,0,0,0,0,3,0,0,-2,0,10.7,1.8,1.8,2023-09-24 13:00:00+00:00,8,0,6,0,10846,5.0,0,255,1304,1049,49,2023-09-24
6,2023-10-07,Sat,8,Away,L 0–3,Bournemouth,Everton,N,RM,24,0,0,0,0,0,0,0,0,14,0,1,1,0.0,0.0,0.0,1,0,6,10,0,9,1,0,0,144,73,2,3,2,3,2,2,0.0,0,1,1,1,9,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,6,5,0,59.0,22.0,1,0,1,0,9,4,0,3,0,4.3,0.7,2.4,2023-10-07 14:00:00+00:00,23,0,8,0,9892,0.0,1,-493,612,1105,49,2023-10-07
7,2023-10-21,Sat,9,Home,L 1–2,Bournemouth,Wolves,Y,RW,56,0,0,0,0,1,1,0,0,29,2,1,0,0.0,0.0,0.1,2,1,17,22,3,19,0,1,0,193,85,9,12,6,6,0,1,0.1,1,2,1,0,20,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,14,13,2,71.0,30.0,0,0,1,0,18,3,0,7,0,13.4,4.2,9.4,2023-10-21 14:00:00+00:00,56,0,9,0,9441,19.0,1,-534,372,906,49,2023-10-21
8,2023-11-25,Sat,13,Away,W 3–1,Bournemouth,Sheffield Utd,N,"RW,LW",9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,1,1,0,1,0,33,17,0,0,2,2,0,0,0.0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,21.0,0.0,1,0,0,0,3,1,0,2,0,0.3,0.1,0.2,2023-11-25 15:00:00+00:00,8,0,13,0,7699,0.0,1,-358,126,484,49,2023-11-25
9,2023-12-23,Sat,18,Away,W 3–2,Bournemouth,Nott'ham Forest,N,AM,10,0,0,0,0,1,0,0,0,6,1,0,0,0.2,0.2,0.0,1,0,2,3,0,2,0,1,0,25,0,2,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,1,30.0,8.0,1,0,0,0,5,2,0,-2,0,0.3,0.4,0.0,2023-12-23 15:00:00+00:00,9,0,18,0,6797,4.0,1,-230,47,277,48,2023-12-23
