,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-11,Fri,1,Home,L 0–3,Burnley,Manchester City,N,RM,30,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,6,2,4,3,0,0,55,21,2,3,2,2,0,0,0.0,0,0,2,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,2,53.0,37.0,1,1,1,0,6,3,0,0,0,0.6,0.7,0.0,2023-08-11 19:00:00+00:00,29,0,1,0,1516,9.0,1,0,0,0,50,2023-08-11
1,2023-08-27,Sun,3,Home,L 1–3,Burnley,Aston Villa,N,WB,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,8,0,6,0,0,0,105,11,5,5,0,0,1,1,0.0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,21.0,13.0,0,0,0,0,5,3,0,3,0,1.1,0.3,0.2,2023-08-27 13:00:00+00:00,9,0,3,0,1753,2.0,1,-194,35,229,50,2023-08-27
2,2023-09-02,Sat,4,Home,L 2–5,Burnley,Tottenham,N,"LM,AM",23,0,0,0,0,1,0,0,0,14,1,0,0,0.1,0.1,0.1,2,0,8,8,1,6,3,1,0,128,12,5,5,2,2,1,1,0.0,2,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,1,1,3,10,6,45.0,38.0,1,2,1,0,7,4,0,3,0,21.3,4.2,6.2,2023-09-02 14:00:00+00:00,22,0,4,0,1775,14.0,1,-129,54,183,49,2023-09-02
3,2023-09-23,Sat,6,Home,L 0–1,Burnley,Manchester Utd,N,RW,18,0,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.0,0,0,7,9,0,8,1,2,2,118,27,5,6,0,0,2,3,0.0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,1,42.0,26.0,0,0,0,0,8,3,0,3,0,0.6,3.8,4.4,2023-09-23 19:00:00+00:00,17,0,6,0,1694,33.0,1,-62,12,74,49,2023-09-23
4,2023-09-30,Sat,7,Away,L 0–2,Burnley,Newcastle Utd,N,RW,33,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,2,0,6,8,0,9,2,1,1,84,9,4,5,2,3,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,6,2,75.0,60.0,1,0,2,1,9,1,0,2,0,3.2,1.3,3.0,2023-09-30 14:00:00+00:00,32,0,7,0,1741,7.0,1,24,137,113,49,2023-09-30
5,2023-10-03,Tue,2,Away,W 2–1,Burnley,Luton Town,N,RW,16,1,0,0,0,1,1,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,14,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,18.0,13.0,0,0,0,0,1,1,0,24,0,0.3,4.0,33.0,2023-10-03 18:30:00+00:00,15,0,7,0,1741,7.0,6,24,137,113,49,2023-10-03
6,2023-10-07,Sat,8,Home,L 1–4,Burnley,Chelsea,N,LW,12,0,0,0,0,1,0,0,0,13,1,0,0,0.1,0.1,0.0,1,0,5,7,0,10,1,3,1,83,1,1,1,4,5,0,0,0.0,0,0,0,0,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,6,6,0,56.0,31.0,1,0,1,1,7,2,0,3,0,0.8,0.6,3.2,2023-10-07 14:00:00+00:00,11,0,8,0,2221,2.0,1,372,528,156,49,2023-10-07
7,2023-10-21,Sat,9,Away,L 0–3,Burnley,Brentford,N,RW,14,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,5,5,0,5,0,0,0,83,23,3,3,2,2,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,30.0,9.0,0,0,0,1,5,0,0,1,0,1.4,0.1,0.0,2023-10-21 14:00:00+00:00,14,0,9,0,2217,0.0,1,-7,184,191,49,2023-10-21
8,2023-10-28,Sat,10,Away,L 1–2,Burnley,Bournemouth,N,"RW,LW",23,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,12,14,1,14,0,3,1,149,22,5,7,5,5,0,0,0.0,1,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,2,89.0,11.0,0,1,0,0,16,6,0,3,0,11.6,1.9,3.4,2023-10-28 14:00:00+00:00,22,0,10,0,2225,4.0,1,-33,141,174,49,2023-10-28
9,2023-11-04,Sat,11,Home,L 0–2,Burnley,Crystal Palace,N,CM,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-11-04 15:00:00+00:00,1,0,11,0,2218,0.0,1,-29,123,152,49,2023-11-04
