,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-14,Mon,1,Home,L 0–2,Sheffield Utd,Wolves,Y*,FW,90,0,0,0,0,1,0,0,0,27,1,0,2,0.7,0.7,0.0,0,0,13,18,0,12,0,2,1,182,17,6,9,6,7,0,0,0.0,0,0,0,0,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,5,20,8,101.0,0.0,1,0,3,3,21,14,0,-4,0,3.0,2.7,1.4,2020-09-14 17:00:00+00:00,90,0,1,0,17568,23.0,2,0,0,0,60,2020-09-14
1,2020-09-27,Sun,3,Home,L 0–1,Sheffield Utd,Leeds United,N,FW,17,0,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,0,0,3,4,0,5,1,1,0,30,0,3,4,0,0,0,0,0.0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,32.0,11.0,0,2,2,0,6,2,0,1,0,0.1,2.1,2.0,2020-09-27 11:00:00+00:00,16,0,3,0,17103,19.0,1,-5336,1203,6539,59,2020-09-27
2,2020-10-04,Sun,4,Away,L 1–2,Sheffield Utd,Arsenal,N,FW,15,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,0,2,1,0,0,10,1,1,1,0,1,0,0,0.0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,26.0,15.0,0,1,0,0,3,3,0,2,0,1.5,0.4,0.0,2020-10-04 13:00:00+00:00,14,0,4,0,13929,2.0,1,-3619,377,3996,58,2020-10-04
3,2020-10-18,Sun,5,Home,D 1–1,Sheffield Utd,Fulham,N,CB,10,1,0,1,1,0,0,0,0,3,0,0,0,0.8,0.0,0.0,0,0,1,1,1,1,0,0,0,15,5,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1.0,0.0,0,0,0,0,2,2,2,26,0,0.3,5.1,33.2,2020-10-18 11:00:00+00:00,9,0,5,0,12462,17.0,7,-1828,465,2293,58,2020-10-18
4,2020-12-13,Sun,12,Away,L 0–3,Sheffield Utd,Southampton,Y*,FW,59,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,8,9,2,6,0,2,1,99,18,3,4,4,4,0,0,0.0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,8,1,22.0,3.0,0,0,1,2,9,2,0,-1,0,1.3,0.2,0.0,2020-12-13 12:00:00+00:00,59,0,12,0,9638,2.0,1,-287,98,385,56,2020-12-13
5,2021-01-12,Tue,18,Home,W 1–0,Sheffield Utd,Newcastle Utd,N,FW,33,1,0,1,1,0,0,1,0,15,0,0,0,0.8,0.0,0.0,1,0,3,8,1,7,1,0,0,43,18,2,4,1,3,0,0,0.0,1,1,0,0,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,8,2,34.0,10.0,0,0,4,3,12,4,1,22,0,10.4,6.1,31.4,2021-01-12 18:00:00+00:00,31,0,18,0,9179,19.0,5,-61,309,370,55,2021-01-12
6,2021-01-17,Sun,19,Home,L 1–3,Sheffield Utd,Tottenham,N,FW,17,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2021-01-17 14:00:00+00:00,16,0,19,0,10199,1.0,1,947,1413,466,55,2021-01-17
7,2021-01-27,Wed,20,Away,W 2–1,Sheffield Utd,Manchester Utd,Y*,FW,69,0,0,0,0,1,1,0,0,17,0,0,0,0.1,0.1,0.0,0,0,5,11,3,10,3,3,0,53,23,3,6,1,2,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10,7,1,68.0,40.0,1,1,1,1,12,4,0,-1,0,1.3,2.0,1.6,2021-01-27 20:15:00+00:00,69,0,20,0,10012,17.0,2,-116,499,615,55,2021-01-27
8,2021-01-30,Sat,21,Away,L 0–1,Sheffield Utd,Manchester City,N,FW,13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,1,0,2,3,0,2,0,0,0,9,2,1,1,0,0,0,0,0.0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6.0,0.0,1,0,0,1,4,2,0,3,0,11.3,1.5,2.0,2021-01-30 15:00:00+00:00,12,0,21,0,10141,2.0,1,74,469,395,55,2021-01-30
9,2021-02-02,Tue,22,Home,W 2–1,Sheffield Utd,West Brom,Y*,FW,85,1,0,0,0,2,1,0,0,24,3,0,0,0.5,0.5,0.0,0,0,8,13,1,14,1,0,0,105,6,4,5,3,5,0,0,0.0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,0,0,0,0,0,0,1,7,16,4,50.0,15.0,0,1,2,1,16,7,3,32,0,2.7,6.4,36.2,2021-02-02 18:00:00+00:00,85,0,22,0,10804,25.0,9,586,1035,449,55,2021-02-02
