,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Fulham,Everton,Y*,LM,57,0,0,0,0,1,0,0,0,44,0,0,1,0.0,0.0,0.0,3,0,32,39,3,36,0,0,0,431,83,22,24,7,8,2,3,0.1,1,2,1,0,36,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,29,13,1,162.0,62.0,1,0,0,4,36,2,0,4,0,12.4,1.6,0.4,2023-08-12 14:00:00+00:00,57,0,1,0,1191,3.0,1,0,0,0,50,2023-08-12
1,2023-08-26,Sat,3,Away,D 2–2,Fulham,Arsenal,N,"LM,CM",28,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,13,0,8,1,1,1,146,14,5,5,3,3,1,3,0.0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,1,50.0,35.0,1,1,0,0,10,0,0,4,0,1.4,0.5,1.4,2023-08-26 14:00:00+00:00,27,0,3,0,1540,2.0,1,-139,63,202,50,2023-08-26
2,2023-09-02,Sat,4,Away,L 1–5,Fulham,Manchester City,Y*,LM,15,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,0,5,0,0,0,70,9,4,4,1,1,0,1,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,9.0,8.0,0,0,0,0,7,1,0,3,0,0.2,0.0,0.0,2023-09-02 14:00:00+00:00,15,0,4,0,1474,0.0,1,-180,33,213,50,2023-09-02
3,2023-09-16,Sat,5,Home,W 1–0,Fulham,Luton Town,N,LM,10,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,12,1,4,1,0,0,119,27,8,9,3,3,0,0,0.0,0,3,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,4,0,26.0,7.0,0,0,0,0,10,0,0,3,0,1.5,0.3,1.0,2023-09-16 14:00:00+00:00,9,0,5,0,1297,0.0,1,-187,40,227,49,2023-09-16
4,2023-10-02,Mon,7,Home,L 0–2,Fulham,Chelsea,N,RM,26,0,0,0,0,0,0,0,0,30,0,0,3,0.0,0.0,0.6,2,0,23,24,2,19,0,1,0,349,74,17,18,4,4,2,2,0.4,2,2,0,0,24,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,6,14,10,1,64.0,9.0,0,0,2,1,25,1,0,5,0,26.5,3.8,9.6,2023-10-02 19:00:00+00:00,25,0,7,0,1368,2.0,1,6,71,65,49,2023-10-02
5,2023-10-07,Sat,8,Home,W 3–1,Fulham,Sheffield Utd,N,LM,20,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,1,1,12,13,3,11,0,1,0,189,23,2,2,9,10,0,0,0.0,0,1,0,0,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,11,1,56.0,9.0,1,1,0,0,12,1,0,10,0,2.3,0.5,0.0,2023-10-07 14:00:00+00:00,19,0,8,0,1459,3.0,4,31,125,94,49,2023-10-07
6,2023-10-23,Mon,9,Away,L 0–2,Fulham,Tottenham,N,DM,9,0,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,11,12,3,10,0,1,1,178,33,5,5,5,5,0,0,0.0,0,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,23.0,7.0,0,0,0,0,15,0,0,4,0,1.1,2.3,4.8,2023-10-23 19:00:00+00:00,8,0,9,0,1561,17.0,1,48,136,88,49,2023-10-23
7,2023-10-29,Sun,10,Away,D 1–1,Fulham,Brighton,N,"LW,DM",5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,1,3,0,0,0,63,42,2,2,0,0,1,1,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5.0,1.0,1,0,0,0,3,0,0,2,0,0.6,0.0,0.0,2023-10-29 14:00:00+00:00,4,0,10,0,1564,0.0,1,-18,70,88,49,2023-10-29
8,2023-11-04,Sat,11,Home,L 0–1,Fulham,Manchester Utd,N,AM,1,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,1,0,1,3,0,1,0,0,0,22,0,0,0,1,2,0,0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.1,1.0,2023-11-04 12:30:00+00:00,1,0,11,0,1655,0.0,1,66,145,79,49,2023-11-04
9,2023-11-12,Sun,12,Away,L 1–3,Fulham,Aston Villa,N,AM,17,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,13,16,3,13,0,1,1,224,50,7,8,4,4,2,3,0.0,0,0,1,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,3,0,66.0,10.0,0,0,0,0,15,0,0,4,0,1.0,0.3,1.6,2023-11-12 14:00:00+00:00,16,0,12,0,1618,0.0,1,-39,57,96,49,2023-11-12
