,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-12,Sat,1,Away,W 2–0,Newcastle Utd,West Ham,Y,FW,87,0,0,0,0,4,0,0,0,44,0,0,0,0.2,0.2,0.0,3,1,19,29,4,22,1,3,1,264,77,12,17,5,7,1,2,0.0,1,4,1,0,29,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,5,7,22,15,5,59.0,15.0,0,1,1,2,30,4,0,3,1,14.0,6.9,7.0,2020-09-12 19:00:00+00:00,87,0,1,0,21822,48.0,2,0,0,0,55,2020-09-12
1,2020-09-20,Sun,2,Home,L 0–3,Newcastle Utd,Brighton,Y,FW,45,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,3,11,0,7,0,0,0,52,38,2,6,0,2,1,1,0.0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,2,3,13,3,1,12.0,4.0,0,0,2,0,10,1,0,1,0,0.3,0.6,3.2,2020-09-20 13:00:00+00:00,45,0,2,0,56622,2.0,1,18447,30119,11672,55,2020-09-20
2,2020-09-27,Sun,3,Away,D 1–1,Newcastle Utd,Tottenham,N,FW,14,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,8,1,3,0,0,0,62,25,4,5,1,1,0,1,0.0,0,1,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,27.0,0.0,0,0,1,0,10,2,0,11,0,1.8,2.3,0.0,2020-09-27 13:00:00+00:00,13,0,3,0,45386,22.0,4,-11267,4646,15913,55,2020-09-27
3,2020-10-25,Sun,6,Away,D 1–1,Newcastle Utd,Wolves,N,FW,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,0,0,0,0,0,26,5,1,1,1,2,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.0,0.0,0,0,0,0,2,0,0,3,0,0.3,0.0,0.0,2020-10-25 16:30:00+00:00,2,0,6,0,31398,0.0,1,-3865,1606,5471,54,2020-10-25
4,2020-11-01,Sun,7,Home,W 2–1,Newcastle Utd,Everton,N,FW,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,19,0,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,3.0,0.0,0,0,0,0,3,1,0,3,0,0.3,0.2,2.0,2020-11-01 14:00:00+00:00,3,0,7,0,28684,0.0,1,-3103,790,3893,53,2020-11-01
5,2020-11-06,Fri,8,Away,L 0–2,Newcastle Utd,Southampton,N,FW,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,1,3,0,0,0,67,24,2,2,2,2,0,0,0.0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,0,0,8.0,7.0,0,0,0,0,5,0,0,2,0,0.2,0.3,2.6,2020-11-06 20:00:00+00:00,12,0,8,0,27116,0.0,1,-1880,758,2638,53,2020-11-06
6,2020-11-21,Sat,9,Home,L 0–2,Newcastle Utd,Chelsea,N,"LM,FW",17,0,0,0,0,1,0,0,0,5,0,0,1,0.1,0.1,0.0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,1,1,16.0,15.0,0,1,1,0,3,1,0,3,0,0.0,2.2,4.0,2020-11-21 12:30:00+00:00,16,0,9,0,25811,18.0,1,-1610,912,2522,53,2020-11-21
7,2020-12-26,Sat,15,Away,L 0–2,Newcastle Utd,Manchester City,N,FW,20,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,0,3,0,0,0,60,4,6,7,0,0,0,0,0.0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,5.0,0.0,0,0,0,0,8,2,0,2,0,2.4,0.7,0.0,2020-12-26 20:00:00+00:00,19,0,15,0,20976,6.0,1,-498,471,969,52,2020-12-26
8,2021-01-03,Sun,17,Home,L 1–2,Newcastle Utd,Leicester City,N,FW,12,1,0,0,0,3,1,0,0,9,0,0,0,0.2,0.2,0.0,2,0,1,3,0,3,0,1,1,17,0,0,1,1,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,2,1,6,2,2.0,0.0,0,0,1,0,4,0,3,29,0,1.3,8.2,38.0,2021-01-03 14:15:00+00:00,11,0,17,0,20697,43.0,8,-220,295,515,52,2021-01-03
9,2021-01-12,Tue,18,Away,L 0–1,Newcastle Utd,Sheffield Utd,N,FW,14,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,3,7,1,0,0,0,0,76,16,1,4,1,1,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0.0,0.0,0,0,1,0,6,1,0,3,0,0.5,0.1,0.4,2021-01-12 18:00:00+00:00,13,0,18,0,49567,0.0,1,10627,14511,3884,52,2021-01-12
