,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,N,FW,38,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,8,0,4,0,0,0,61,1,7,8,0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5.0,0.0,0,0,1,0,6,0,0,3,0,2.4,0.3,0.2,2021-08-29 15:30:00+00:00,37,0,3,0,290204,0.0,1,-78144,12507,90651,85,2021-08-29
1,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,N,FW,9,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,2,3,0,2,0,0,0,22,5,1,1,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7.0,0.0,0,0,0,0,3,1,0,3,0,0.3,2.1,0.2,2021-09-25 11:30:00+00:00,8,0,6,0,157100,20.0,1,-19197,870,20067,84,2021-09-25
2,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,FW,56,0,0,0,0,1,1,0,0,29,0,0,2,0.1,0.1,0.0,1,0,17,22,0,9,0,0,0,170,12,8,10,3,4,0,1,0.0,1,1,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,12,13,1,18.0,3.0,0,0,1,1,25,2,0,0,0,12.8,3.4,4.2,2021-10-02 11:30:00+00:00,56,0,7,0,155055,17.0,1,-4028,2178,6206,84,2021-10-02
3,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,N,"FW,CM",29,0,0,0,0,1,0,0,0,9,0,2,0,0.4,0.4,0.0,0,0,5,6,0,2,0,0,0,75,4,3,3,0,0,1,1,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,2.0,1.0,1,0,0,0,4,1,0,-1,0,0.5,3.6,1.0,2021-10-24 15:30:00+00:00,28,0,9,0,150187,34.0,1,-2424,1087,3511,84,2021-10-24
4,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,FW,81,1,0,0,0,4,1,0,0,32,1,0,1,0.9,0.9,0.0,0,0,16,22,1,23,1,1,1,312,47,8,12,1,2,4,5,0.1,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,1,3,0,1,5,12,15,6,49.0,13.0,0,1,2,1,26,6,2,28,1,3.0,8.5,34.6,2021-10-30 16:30:00+00:00,81,0,10,0,150173,47.0,8,-2104,2166,4270,84,2021-10-30
5,2021-12-27,Mon,19,Away,D 1–1,Manchester Utd,Newcastle Utd,N,FW,45,1,0,0,0,5,1,0,0,20,0,0,0,1.1,1.1,0.0,1,1,8,10,0,16,0,0,0,110,9,5,5,3,5,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,7,10,4,42.0,6.0,1,0,2,1,16,3,0,18,0,2.9,10.9,32.2,2021-12-27 20:00:00+00:00,45,0,19,0,143775,74.0,5,342,1311,969,84,2021-12-27
6,2021-12-30,Thu,20,Home,W 3–1,Manchester Utd,Burnley,Y,FW,90,0,0,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0.1,1,0,17,21,3,11,0,1,1,215,17,10,11,6,7,0,0,0.1,1,0,2,0,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,4,26.0,6.0,0,0,1,0,18,2,0,6,0,12.0,2.3,1.4,2021-12-30 20:15:00+00:00,90,0,20,0,158693,10.0,2,9319,10018,699,84,2021-12-30
7,2022-01-03,Mon,21,Home,L 0–1,Manchester Utd,Wolves,Y,"AM,FW",90,0,0,0,0,1,0,0,0,40,1,0,1,0.1,0.1,0.0,0,0,23,33,2,15,0,2,2,267,28,15,19,7,10,0,0,0.0,0,1,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,1,0,0,1,10,16,14,2,51.0,29.0,0,0,1,1,29,3,0,9,0,1.9,0.9,2.0,2022-01-03 17:30:00+00:00,90,0,21,0,160479,5.0,2,5963,11049,5086,84,2022-01-03
8,2022-01-15,Sat,22,Away,D 2–2,Manchester Utd,Aston Villa,Y,FW,90,0,0,0,0,0,0,0,0,32,2,0,1,0.0,0.0,0.0,0,0,19,27,0,17,0,0,0,196,10,11,13,5,8,0,1,0.0,0,1,0,0,25,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,3,10,17,5,1,41.0,17.0,1,1,2,0,20,1,0,7,0,3.0,0.9,4.2,2022-01-15 17:30:00+00:00,90,0,22,0,222507,2.0,2,35366,49447,14081,84,2022-01-15
9,2022-01-22,Sat,23,Home,W 1–0,Manchester Utd,West Ham,N,FW,9,0,1,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.9,1,1,5,5,0,2,0,0,0,83,7,4,4,0,0,1,1,0.5,1,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,5.0,1.0,0,0,0,0,4,1,0,16,0,10.4,2.9,17.0,2022-01-22 15:00:00+00:00,8,0,23,0,173624,2.0,4,-22770,3834,26604,84,2022-01-22
