,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-12,Sat,1,Away,W 3–0,Arsenal,Fulham,N,CM,12,0,0,0,0,0,0,0,0,20,1,1,0,0.0,0.0,0.0,0,0,15,19,2,11,1,1,1,270,72,9,10,3,5,3,3,0.0,0,1,0,0,17,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,5,8,7,2,71.0,45.0,0,1,0,0,15,0,0,6,0,1.3,1.1,5.2,2020-09-12 11:30:00+00:00,12,0,1,0,115657,4.0,1,0,0,0,50,2020-09-12
1,2020-09-19,Sat,2,Home,W 2–1,Arsenal,West Ham,Y,CM,90,0,1,0,0,1,0,0,0,121,3,4,3,0.1,0.1,0.5,4,1,95,105,11,73,4,3,2,1622,355,36,40,46,50,7,8,0.5,1,8,3,1,101,4,3,1,0,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,3,3,0,2,1,3,0,7,23,77,22,2,612.0,365.0,6,0,2,0,85,1,3,31,0,23.9,9.6,52.4,2020-09-19 19:00:00+00:00,90,0,2,0,112604,20.0,8,-15068,12146,27214,50,2020-09-19
2,2020-09-28,Mon,3,Away,L 1–3,Arsenal,Liverpool,N,CM,31,0,0,0,0,0,0,1,0,25,1,0,1,0.0,0.0,0.4,1,0,13,19,1,16,1,1,1,217,62,7,8,6,6,0,3,0.2,1,1,0,0,18,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,1,13,10,2,0,119.0,68.0,0,0,1,1,16,0,0,6,0,16.3,2.0,3.8,2020-09-28 19:00:00+00:00,30,0,3,0,150896,0.0,0,23884,53185,29301,50,2020-09-28
3,2020-10-04,Sun,4,Home,W 2–1,Arsenal,Sheffield Utd,Y,CM,80,0,0,0,0,0,0,0,0,92,0,2,0,0.0,0.0,0.1,4,0,81,88,7,65,3,4,3,1527,277,32,33,35,37,12,15,0.0,2,4,0,0,86,2,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,20,59,13,0,424.0,194.0,1,0,2,0,76,0,0,20,1,27.9,4.4,15.6,2020-10-04 13:00:00+00:00,80,0,4,0,160888,0.0,3,5720,28964,23244,50,2020-10-04
4,2020-10-17,Sat,5,Away,L 0–1,Arsenal,Manchester City,Y,RM,90,0,0,0,0,0,0,0,0,54,3,0,0,0.0,0.0,0.1,2,0,47,51,3,36,1,0,0,893,175,13,15,25,25,7,9,0.0,2,5,0,0,50,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,0,0,0,0,0,1,16,32,7,0,252.0,94.0,3,0,0,0,44,0,0,19,0,22.9,3.7,14.4,2020-10-17 16:30:00+00:00,90,0,5,0,143308,0.0,2,-19459,11842,31301,50,2020-10-17
5,2020-10-25,Sun,6,Home,L 0–1,Arsenal,Leicester City,Y,CM,90,0,0,0,0,0,0,0,0,77,1,3,1,0.0,0.0,0.2,4,0,53,64,4,41,0,2,1,847,213,26,29,18,19,6,9,0.1,3,5,2,2,58,6,2,0,0,5,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,1,0,0,0,13,44,20,0,161.0,85.0,0,0,4,1,46,2,0,17,0,47.8,6.8,20.0,2020-10-25 19:15:00+00:00,90,0,6,0,124438,0.0,2,-20283,5035,25318,50,2020-10-25
6,2020-11-08,Sun,8,Home,L 0–3,Arsenal,Aston Villa,N,CM,45,0,0,0,0,1,0,0,0,42,2,0,2,0.0,0.0,0.0,3,0,27,33,3,31,2,3,1,480,91,10,11,16,18,1,3,0.0,0,2,0,0,32,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,3,10,22,11,0,272.0,180.0,3,0,1,1,29,0,0,4,0,2.2,1.2,8.4,2020-11-08 19:15:00+00:00,45,0,8,0,102454,1.0,1,-12767,2126,14893,49,2020-11-08
7,2020-11-22,Sun,9,Away,D 0–0,Arsenal,Leeds United,Y,DM,90,0,0,0,0,2,0,0,0,49,4,2,0,0.1,0.1,0.0,3,0,28,36,6,29,0,4,3,407,173,17,21,10,10,1,4,0.0,0,4,0,0,36,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,1,1,0,0,0,2,0,3,13,30,7,0,174.0,72.0,1,0,1,2,27,1,0,12,1,1.3,1.8,14.2,2020-11-22 16:30:00+00:00,90,0,9,0,92147,2.0,3,-10767,1997,12764,49,2020-11-22
8,2020-11-29,Sun,10,Home,L 1–2,Arsenal,Wolves,Y,DM,90,0,0,0,0,0,0,0,0,67,2,0,1,0.0,0.0,0.0,4,0,54,64,10,50,4,1,0,1040,335,21,24,28,32,5,8,0.0,0,12,2,0,63,1,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,1,0,0,1,10,41,16,1,332.0,188.0,0,0,0,0,56,3,0,12,0,7.5,1.8,8.6,2020-11-29 19:15:00+00:00,90,0,10,0,90464,2.0,2,-2977,2640,5617,49,2020-11-29
9,2020-12-06,Sun,11,Away,L 0–2,Arsenal,Tottenham,N,"DM,RM",46,0,0,0,0,0,0,0,0,59,0,2,0,0.0,0.0,0.0,2,0,51,57,8,45,4,1,1,871,194,27,29,20,23,4,4,0.0,0,6,0,0,57,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,41,15,0,294.0,181.0,4,0,1,0,48,2,0,11,0,5.3,1.3,7.2,2020-12-06 16:30:00+00:00,45,0,11,0,85145,0.0,1,-5330,1961,7291,48,2020-12-06
