,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2017-08-26,Sat,3,Away,W 2–0,Swansea City,Crystal Palace,Y,CM,90,0,0,0,0,0,0,0,0,57,0,2,0,0.0,0.0,0.0,1,1,47,52,4,30,0,0,0,822,205,24,26,14,15,8,10,0.0,0,2,0,0,51,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,17,32,8,0,99.0,30.0,0,0,0,0,37,1,50,0,0,0,15,1,3,45,2.6,0,0,0,0,0,0.9,1546,6.2,1,2017-08-26 14:00:00+00:00,26 Aug 15:00,0,0,90,0,0,0,0,5,3,0,407,0,0,0,0.0,3,371,430,59,50,0,2017-08-26
1,2017-09-10,Sun,4,Home,L 0–1,Swansea City,Newcastle Utd,Y,CM,90,0,0,0,0,0,0,0,0,69,2,0,4,0.0,0.0,0.0,2,0,51,62,7,26,2,0,0,1235,435,12,12,25,31,14,16,0.1,1,4,1,1,54,8,5,0,2,5,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,2,0,3,20,44,6,0,148.0,100.0,0,0,0,1,35,0,57,0,0,0,16,0,3,47,24.2,0,0,0,0,0,5.1,2077,26.8,1,2017-09-10 15:00:00+00:00,10 Sep 16:00,0,0,90,0,1,0,0,6,4,0,2387,1,1,0,0.0,2,1532,2311,779,50,0,2017-09-10
2,2017-09-16,Sat,5,Away,D 0–0,Swansea City,Tottenham,Y,CM,90,0,0,0,0,1,0,0,0,28,5,1,2,0.0,0.0,0.0,0,0,15,18,2,10,0,0,0,218,57,8,8,7,8,0,2,0.0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,2,2,0,1,1,1,0,2,7,17,4,0,37.0,3.0,0,0,2,1,7,0,18,0,0,0,9,1,2,15,0.7,0,0,0,0,1,1.5,2621,13.6,0,2017-09-16 16:30:00+00:00,16 Sep 17:30,0,0,90,0,0,0,0,5,5,0,2328,1,2,1,1.0,3,-119,313,432,50,0,2017-09-16
3,2017-09-23,Sat,6,Home,L 1–2,Swansea City,Watford,Y,CM,45,0,0,0,0,0,0,0,0,27,0,1,1,0.0,0.0,0.0,0,0,20,23,3,13,0,0,0,434,103,6,7,9,11,5,5,0.0,0,3,0,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,8,17,2,0,85.0,15.0,0,0,0,0,13,0,23,0,0,0,4,0,2,19,1.2,0,0,0,0,1,0.2,3167,1.0,0,2017-09-23 14:00:00+00:00,23 Sep 15:00,0,0,45,0,0,0,0,4,6,0,2773,0,0,0,0.0,1,341,752,411,50,0,2017-09-23
4,2017-09-30,Sat,7,Away,L 0–1,Swansea City,West Ham,N,LB,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,0,1,0,0,0,23,9,2,3,0,1,0,0,0.0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4.0,3.0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0.1,0,0,0,0,0,0.0,3717,0.0,0,2017-09-30 14:00:00+00:00,30 Sep 15:00,0,0,3,0,0,0,0,0,7,0,2537,0,0,0,0.0,1,-280,168,448,50,0,2017-09-30
5,2017-10-14,Sat,8,Home,W 2–0,Swansea City,Huddersfield,N,CM,7,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,0,1,0,0,0,29,17,1,1,1,1,0,1,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,0,0,5.0,2.0,0,0,0,0,3,0,3,0,0,0,3,0,1,2,0.0,0,0,0,0,0,0.5,4271,5.4,0,2017-10-14 14:00:00+00:00,14 Oct 15:00,0,0,6,0,0,0,0,0,8,0,2430,0,0,0,0.0,1,-147,227,374,50,0,2017-10-14
6,2017-10-28,Sat,10,Away,L 1–2,Swansea City,Arsenal,Y,"WB,LB",90,1,0,0,0,3,1,0,0,40,1,1,0,0.5,0.5,0.0,1,0,19,32,0,17,4,0,0,355,82,8,9,7,14,4,8,0.0,0,0,0,0,22,9,1,0,0,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,12,16,12,2,117.0,63.0,0,0,0,3,24,3,19,0,0,0,22,0,5,14,1.0,0,0,0,0,0,6.0,5387,39.2,0,2017-10-28 14:00:00+00:00,28 Oct 15:00,0,0,90,0,0,0,0,2,10,0,1834,3,0,1,20.0,7,-351,41,392,49,0,2017-10-28
7,2017-11-04,Sat,11,Home,L 0–1,Swansea City,Brighton,Y,LB,78,0,0,0,0,0,0,1,0,44,1,0,1,0.0,0.0,0.0,0,0,26,38,4,18,1,0,0,397,92,14,16,12,14,0,8,0.0,0,2,0,0,25,13,5,0,0,9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,0,2,6,22,16,0,95.0,63.0,1,0,1,1,21,7,27,0,0,0,6,0,2,24,2.1,0,0,0,0,0,0.6,5950,4.2,0,2017-11-04 15:00:00+00:00,04 Nov 15:00,0,0,78,0,0,0,0,3,11,0,2863,1,1,0,0.0,1,953,1185,232,49,0,2017-11-04
8,2017-11-18,Sat,12,Away,L 0–2,Swansea City,Burnley,Y,CM,90,0,0,0,0,0,0,0,0,67,3,2,1,0.0,0.0,0.0,2,0,51,60,3,32,1,1,1,1014,226,19,21,26,29,6,9,0.0,1,6,0,0,55,5,1,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,3,2,0,1,1,0,4,12,47,10,1,185.0,99.0,1,0,2,1,47,1,56,0,0,0,18,0,2,49,12.7,1,0,0,0,0,3.1,6516,16.4,1,2017-11-18 15:00:00+00:00,18 Nov 15:00,0,0,90,0,0,0,0,8,12,0,2693,1,2,0,2.0,2,-214,159,373,49,0,2017-11-18
9,2017-12-02,Sat,15,Away,L 1–2,Swansea City,Stoke City,Y,LM,72,0,0,0,0,1,0,0,0,45,0,2,0,0.0,0.0,0.0,1,0,33,40,3,27,0,0,0,596,122,15,17,13,17,4,5,0.0,1,2,0,0,38,2,0,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,31,8,1,154.0,47.0,0,0,1,1,28,3,37,0,0,0,11,0,3,32,16.1,0,0,0,0,1,3.1,8226,5.0,1,2017-12-02 15:00:00+00:00,02 Dec 15:00,0,0,72,0,0,0,0,5,15,0,2123,1,0,0,10.0,2,-192,14,206,49,0,2017-12-02
10,2017-12-18,Mon,18,Away,L 1–3,Swansea City,Everton,N,LM,10,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,6,1,6,0,0,0,75,14,3,3,2,2,0,0,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,4,1,0,31.0,11.0,0,0,0,0,5,2,6,0,0,0,3,0,1,5,0.4,0,0,0,0,0,0.2,9955,1.6,0,2017-12-18 20:00:00+00:00,18 Dec 20:00,0,0,9,0,0,0,0,1,18,0,1805,0,0,0,0.0,1,-91,5,96,48,0,2017-12-18
11,2017-12-23,Sat,19,Home,D 1–1,Swansea City,Crystal Palace,Y,RM,90,0,0,0,0,0,0,0,0,48,0,1,3,0.0,0.0,0.0,1,0,32,40,3,22,1,1,1,605,93,15,18,12,14,4,4,0.0,0,3,1,0,39,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,2,5,33,11,0,175.0,77.0,2,0,1,1,33,5,37,0,0,0,10,0,2,31,4.5,1,0,0,0,1,1.2,10535,7.8,0,2017-12-23 15:00:00+00:00,23 Dec 15:00,0,0,90,0,0,0,0,2,19,0,1730,1,0,0,0.0,2,-92,25,117,48,0,2017-12-23
12,2017-12-26,Tue,20,Away,L 0–5,Swansea City,Liverpool,N,CM,26,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,11,11,3,8,0,0,0,171,60,4,4,6,6,1,1,0.0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,3,0,51.0,34.0,1,0,0,0,9,1,11,0,0,0,3,0,0,11,0.8,0,0,0,0,0,0.2,11120,1.2,0,2017-12-26 17:30:00+00:00,26 Dec 17:30,0,0,25,0,0,0,0,2,20,0,1692,0,0,0,0.0,1,-46,13,59,48,0,2017-12-26
13,2017-12-30,Sat,21,Away,W 2–1,Swansea City,Watford,Y,"AM,CM",80,0,0,0,0,0,0,0,0,44,4,2,2,0.0,0.0,0.0,1,0,29,36,0,19,0,0,0,397,68,18,21,9,11,1,2,0.0,1,1,0,0,35,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,2,1,0,1,9,30,5,0,82.0,22.0,1,0,0,0,28,3,34,0,0,0,12,0,1,28,13.2,0,0,0,0,0,2.7,11657,13.6,1,2017-12-30 15:00:00+00:00,30 Dec 15:00,0,0,80,0,0,0,0,4,21,0,1641,0,0,0,0.0,2,-62,20,82,48,0,2017-12-30
14,2018-01-02,Tue,22,Home,L 0–2,Swansea City,Tottenham,Y,"CM,DM",90,0,0,0,0,0,0,0,0,46,3,8,1,0.0,0.0,0.0,0,0,27,36,0,21,1,0,0,387,64,13,16,10,12,1,3,0.0,0,0,0,0,34,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,1,1,0,2,16,30,2,0,78.0,37.0,0,0,0,0,22,0,35,0,0,0,17,0,8,28,0.3,0,0,0,0,2,1.6,12281,15.6,0,2018-01-02 19:45:00+00:00,02 Jan 19:45,0,0,90,0,0,0,0,9,22,0,1618,0,1,0,0.0,2,-27,20,47,48,0,2018-01-02
15,2018-01-13,Sat,23,Away,D 1–1,Swansea City,Newcastle Utd,Y,CM,90,0,0,0,0,0,0,0,0,70,2,1,0,0.0,0.0,0.0,2,0,58,67,7,33,2,0,0,1065,237,22,25,29,32,6,8,0.0,0,5,0,0,67,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,1,1,0,15,51,5,0,231.0,153.0,0,0,0,1,50,1,65,0,0,0,11,0,2,56,6.5,0,0,0,1,0,1.8,12884,11.4,0,2018-01-13 15:00:00+00:00,13 Jan 15:00,0,0,90,0,1,0,0,5,23,0,1584,1,0,0,0.0,2,-44,63,107,47,0,2018-01-13
16,2018-01-22,Mon,24,Home,W 1–0,Swansea City,Liverpool,Y,LM,90,0,0,0,0,0,0,0,0,25,1,1,1,0.0,0.0,0.0,0,0,12,17,2,9,0,0,0,165,29,7,8,5,6,0,2,0.0,0,1,0,0,15,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,3,0,3,8,10,7,0,28.0,17.0,0,0,1,1,14,5,15,0,0,0,7,1,4,12,2.6,0,0,0,0,0,1.2,13482,9.6,0,2018-01-22 20:00:00+00:00,22 Jan 20:00,0,0,90,0,0,0,0,2,24,0,1565,1,0,0,0.0,3,-31,30,61,47,0,2018-01-22
