,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-21,Sat,2,Home,W 2–0,Brighton,Watford,N,FW,45,0,0,0,0,1,0,0,0,8,0,0,1,0.3,0.3,0.0,1,0,1,2,0,5,2,0,0,7,0,1,1,0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,2,48.0,18.0,0,0,0,2,4,2,0,-2,0,1.1,0.5,0.0,2021-08-21 16:30:00+00:00,45,0,2,0,15599,6.0,1,-1682,1899,3581,55,2021-08-21
1,2021-09-27,Mon,6,Away,D 1–1,Brighton,Crystal Palace,N,LM,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,0,2,0,1,0,10,0,1,1,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5.0,1.0,0,0,0,0,2,1,0,2,0,0.3,0.1,0.2,2021-09-27 19:00:00+00:00,14,0,6,0,9738,0.0,1,-232,1187,1419,53,2021-09-27
2,2021-12-04,Sat,15,Away,D 1–1,Brighton,Southampton,N,FW,36,0,0,0,0,1,0,0,0,8,0,0,1,0.0,0.0,0.1,1,0,5,6,1,6,0,0,0,65,16,2,2,2,2,0,0,0.1,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,4,1,12.0,5.0,0,0,0,0,7,2,0,7,0,10.4,2.3,2.2,2021-12-04 15:00:00+00:00,35,0,15,0,9181,10.0,1,91,720,629,53,2021-12-04
3,2021-12-15,Wed,17,Home,L 0–1,Brighton,Wolves,Y,FW,60,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,8,0,9,1,1,0,90,0,4,4,3,3,0,0,0.0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,56.0,14.0,0,0,2,0,9,2,0,5,0,1.3,0.2,0.0,2021-12-15 19:30:00+00:00,60,0,17,0,9319,2.0,2,240,736,496,53,2021-12-15
4,2020-09-14,Mon,1,Home,L 1–3,Brighton,Chelsea,N,FW,46,0,0,0,0,3,1,0,0,11,0,0,0,0.2,0.2,0.0,1,0,2,2,0,7,0,2,0,17,14,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,35.0,3.0,0,0,1,1,6,3,0,-3,0,0.3,3.4,1.2,2020-09-14 19:15:00+00:00,45,0,1,0,32205,32.0,1,0,0,0,55,2020-09-14
5,2020-09-20,Sun,2,Away,W 3–0,Brighton,Newcastle Utd,Y,FW,89,1,0,0,0,2,1,0,0,20,1,0,2,0.1,0.1,0.0,1,0,10,13,2,14,2,2,1,136,51,6,8,3,3,0,1,0.0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,7,13,3,81.0,44.0,1,0,2,0,14,5,2,27,1,11.3,6.9,34.8,2020-09-20 13:00:00+00:00,89,0,2,0,35030,23.0,8,-1161,5332,6493,55,2020-09-20
6,2020-09-26,Sat,3,Home,L 2–3,Brighton,Manchester Utd,Y,FW,74,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,6,7,0,12,1,0,0,58,7,6,7,0,0,0,0,0.0,1,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,8,3,94.0,34.0,1,1,4,2,12,5,0,2,0,12.1,1.9,0.0,2020-09-26 11:30:00+00:00,73,0,3,0,55356,8.0,2,13526,26823,13297,55,2020-09-26
7,2020-10-03,Sat,4,Away,L 2–4,Brighton,Everton,Y,FW,65,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,1,5,0,3,1,1,0,6,0,1,3,0,1,0,0,0.0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,2,6,2,22.0,22.0,1,0,0,0,3,1,0,7,0,0.3,0.7,3.0,2020-10-03 14:00:00+00:00,65,0,4,0,55125,4.0,2,-1311,10399,11710,55,2020-10-03
8,2020-10-18,Sun,5,Away,D 1–1,Brighton,Crystal Palace,N,AM,13,0,1,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,7,0,1,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,23.0,0.0,0,0,1,0,4,2,0,13,0,10.3,3.0,17.2,2020-10-18 13:00:00+00:00,12,0,5,0,46774,2.0,4,-8992,5860,14852,55,2020-10-18
9,2020-11-06,Fri,8,Home,D 0–0,Brighton,Burnley,N,LW,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,14,15,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.2,2020-11-06 17:30:00+00:00,4,0,8,0,39808,0.0,1,-4140,2117,6257,54,2020-11-06
