,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-26,Sat,3,Home,L 0–2,Bournemouth,Tottenham,N,"DM,CM",45,0,0,0,0,1,0,0,0,35,2,3,1,0.0,0.0,0.0,0,0,22,28,0,13,0,0,0,408,63,10,11,8,12,3,3,0.0,0,3,0,0,23,5,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,1,0,0,0,4,10,17,8,0,37.0,11.0,0,0,1,0,19,0,0,5,0,1.4,1.4,11.6,2023-08-26 11:30:00+00:00,45,0,3,0,1577,1.0,1,-426,14,440,50,2023-08-26
1,2023-09-02,Sat,4,Away,D 2–2,Bournemouth,Brentford,Y,"DM,CM",90,0,0,0,0,0,0,0,0,54,3,0,0,0.0,0.0,0.0,2,0,36,48,4,22,0,0,0,662,175,9,11,26,31,0,5,0.0,0,4,0,0,44,4,3,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,1,0,0,0,0,1,7,43,6,0,119.0,81.0,1,0,1,2,28,0,0,8,0,2.2,1.2,9.6,2023-09-02 14:00:00+00:00,90,0,4,0,1636,0.0,2,-89,47,136,50,2023-09-02
2,2023-09-17,Sun,5,Home,D 0–0,Bournemouth,Chelsea,Y,DM,90,0,0,0,0,1,1,0,0,49,3,5,0,0.0,0.0,0.0,2,0,30,37,4,24,0,2,2,622,153,7,8,21,23,2,5,0.0,1,3,2,0,29,8,8,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,2,0,0,0,3,0,7,16,27,7,1,115.0,40.0,0,0,1,0,22,1,0,19,1,11.8,4.8,19.2,2023-09-17 13:00:00+00:00,90,0,5,0,1811,17.0,3,-40,89,129,50,2023-09-17
3,2023-09-24,Sun,6,Away,L 1–3,Bournemouth,Brighton,Y,DM,90,0,0,0,0,0,0,0,0,56,0,0,1,0.0,0.0,0.2,2,0,47,53,1,41,0,1,1,787,262,18,18,24,26,4,8,0.1,2,1,0,0,46,7,3,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,12,34,11,0,146.0,67.0,2,0,1,0,38,0,0,16,0,26.3,3.9,13.0,2023-09-24 13:00:00+00:00,90,0,6,0,1875,0.0,2,4,94,90,50,2023-09-24
4,2023-09-30,Sat,7,Home,L 0–4,Bournemouth,Arsenal,Y,DM,90,0,0,0,0,0,0,0,0,58,0,4,0,0.0,0.0,0.0,0,0,46,52,6,35,1,4,1,839,328,21,22,20,20,4,9,0.0,0,8,1,0,47,5,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,11,0,181.0,66.0,0,0,0,0,37,1,0,12,0,3.6,1.1,7.8,2023-09-30 14:00:00+00:00,90,0,7,0,1888,0.0,2,-18,101,119,50,2023-09-30
5,2023-10-07,Sat,8,Away,L 0–3,Bournemouth,Everton,Y,DM,65,0,0,0,0,0,0,0,0,55,1,2,2,0.0,0.0,0.0,3,0,41,48,2,30,1,0,0,761,215,13,15,23,25,3,6,0.1,1,0,0,0,44,4,1,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,2,25,22,8,0,157.0,95.0,0,0,0,1,33,0,0,16,0,15.8,3.0,14.0,2023-10-07 14:00:00+00:00,66,0,8,0,2160,0.0,2,151,292,141,50,2023-10-07
6,2023-10-21,Sat,9,Home,L 1–2,Bournemouth,Wolves,Y,DM,53,0,0,0,0,0,0,0,1,32,2,2,1,0.0,0.0,0.0,1,0,20,26,2,16,1,0,0,286,72,8,12,11,11,0,1,0.0,0,2,0,0,21,5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,2,0,1,0,0,0,6,23,4,0,117.0,54.0,1,0,0,1,13,0,0,-1,0,1.2,0.3,1.4,2023-10-21 14:00:00+00:00,53,0,9,0,2214,0.0,-2,-41,134,175,50,2023-10-21
7,2023-11-11,Sat,12,Home,W 2–0,Bournemouth,Newcastle Utd,Y,DM,90,0,0,0,0,0,0,1,0,58,3,3,0,0.0,0.0,0.1,2,0,31,48,1,22,0,2,1,492,117,17,22,10,12,4,10,0.1,2,2,0,0,42,6,2,0,0,7,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,2,0,0,0,2,0,3,10,36,13,0,92.0,57.0,1,0,0,0,23,0,0,16,1,26.3,4.3,16.6,2023-11-11 17:30:00+00:00,90,0,12,0,1830,0.0,2,-12,37,49,50,2023-11-11
8,2023-11-25,Sat,13,Away,W 3–1,Bournemouth,Sheffield Utd,Y,DM,90,0,0,0,0,0,0,0,0,61,3,2,1,0.0,0.0,0.2,2,0,39,51,5,22,1,1,1,701,168,14,18,21,22,3,7,0.1,2,2,0,0,46,5,1,0,0,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,1,0,1,0,1,14,39,9,0,157.0,62.0,1,0,2,2,28,2,0,12,0,30.6,5.2,21.2,2023-11-25 15:00:00+00:00,90,0,13,0,1942,0.0,2,62,125,63,50,2023-11-25
9,2023-12-03,Sun,14,Home,D 2–2,Bournemouth,Aston Villa,Y,DM,90,0,0,0,0,0,0,0,0,48,0,1,1,0.0,0.0,0.3,5,0,33,41,6,12,0,1,1,525,236,18,21,9,11,4,6,0.1,3,4,0,0,34,7,3,0,0,4,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,1,6,28,15,0,66.0,31.0,1,0,0,1,18,0,0,16,0,40.8,5.4,13.4,2023-12-03 14:00:00+00:00,90,0,14,0,1981,0.0,2,-5,59,64,50,2023-12-03
10,2023-12-06,Wed,15,Away,W 2–0,Bournemouth,Crystal Palace,Y,DM,90,0,0,0,0,0,0,0,0,54,2,3,0,0.0,0.0,0.0,1,0,34,41,5,21,0,0,0,596,139,19,20,10,12,5,7,0.1,0,5,1,0,37,4,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,0,0,3,0,1,14,35,6,0,77.0,23.0,1,0,2,2,26,0,0,12,1,6.3,2.0,13.4,2023-12-06 19:30:00+00:00,90,0,15,0,2029,0.0,3,22,64,42,50,2023-12-06
11,2023-12-09,Sat,16,Away,W 3–0,Bournemouth,Manchester Utd,Y,DM,87,0,1,0,0,0,0,0,0,59,2,6,2,0.0,0.0,0.4,6,2,27,41,5,15,1,5,2,495,261,12,15,11,14,3,8,0.2,3,4,1,1,38,3,2,0,0,4,0,1,0,3,1,1,0,0,1,1,0,0,0,0,1,2,1,1,0,1,1,0,1,1,3,0,5,21,33,6,0,129.0,48.0,0,0,3,1,18,0,2,31,1,39.3,8.2,42.6,2023-12-09 15:00:00+00:00,87,0,16,0,2090,0.0,8,16,71,55,50,2023-12-09
