,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-13,Sun,1,Home,L 0–3,West Brom,Leicester City,Y,FW,59,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,7,9,0,5,0,0,0,131,8,2,2,4,5,1,2,0.0,0,0,0,0,7,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,7,1,58.0,45.0,0,0,1,2,11,2,0,-3,0,1.3,0.1,0.0,2020-09-13 13:00:00+00:00,59,0,1,0,13584,2.0,1,0,0,0,55,2020-09-13
1,2020-09-19,Sat,2,Away,L 2–5,West Brom,Everton,Y,FW,90,0,0,0,0,1,1,0,0,32,0,0,0,0.0,0.0,0.2,4,0,22,26,1,13,1,1,0,258,24,14,16,6,8,0,0,0.1,2,1,0,0,20,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,13,17,3,42.0,10.0,1,0,2,4,22,5,0,2,0,25.0,4.6,7.6,2020-09-19 11:30:00+00:00,90,0,2,0,16285,13.0,2,88,4678,4590,55,2020-09-19
2,2020-09-26,Sat,3,Home,D 3–3,West Brom,Chelsea,Y,FW,65,2,0,0,0,3,2,0,0,12,0,0,0,0.1,0.1,0.0,2,1,4,8,0,4,2,2,2,41,0,1,3,2,4,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,9,2,43.0,25.0,0,2,1,0,9,2,3,54,0,4.0,10.3,64.0,2020-09-26 16:30:00+00:00,65,0,3,0,15578,35.0,13,-1685,3836,5521,55,2020-09-26
3,2020-10-04,Sun,4,Away,L 0–2,West Brom,Southampton,Y,FW,59,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,5,11,0,8,0,0,0,49,1,3,5,1,5,0,0,0.0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,14,2,2.0,2.0,0,0,6,0,15,4,0,3,0,2.0,0.7,1.2,2020-10-04 11:00:00+00:00,59,0,4,0,74722,4.0,1,47858,62755,14897,55,2020-10-04
4,2020-10-19,Mon,5,Home,D 0–0,West Brom,Burnley,N,FW,18,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,0,4,0,1,0,5,0,1,1,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,26.0,0.0,0,0,1,1,5,0,0,1,0,1.3,0.1,0.0,2020-10-19 16:30:00+00:00,17,0,5,0,61693,0.0,1,-10669,19782,30451,55,2020-10-19
5,2020-10-26,Mon,6,Away,D 1–1,West Brom,Brighton,N,"RM,FW",28,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,2,0,15,20,1,11,3,1,0,278,65,8,9,4,7,3,4,0.1,0,2,1,1,20,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,19,2,80.0,53.0,1,1,1,0,15,6,0,15,0,6.7,1.5,4.6,2020-10-26 17:30:00+00:00,27,0,6,0,58564,4.0,4,-5357,9417,14774,55,2020-10-26
6,2020-11-02,Mon,7,Away,L 0–2,West Brom,Fulham,N,"FW,RM",35,0,0,0,0,3,0,0,0,10,0,0,1,0.1,0.1,0.0,1,0,2,3,0,5,1,1,0,30,6,1,1,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,9,2,40.0,13.0,0,0,1,0,4,2,0,1,0,0.5,3.7,0.0,2020-11-02 17:30:00+00:00,34,0,7,0,57067,38.0,1,-2568,7723,10291,55,2020-11-02
7,2020-11-08,Sun,8,Home,L 0–1,West Brom,Tottenham,Y,FW,66,0,0,0,0,2,1,0,0,34,0,0,1,0.1,0.1,0.2,5,0,16,26,0,22,2,2,2,195,34,12,13,3,6,0,0,0.1,3,0,0,0,26,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,8,25,4,89.0,36.0,0,2,2,2,25,6,0,10,1,33.3,6.6,8.6,2020-11-08 12:00:00+00:00,66,0,8,0,50156,24.0,2,-6965,4138,11103,55,2020-11-08
8,2020-11-21,Sat,9,Away,L 0–1,West Brom,Manchester Utd,N,"LM,LW",29,0,0,0,0,1,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,10,1,6,1,0,0,89,23,5,7,2,2,0,0,0.0,0,2,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,1,20.0,8.0,0,1,0,1,11,5,0,3,0,1.3,0.4,0.0,2020-11-21 20:00:00+00:00,28,0,9,0,44290,4.0,1,-6254,3912,10166,55,2020-11-21
9,2020-11-28,Sat,10,Home,W 1–0,West Brom,Sheffield Utd,Y,FW,64,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,11,18,1,19,5,0,0,205,30,7,11,1,2,2,3,0.0,0,1,0,0,18,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,8,14,1,129.0,62.0,1,1,3,3,23,10,0,4,1,6.4,1.8,1.4,2020-11-28 20:00:00+00:00,64,0,10,0,46143,10.0,2,308,5459,5151,55,2020-11-28
