,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-07,Sun,1,Home,L 1–2,Manchester Utd,Brighton,N,FW,38,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,8,9,1,4,1,0,0,89,14,6,7,2,2,0,0,0.0,1,1,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,2,31.0,20.0,0,1,1,0,11,3,0,3,0,11.5,3.6,4.6,2022-08-07 13:00:00+00:00,37,0,1,0,352984,20.0,1,0,0,0,105,2022-08-07
1,2022-08-13,Sat,2,Away,L 0–4,Manchester Utd,Brentford,Y,FW,90,0,0,0,0,6,2,0,0,40,0,0,0,0.3,0.3,0.2,3,0,26,27,2,19,1,2,0,267,40,21,21,1,2,1,1,0.0,3,3,0,0,26,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,5,14,21,3,85.0,49.0,3,0,1,2,33,5,0,2,0,35.6,6.9,7.8,2022-08-13 16:30:00+00:00,90,0,2,0,414347,26.0,2,-43311,32101,75412,105,2022-08-13
2,2022-08-22,Mon,3,Home,W 2–1,Manchester Utd,Liverpool,N,LW,5,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,3,0,2,1,0,0,5,0,0,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,1,4.0,2.0,0,1,0,0,4,1,0,1,0,0.0,0.2,0.0,2022-08-22 19:00:00+00:00,4,0,3,0,345362,3.0,1,-96904,16665,113569,104,2022-08-22
3,2022-08-27,Sat,4,Away,W 1–0,Manchester Utd,Southampton,N,FW,23,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,5,10,2,4,1,1,0,55,21,3,5,1,3,0,0,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,3,39.0,21.0,1,0,2,1,9,1,0,-1,0,0.7,0.8,0.0,2022-08-27 11:30:00+00:00,22,0,4,0,339885,8.0,1,-36719,23950,60669,104,2022-08-27
4,2022-09-01,Thu,5,Away,W 1–0,Manchester Utd,Leicester City,N,FW,23,0,0,0,0,2,0,0,0,16,0,0,0,0.2,0.2,0.1,2,0,8,13,1,5,0,1,0,113,17,5,6,3,5,0,0,0.1,1,0,0,0,12,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,4,30.0,12.0,0,0,0,0,10,4,0,0,0,10.6,2.0,0.0,2022-09-01 19:00:00+00:00,22,0,5,0,287761,12.0,1,-61838,4182,66020,103,2022-09-01
5,2022-09-04,Sun,6,Home,W 3–1,Manchester Utd,Arsenal,N,FW,33,0,0,0,0,2,0,0,0,15,0,0,0,0.2,0.2,0.0,0,0,7,12,1,9,1,0,0,84,21,6,7,1,2,0,1,0.0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,3,23.0,14.0,0,0,0,0,12,2,0,0,0,0.4,2.3,0.0,2022-09-04 15:30:00+00:00,32,0,6,0,269760,24.0,1,-30104,8687,38791,103,2022-09-04
6,2022-10-09,Sun,10,Away,W 2–1,Manchester Utd,Everton,N,FW,62,1,0,0,0,3,2,0,0,32,1,0,0,0.4,0.4,0.1,2,0,18,23,1,17,3,2,2,223,56,12,14,6,8,0,0,0.0,1,1,0,0,23,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,6,13,14,3,114.0,84.0,1,1,2,0,23,4,3,34,1,15.9,8.7,41.0,2022-10-09 18:00:00+00:00,61,0,10,0,249320,30.0,9,-12239,4501,16740,102,2022-10-09
7,2022-10-16,Sun,11,Home,D 0–0,Manchester Utd,Newcastle Utd,Y,FW,71,0,0,0,0,1,0,1,0,21,0,0,0,0.1,0.1,0.0,0,0,11,19,2,8,1,0,0,115,13,9,11,1,3,0,1,0.0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,5,34.0,29.0,1,0,0,0,19,5,0,0,1,1.8,1.0,0.0,2022-10-16 13:00:00+00:00,71,0,11,0,274470,12.0,1,18609,25176,6567,102,2022-10-16
8,2022-10-30,Sun,14,Home,W 1–0,Manchester Utd,West Ham,Y,FW,90,0,0,0,0,6,1,0,0,40,0,0,0,0.4,0.4,0.0,0,0,22,28,1,16,0,3,2,257,50,14,14,6,8,0,2,0.0,0,0,0,0,27,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,19,16,5,85.0,37.0,0,0,0,0,31,5,0,4,1,4.8,6.7,8.8,2022-10-30 16:15:00+00:00,90,0,14,0,263124,53.0,2,4472,15468,10996,102,2022-10-30
9,2022-11-06,Sun,15,Away,L 1–3,Manchester Utd,Aston Villa,Y*,FW,90,0,0,0,0,3,1,1,0,23,1,1,0,0.2,0.2,0.0,2,0,15,18,1,10,0,0,0,204,26,9,10,6,6,0,0,0.0,0,0,0,0,16,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,7,15,3,32.0,20.0,0,0,1,0,15,3,0,-1,0,1.9,3.4,1.6,2022-11-06 14:00:00+00:00,90,0,15,0,309382,30.0,1,39485,50717,11232,102,2022-11-06
