,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Away,L 0–1,Wolves,Manchester Utd,Y,FW,76,0,0,0,0,5,1,0,0,31,2,2,1,0.6,0.6,0.1,5,0,15,17,2,19,4,3,3,167,44,10,10,3,4,0,1,0.0,1,3,1,0,17,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,14,13,3,255.0,207.0,3,0,4,0,20,1,0,3,0,11.7,4.3,7.2,2023-08-14 19:00:00+00:00,76,0,1,0,23020,24.0,2,0,0,0,55,2023-08-14
1,2023-08-19,Sat,2,Home,L 1–4,Wolves,Brighton,Y,FW,90,0,0,0,0,1,1,0,0,40,1,0,0,0.4,0.4,0.6,5,1,20,25,4,27,5,6,5,243,105,15,16,5,6,0,1,0.3,3,5,2,0,20,5,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,2,4,24,16,3,257.0,159.0,3,1,7,3,23,5,0,13,0,38.2,9.7,19.4,2023-08-19 14:00:00+00:00,90,0,2,0,48034,39.0,2,13288,19993,6705,55,2023-08-19
2,2023-08-26,Sat,3,Away,W 1–0,Wolves,Everton,Y,FW,84,0,0,0,0,2,0,0,0,29,1,0,1,0.2,0.2,0.0,0,0,17,19,1,19,0,2,0,204,30,11,11,4,5,1,2,0.0,0,0,0,0,17,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,1,1,0,1,6,16,7,2,52.0,8.0,0,1,3,2,25,4,0,0,1,1.8,1.3,0.8,2023-08-26 14:00:00+00:00,84,0,3,0,58829,10.0,2,6057,17866,11809,55,2023-08-26
3,2023-09-03,Sun,4,Away,L 2–3,Wolves,Crystal Palace,Y,FW,90,1,0,0,0,2,1,0,0,46,1,0,2,0.7,0.7,0.0,0,0,27,32,2,19,4,6,3,344,37,17,19,8,9,0,2,0.0,0,2,0,0,27,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,4,23,20,5,172.0,111.0,6,1,3,6,33,4,0,29,0,5.8,7.5,39.2,2023-09-03 13:00:00+00:00,90,0,4,0,55481,30.0,6,-4659,6580,11239,55,2023-09-03
4,2023-09-16,Sat,5,Home,L 1–3,Wolves,Liverpool,Y,FW,60,0,0,0,0,2,1,0,0,24,1,0,0,0.1,0.1,0.0,2,0,11,14,0,18,3,6,3,132,34,8,10,3,4,0,0,0.1,0,0,0,0,12,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,12,12,5,126.0,65.0,3,1,2,1,16,5,0,8,0,2.7,3.2,5.6,2023-09-16 11:30:00+00:00,60,0,5,0,55216,24.0,2,-2656,7137,9793,55,2023-09-16
5,2023-09-23,Sat,6,Away,D 1–1,Wolves,Luton Town,Y,FW,70,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,16,22,0,15,0,3,2,174,47,10,12,2,4,1,1,0.0,0,1,0,0,18,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,20,5,0,65.0,7.0,1,0,1,2,17,1,0,4,0,2.0,0.5,2.8,2023-09-23 14:00:00+00:00,70,0,6,0,68435,0.0,2,10829,18505,7676,55,2023-09-23
6,2023-09-30,Sat,7,Home,W 2–1,Wolves,Manchester City,Y,FW,85,0,1,0,0,0,0,0,0,37,3,0,3,0.0,0.0,0.4,2,1,16,19,2,18,3,5,3,179,35,11,14,5,5,0,0,0.4,2,1,0,0,17,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,2,2,0,1,2,2,0,3,11,18,9,1,144.0,89.0,4,0,3,2,18,0,0,20,0,21.7,5.9,35.6,2023-09-30 14:00:00+00:00,85,0,7,0,56116,2.0,5,-11474,4730,16204,55,2023-09-30
7,2023-10-08,Sun,8,Home,D 1–1,Wolves,Aston Villa,Y,FW,75,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,1,1,6,9,1,7,1,2,0,94,14,4,6,1,1,1,1,0.0,0,0,0,0,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,13,2,2,71.0,40.0,0,1,1,0,10,1,0,3,0,0.2,0.5,3.2,2023-10-08 13:00:00+00:00,75,0,8,0,65752,2.0,2,7423,15221,7798,55,2023-10-08
8,2023-10-21,Sat,9,Away,W 2–1,Wolves,Bournemouth,Y,FW,81,1,0,0,0,5,4,1,0,60,1,2,1,0.6,0.6,0.3,5,0,32,39,6,34,6,7,2,428,107,18,20,12,14,1,2,0.1,2,1,2,0,38,1,0,0,1,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,24,32,12,267.0,146.0,4,2,3,2,47,6,2,28,0,25.4,14.4,49.0,2023-10-21 14:00:00+00:00,81,0,9,0,75828,70.0,7,8980,15978,6998,55,2023-10-21
9,2023-10-28,Sat,10,Home,D 2–2,Wolves,Newcastle Utd,Y,FW,90,0,0,0,0,4,3,0,0,45,3,1,0,0.3,0.3,0.0,3,0,17,24,2,22,5,11,7,224,45,13,14,4,8,0,1,0.0,0,3,1,0,23,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,1,22,25,7,287.0,167.0,5,1,4,1,27,7,0,8,0,2.1,9.8,23.4,2023-10-28 16:30:00+00:00,90,0,10,0,85882,72.0,2,9440,18808,9368,55,2023-10-28
