,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-13,Sun,1,Away,D 1–1,Liverpool,Chelsea,N,LM,25,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,16,18,2,14,0,1,1,188,53,11,11,4,5,0,1,0.0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,11,6,0,54.0,21.0,0,0,0,2,16,1,0,1,0,1.8,0.6,4.6,2023-08-13 15:30:00+00:00,24,0,1,0,11655,0.0,1,0,0,0,50,2023-08-13
1,2023-09-03,Sun,4,Home,W 3–0,Liverpool,Aston Villa,Y,LM,64,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,0,0,33,36,1,27,0,0,0,462,39,17,17,15,17,0,0,0.0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,1,0,2,3,34,5,1,116.0,16.0,1,0,1,1,33,1,0,11,1,1.8,0.7,3.0,2023-09-03 13:00:00+00:00,63,0,4,0,6428,2.0,3,-1649,23,1672,49,2023-09-03
2,2023-09-16,Sat,5,Away,W 3–1,Liverpool,Wolves,Y,"LM,CM",90,0,0,0,0,0,0,1,0,84,1,1,0,0.0,0.0,0.0,0,0,75,79,7,56,1,4,2,1116,233,44,46,27,29,3,3,0.0,0,8,1,0,75,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,1,0,1,9,56,19,0,175.0,72.0,0,0,0,1,71,11,0,12,0,7.8,1.7,9.6,2023-09-16 11:30:00+00:00,90,0,5,0,6606,0.0,1,-222,443,665,49,2023-09-16
3,2023-09-24,Sun,6,Home,W 3–1,Liverpool,West Ham,Y,LM,76,0,0,0,0,2,1,0,0,65,4,0,0,0.0,0.0,0.0,1,0,50,52,8,49,1,4,1,710,213,33,34,14,14,1,1,0.0,0,7,0,0,51,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,1,2,1,0,0,1,0,1,6,32,28,1,237.0,96.0,0,0,0,3,50,11,0,12,0,5.8,3.6,16.8,2023-09-24 13:00:00+00:00,76,0,6,0,6787,13.0,2,11,486,475,49,2023-09-24
4,2023-09-30,Sat,7,Away,L 1–2,Liverpool,Tottenham,Y,LM,25,0,0,0,0,1,0,0,1,15,1,0,3,0.1,0.1,0.0,1,0,9,9,1,7,0,0,0,127,23,3,3,4,4,0,0,0.0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,10,4,1,26.0,8.0,0,0,0,0,7,0,0,-7,0,0.4,0.1,0.0,2023-09-30 16:30:00+00:00,25,0,7,0,7244,5.0,-2,271,909,638,49,2023-09-30
5,2023-11-25,Sat,13,Away,D 1–1,Liverpool,Manchester City,Y,LM,53,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,19,22,2,23,2,4,2,273,39,13,14,5,6,1,2,0.0,0,2,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,8,15,7,0,124.0,50.0,0,0,2,3,23,1,0,2,0,1.8,0.7,4.8,2023-11-25 12:30:00+00:00,53,0,13,0,4750,0.0,1,-233,48,281,49,2023-11-25
6,2023-12-06,Wed,15,Away,W 2–0,Liverpool,Sheffield Utd,N,LM,34,0,0,0,0,1,0,0,0,27,0,0,2,0.1,0.1,0.0,1,0,16,20,2,18,1,1,1,194,36,12,12,2,2,0,2,0.0,0,3,0,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,5,14,9,2,72.0,36.0,1,0,2,1,19,1,0,-1,0,5.3,1.4,1.0,2023-12-06 19:30:00+00:00,31,0,15,0,5127,8.0,1,-5,163,168,49,2023-12-06
7,2023-12-09,Sat,16,Away,W 2–1,Liverpool,Crystal Palace,N,LM,17,0,1,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.1,1,1,15,17,1,13,0,0,0,174,32,13,14,2,2,0,0,0.1,1,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,14,6,2,50.0,10.0,0,0,2,0,14,2,0,13,0,11.4,3.5,19.6,2023-12-09 12:30:00+00:00,17,0,16,0,5091,4.0,4,-79,130,209,49,2023-12-09
8,2023-12-17,Sun,17,Home,D 0–0,Liverpool,Manchester Utd,N,LW,13,0,0,0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,1,0,3,3,1,3,0,0,0,32,14,2,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,7.0,1.0,0,0,0,1,4,1,0,1,0,0.2,0.4,0.2,2023-12-17 16:30:00+00:00,12,0,17,0,5148,4.0,1,-9,200,209,49,2023-12-17
9,2023-12-23,Sat,18,Home,D 1–1,Liverpool,Arsenal,Y,LM,67,0,0,0,0,1,0,0,0,41,1,1,3,0.0,0.0,0.1,2,0,30,34,6,27,5,1,0,466,73,14,16,16,17,0,0,0.0,1,4,1,0,33,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,3,27,12,2,257.0,142.0,5,0,0,1,34,5,0,12,0,12.8,2.5,6.0,2023-12-23 17:30:00+00:00,67,0,18,0,5521,6.0,2,282,460,178,49,2023-12-23
