,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-07,Sun,1,Home,D 2–2,Leicester City,Brentford,N,FW,18,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,5,0,3,0,1,1,8,8,1,3,0,1,0,1,0.0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,17.0,8.0,0,0,1,0,2,0,0,4,0,0.1,0.1,1.2,2022-08-07 13:00:00+00:00,17,0,1,0,113131,0.0,1,0,0,0,60,2022-08-07
1,2022-08-13,Sat,2,Away,L 2–4,Leicester City,Arsenal,N,FW,28,0,0,0,0,1,0,0,0,15,1,1,1,0.1,0.1,0.0,0,0,3,6,0,6,0,3,1,30,6,3,4,0,1,0,0,0.0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,2,4,9,2,15.0,5.0,0,0,1,0,7,4,0,2,0,3.3,3.2,9.0,2022-08-13 14:00:00+00:00,27,0,2,0,112697,20.0,1,-18403,8046,26449,60,2022-08-13
2,2022-08-20,Sat,3,Home,L 1–2,Leicester City,Southampton,N,FW,26,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,1,1,0,3,0,0,0,10,8,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,9.0,0.0,0,0,3,0,4,1,0,-2,0,0.3,0.0,0.0,2022-08-20 14:00:00+00:00,25,0,3,0,101732,0.0,0,-18438,7363,25801,59,2022-08-20
3,2022-09-01,Thu,5,Home,L 0–1,Leicester City,Manchester Utd,N,FW,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.2,2,0,2,2,0,1,0,0,0,25,5,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.0,0.0,0,0,0,0,2,0,0,4,0,10.5,1.3,2.2,2022-09-01 19:00:00+00:00,3,0,5,0,79411,0.0,1,-10964,2646,13610,58,2022-09-01
4,2022-09-04,Sun,6,Away,L 2–5,Leicester City,Brighton,Y,FW,90,1,1,0,0,3,2,0,0,27,2,1,1,0.4,0.4,0.8,1,1,13,17,1,6,0,1,1,179,31,8,10,4,5,0,0,0.3,1,0,1,0,11,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,4,16,7,3,25.0,11.0,0,0,3,0,16,4,2,44,0,10.8,10.3,62.4,2022-09-04 13:00:00+00:00,90,0,6,0,71351,30.0,11,-10041,2615,12656,57,2022-09-04
5,2022-09-17,Sat,8,Away,L 2–6,Leicester City,Tottenham,Y,FW,73,0,0,0,0,3,2,1,0,30,1,0,0,0.2,0.2,0.2,2,0,16,23,2,10,1,0,0,233,41,7,9,9,11,0,0,0.0,2,2,1,0,18,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,14,3,47.0,29.0,1,0,2,1,19,9,0,9,0,21.8,6.8,9.8,2022-09-17 16:30:00+00:00,73,0,8,0,76971,36.0,1,-1988,2267,4255,57,2022-09-17
6,2022-10-03,Mon,9,Home,W 4–0,Leicester City,Nott'ham Forest,N,FW,29,1,0,0,0,1,1,0,0,13,0,0,0,0.2,0.2,0.0,1,1,6,9,0,7,3,0,0,70,12,4,6,1,1,0,0,0.0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,7,2,54.0,38.0,0,1,2,0,10,2,0,25,0,1.8,5.4,33.4,2022-10-03 19:00:00+00:00,28,0,9,0,75653,19.0,5,-2675,6887,9562,57,2022-10-03
7,2022-10-08,Sat,10,Away,L 1–2,Leicester City,Bournemouth,Y,FW,66,1,0,0,0,2,2,0,0,18,0,0,1,0.5,0.5,0.0,1,0,7,11,1,7,1,0,0,58,12,5,7,1,3,0,0,0.0,0,1,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,12,4,76.0,19.0,0,1,2,1,15,4,0,25,1,3.2,9.1,34.2,2022-10-08 14:00:00+00:00,66,0,10,0,103616,54.0,6,25066,33243,8177,57,2022-10-08
8,2022-10-15,Sat,11,Home,D 0–0,Leicester City,Crystal Palace,Y,FW,64,0,0,0,0,1,1,0,0,25,0,0,1,0.1,0.1,0.1,1,0,11,18,1,16,2,2,0,117,21,10,15,1,1,0,1,0.5,1,0,0,0,18,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,8,16,6,107.0,68.0,1,1,2,0,16,5,0,9,1,18.3,5.2,6.6,2022-10-15 11:30:00+00:00,64,0,11,0,144680,27.0,2,37928,46626,8698,57,2022-10-15
9,2022-10-20,Thu,12,Home,W 2–0,Leicester City,Leeds United,N,FW,27,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.2,1,0,4,8,1,8,0,0,0,41,23,3,3,1,5,0,0,0.1,1,0,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,3,6,0,20.0,11.0,2,0,0,2,8,2,0,2,0,11.0,1.6,5.2,2022-10-20 19:15:00+00:00,26,0,12,0,157282,0.0,1,3924,18169,14245,57,2022-10-20
10,2022-10-23,Sun,13,Away,W 4–0,Leicester City,Wolves,Y,FW,61,0,0,0,0,0,0,0,0,20,2,1,1,0.0,0.0,0.0,0,0,7,12,0,5,1,0,0,91,29,2,4,2,2,1,1,0.0,0,0,1,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,1,0,0,2,4,7,9,1,39.0,18.0,0,0,3,1,13,2,0,3,1,6.1,1.4,5.4,2022-10-23 13:00:00+00:00,60,0,13,0,133556,2.0,2,-15467,5800,21267,57,2022-10-23
11,2022-10-29,Sat,14,Home,L 0–1,Leicester City,Manchester City,N,CB,19,0,0,0,0,2,1,0,0,8,0,0,0,0.1,0.1,0.0,0,0,2,2,0,2,0,0,0,26,0,0,0,1,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7,3,1.0,0.0,0,0,3,1,5,2,0,-2,0,0.5,4.2,2.0,2022-10-29 11:30:00+00:00,18,0,14,0,120853,39.0,1,-13779,6171,19950,57,2022-10-29
12,2022-11-05,Sat,15,Away,W 2–0,Leicester City,Everton,Y,FW,69,0,0,0,0,4,2,0,0,23,0,0,0,0.6,0.6,0.1,5,1,11,16,3,15,1,0,0,137,39,6,8,4,5,0,0,0.1,2,1,1,0,15,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,12,5,97.0,25.0,0,1,3,0,19,6,0,4,1,21.3,7.9,8.0,2022-11-05 17:30:00+00:00,69,0,15,0,117405,50.0,2,-4493,9404,13897,57,2022-11-05
13,2022-11-12,Sat,16,Away,W 2–0,Leicester City,West Ham,Y,FW,68,0,1,0,0,1,0,0,0,15,0,0,1,0.1,0.1,0.2,2,1,9,11,1,10,1,0,0,114,33,5,5,3,4,0,1,0.1,1,0,0,0,11,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,7,6,2,67.0,38.0,1,1,1,1,11,4,0,14,1,13.9,3.6,14.2,2022-11-12 15:00:00+00:00,68,0,16,0,118718,8.0,5,335,10715,10380,57,2022-11-12
14,2022-12-26,Mon,17,Home,L 0–3,Leicester City,Newcastle Utd,Y,FW,45,0,0,0,0,1,0,0,0,21,0,0,1,0.1,0.1,0.0,0,0,8,11,1,12,1,2,1,106,7,5,6,3,4,0,0,0.0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,15,5,60.0,15.0,1,1,4,1,12,3,0,1,0,1.3,1.2,0.0,2022-12-26 15:00:00+00:00,45,0,17,0,122491,12.0,1,2064,35088,33024,57,2022-12-26
15,2022-12-30,Fri,18,Away,L 1–2,Leicester City,Liverpool,Y,FW,14,0,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.5,1,1,2,3,0,1,0,0,0,19,0,2,3,0,0,0,0,0.0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,7.0,0.0,0,0,0,0,2,0,0,16,0,11.3,2.7,16.0,2022-12-30 20:00:00+00:00,14,0,18,0,116975,0.0,4,-5972,4347,10319,57,2022-12-30
16,2023-01-21,Sat,21,Home,D 2–2,Leicester City,Brighton,N,FW,5,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,21,0,0,0,1,1,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6.0,6.0,0,0,0,0,1,0,0,5,0,0.0,0.2,2.0,2023-01-21 15:00:00+00:00,4,0,21,0,97710,0.0,1,-2563,3303,5866,57,2023-01-21
17,2023-02-25,Sat,25,Home,L 0–1,Leicester City,Arsenal,N,FW,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,0,3,0,0,0,41,15,2,3,1,1,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,9.0,2.0,0,0,0,0,4,0,0,2,0,0.0,0.0,0.0,2023-02-25 15:00:00+00:00,13,0,25,0,89700,0.0,1,-569,2208,2777,56,2023-02-25
18,2023-03-11,Sat,27,Home,L 1–3,Leicester City,Chelsea,Y,FW,65,1,0,0,0,1,1,0,0,27,0,0,1,0.0,0.0,0.1,1,1,14,18,3,20,1,4,2,200,28,8,10,4,5,1,1,0.0,1,1,2,0,15,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,15,1,90.0,24.0,0,0,2,4,21,6,1,28,0,15.8,6.1,36.6,2023-03-11 15:00:00+00:00,65,0,27,0,87414,9.0,7,-1317,1015,2332,56,2023-03-11
19,2023-03-18,Sat,28,Away,D 1–1,Leicester City,Brentford,Y,FW,65,0,0,0,0,3,0,0,0,18,0,0,0,0.3,0.3,0.0,1,0,6,12,0,11,1,2,1,65,28,3,4,1,4,0,0,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,9,7,4,49.0,25.0,1,1,0,3,14,5,0,0,0,0.4,1.2,0.0,2023-03-18 15:00:00+00:00,65,0,28,0,94996,15.0,2,6277,7999,1722,56,2023-03-18
20,2023-04-01,Sat,29,Away,L 1–2,Leicester City,Crystal Palace,Y,FW,71,0,0,0,0,0,0,0,0,20,1,0,2,0.0,0.0,0.1,1,0,7,10,1,4,1,0,0,93,10,4,5,3,4,0,0,0.1,1,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,2,9,10,1,37.0,34.0,1,0,5,1,6,2,0,4,0,10.7,1.5,2.2,2023-04-01 14:00:00+00:00,71,0,29,0,99985,2.0,2,4939,8045,3106,56,2023-04-01
21,2023-04-04,Tue,7,Home,L 1–2,Leicester City,Aston Villa,N,FW,15,0,0,0,0,1,0,0,0,6,0,1,0,0.0,0.0,0.0,1,0,2,2,0,1,0,0,0,23,16,0,0,1,1,0,0,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,3.0,3.0,0,0,1,0,1,0,0,1,0,0.1,0.4,0.0,2023-04-04 18:45:00+00:00,14,0,29,0,99985,6.0,1,4939,8045,3106,56,2023-04-04
22,2023-04-08,Sat,30,Home,L 0–1,Leicester City,Bournemouth,N,FW,33,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,1,0,3,7,1,4,0,0,0,42,2,2,5,1,1,0,0,0.0,1,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,5,2,25.0,0.0,0,0,0,0,6,3,0,3,0,10.5,3.4,4.2,2023-04-08 14:00:00+00:00,32,0,30,0,97022,19.0,1,-2575,1821,4396,56,2023-04-08
23,2023-04-15,Sat,31,Away,L 1–3,Leicester City,Manchester City,N,AM,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,3,0,2,0,0,0,37,4,1,2,1,1,0,0,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5.0,5.0,0,0,0,0,3,0,0,3,0,0.2,0.0,0.2,2023-04-15 16:30:00+00:00,3,0,31,0,93937,0.0,1,-3181,683,3864,56,2023-04-15
24,2023-04-22,Sat,32,Home,W 2–1,Leicester City,Wolves,Y,LW,90,0,0,0,0,4,3,0,0,42,1,1,1,0.6,0.6,0.0,1,0,16,29,1,16,3,2,0,218,6,10,13,4,10,1,2,0.0,0,0,0,0,28,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,0,1,0,0,0,3,21,18,4,100.0,46.0,0,1,4,0,28,9,0,-1,0,3.3,8.1,6.4,2023-04-22 14:00:00+00:00,90,0,32,0,92417,71.0,2,-1531,757,2288,56,2023-04-22
25,2023-04-25,Tue,33,Away,D 1–1,Leicester City,Leeds United,N,LW,21,0,0,0,0,1,0,0,0,13,1,0,0,0.1,0.1,0.1,3,0,7,9,0,6,1,0,0,90,26,5,6,2,2,0,0,0.0,2,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,3,8,3,25.0,18.0,0,1,0,1,6,1,0,6,0,21.0,3.7,6.6,2023-04-25 19:00:00+00:00,20,0,33,0,92754,9.0,1,68,1876,1808,56,2023-04-25
26,2023-05-01,Mon,34,Home,D 2–2,Leicester City,Everton,N,RW,30,0,0,0,0,0,0,0,0,20,2,0,0,0.0,0.0,0.0,0,0,13,15,0,10,0,0,0,220,6,8,8,3,3,2,2,0.0,1,0,0,0,12,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,5,6,9,1,43.0,1.0,0,1,2,2,13,1,0,1,0,11.4,2.0,7.0,2023-05-01 19:00:00+00:00,29,0,34,0,91388,2.0,1,-1424,1152,2576,56,2023-05-01
27,2023-05-08,Mon,35,Away,L 3–5,Leicester City,Fulham,N,FW,15,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.2,1,1,2,2,0,3,0,0,0,52,6,1,1,0,0,1,1,0.4,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,6.0,0.0,0,0,2,0,3,1,0,16,0,10.3,3.0,17.2,2023-05-08 14:00:00+00:00,14,0,35,0,90154,2.0,4,-1330,731,2061,56,2023-05-08
28,2023-05-15,Mon,36,Home,L 0–3,Leicester City,Liverpool,N,"LW,RW",30,0,0,0,0,0,0,0,0,22,0,2,1,0.0,0.0,0.0,0,0,14,18,0,11,0,1,0,219,14,9,11,3,4,2,2,0.0,0,0,0,0,16,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,15,1,36.0,4.0,0,1,0,0,16,3,0,3,0,4.1,0.8,2.2,2023-05-15 19:00:00+00:00,29,0,36,0,89107,2.0,1,-1110,476,1586,56,2023-05-15
29,2023-05-22,Mon,37,Away,D 0–0,Leicester City,Newcastle Utd,N,FW,28,0,0,0,0,0,0,0,0,11,1,0,2,0.0,0.0,0.0,0,0,2,8,0,3,0,0,0,20,3,1,3,0,4,0,0,0.0,0,0,0,0,6,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,2,7,2,13.0,8.0,0,0,0,0,5,3,0,2,0,0.3,0.7,1.0,2023-05-22 19:00:00+00:00,27,0,37,0,88751,6.0,1,-426,591,1017,56,2023-05-22
30,2021-08-23,Mon,2,Away,L 1–4,Leicester City,West Ham,N,LW,27,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,12.0,1.0,0,0,1,0,1,0,0,2,0,0.0,0.1,1.0,2021-08-23 19:00:00+00:00,26,0,2,0,83139,0.0,1,-30143,3149,33292,74,2021-08-23
