,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Fulham,Everton,N,LW,45,1,0,0,0,3,1,0,0,29,1,0,2,1.1,1.1,0.0,0,0,11,18,2,17,4,0,0,134,32,6,7,4,5,0,2,0.0,0,1,0,0,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,2,0,1,9,10,11,4,117.0,83.0,2,1,1,0,19,6,0,21,0,1.5,8.5,37.8,2023-08-12 14:00:00+00:00,45,0,1,0,7367,46.0,6,0,0,0,55,2023-08-12
1,2023-08-19,Sat,2,Home,L 0–3,Fulham,Brentford,Y,LW,66,0,0,0,0,2,0,0,0,19,0,0,1,0.1,0.1,0.0,1,0,11,12,1,11,0,0,0,185,58,5,6,3,3,2,2,0.0,0,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,11,3,45.0,2.0,0,0,2,0,13,2,0,4,0,1.2,0.8,0.0,2023-08-19 14:00:00+00:00,67,0,2,0,19528,10.0,2,5776,7458,1682,55,2023-08-19
2,2023-08-26,Sat,3,Away,D 2–2,Fulham,Arsenal,Y*,LW,88,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.1,1,0,11,20,2,18,3,2,0,167,57,7,11,3,5,1,3,0.0,1,1,1,0,20,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,12,9,2,88.0,61.0,1,2,1,0,18,6,0,6,0,12.0,1.8,1.6,2023-08-26 14:00:00+00:00,88,0,3,0,17159,4.0,2,-2812,1921,4733,55,2023-08-26
3,2023-09-02,Sat,4,Away,L 1–5,Fulham,Manchester City,Y,LW,72,0,0,0,0,2,1,1,0,30,2,0,2,0.4,0.4,0.0,2,0,17,20,0,15,1,0,0,233,49,9,9,7,8,0,1,0.0,0,0,0,0,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,0,0,7,16,7,1,74.0,25.0,1,0,1,0,20,0,0,11,0,0.9,4.1,3.8,2023-09-02 14:00:00+00:00,72,0,4,0,14973,36.0,4,-2723,509,3232,55,2023-09-02
4,2023-09-16,Sat,5,Home,W 1–0,Fulham,Luton Town,N,RW,10,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,7,8,1,6,1,2,1,77,27,5,6,1,1,0,0,0.0,1,1,0,0,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,26.0,19.0,1,0,1,1,8,2,0,4,0,14.3,1.8,3.4,2023-09-16 14:00:00+00:00,9,0,5,0,20799,0.0,1,4391,6761,2370,55,2023-09-16
5,2023-09-23,Sat,6,Away,D 0–0,Fulham,Crystal Palace,Y,RW,78,0,0,0,0,0,0,0,0,35,3,0,2,0.0,0.0,0.0,0,0,22,27,5,16,4,2,1,305,100,13,16,6,8,1,1,0.2,0,0,2,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,2,1,0,2,7,17,12,0,157.0,82.0,2,0,2,0,19,5,0,8,1,6.3,1.5,8.6,2023-09-23 14:00:00+00:00,78,0,6,0,17379,0.0,3,-3194,707,3901,55,2023-09-23
6,2023-10-07,Sat,8,Home,W 3–1,Fulham,Sheffield Utd,Y,RW,77,1,0,0,0,4,1,0,0,39,2,0,1,0.8,0.8,0.0,2,0,19,27,2,27,2,2,1,256,46,12,13,6,8,0,3,0.0,1,1,1,0,26,1,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,1,0,1,0,0,0,1,17,21,4,154.0,38.0,0,0,3,3,33,5,2,25,0,13.7,8.2,38.8,2023-10-07 14:00:00+00:00,77,0,8,0,15663,29.0,9,-438,1046,1484,55,2023-10-07
7,2023-10-23,Mon,9,Away,L 0–2,Fulham,Tottenham,Y,RW,61,0,0,0,0,1,0,0,0,30,4,0,0,0.0,0.0,0.0,0,0,10,15,0,17,1,2,0,131,19,7,7,2,5,0,1,0.0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,0,0,0,2,0,2,7,11,12,1,43.0,8.0,0,0,3,0,16,1,0,6,0,2.2,1.1,6.2,2023-10-23 19:00:00+00:00,61,0,9,0,15545,3.0,2,-380,858,1238,55,2023-10-23
8,2023-10-29,Sun,10,Away,D 1–1,Fulham,Brighton,Y,RW,57,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.0,0,0,10,13,2,8,0,0,0,179,58,1,1,8,9,0,1,0.0,0,1,2,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,9,3,1,39.0,20.0,0,0,0,0,13,2,0,2,0,0.8,0.6,1.6,2023-10-29 14:00:00+00:00,57,0,10,0,14785,4.0,1,-863,261,1124,55,2023-10-29
9,2023-11-04,Sat,11,Home,L 0–1,Fulham,Manchester Utd,N,"LW,RW",10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0.0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.3,0.0,0.0,2023-11-04 12:30:00+00:00,9,0,11,0,15391,0.0,1,328,1428,1100,55,2023-11-04
