,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Home,W 2–0,Bournemouth,Cardiff City,N,"FW,RM",1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0.0,46,0.0,0,2018-08-11 14:00:00+00:00,11 Aug 15:00,0,0,1,0,0,0,0,0,1,0,42370,0,0,0,0.0,1,0,0,0,60,0,2018-08-11
1,2018-09-22,Sat,6,Away,L 0–4,Bournemouth,Burnley,N,FW,13,0,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,0,0,1,3,0,0,0,0,0,25,0,0,2,1,1,0,0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0.0,0.0,0,0,1,0,0,0,3,0,0,0,3,0,0,1,0.0,0,0,0,0,0,2.6,2703,3.0,0,2018-09-22 14:00:00+00:00,22 Sep 15:00,0,0,12,0,0,0,0,0,6,0,29444,0,0,0,23.0,1,-1817,595,2412,58,0,2018-09-22
2,2018-10-27,Sat,10,Away,W 3–0,Bournemouth,Fulham,N,FW,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0.0,4868,0.0,0,2018-10-27 14:00:00+00:00,27 Oct 15:00,0,0,1,0,0,0,0,0,10,0,26753,0,0,0,0.0,1,-442,332,774,57,0,2018-10-27
3,2018-11-10,Sat,12,Away,L 1–2,Bournemouth,Newcastle Utd,N,FW,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0.0,5966,0.0,0,2018-11-10 15:00:00+00:00,10 Nov 15:00,0,0,8,0,0,0,0,0,12,0,26182,0,0,0,0.0,1,-569,314,883,56,0,2018-11-10
4,2017-08-12,Sat,1,Away,L 0–1,Bournemouth,West Brom,N,FW,27,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.1,1,0,3,3,0,4,0,0,0,38,4,2,2,1,1,0,0,0.1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,17.0,6.0,0,0,0,1,5,2,3,0,0,0,2,0,0,3,10.8,0,0,0,0,1,1.4,52,1.2,1,2017-08-12 14:00:00+00:00,12 Aug 15:00,0,0,26,0,0,0,0,0,1,0,210521,1,0,0,2.0,1,0,0,0,80,0,2017-08-12
5,2017-08-19,Sat,2,Home,L 0–2,Bournemouth,Watford,N,FW,32,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,4,4,0,4,0,0,0,41,1,4,4,0,0,0,0,0.4,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,14.0,4.0,0,0,0,1,5,2,2,0,0,0,2,0,0,2,0.5,0,0,0,0,0,0.3,563,0.0,0,2017-08-19 14:00:00+00:00,19 Aug 15:00,0,0,31,0,0,0,0,0,2,0,195923,1,0,0,2.0,1,-25018,4016,29034,80,0,2017-08-19
6,2017-08-26,Sat,3,Home,L 1–2,Bournemouth,Manchester City,Y,FW,72,0,0,0,0,1,1,0,0,14,1,0,1,0.1,0.1,0.0,2,0,3,7,1,10,0,0,0,30,12,3,5,0,0,0,0,0.0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,6,5,2,42.0,21.0,0,0,3,0,8,3,7,0,0,0,8,0,0,3,0.2,0,0,0,0,1,2.2,1079,3.2,0,2017-08-26 11:30:00+00:00,26 Aug 12:30,0,0,72,0,0,0,0,3,3,0,151526,0,1,0,19.0,2,-46466,1047,47513,79,0,2017-08-26
7,2017-09-09,Sat,4,Away,L 0–3,Bournemouth,Arsenal,Y,FW,70,0,0,0,0,2,0,0,0,13,1,0,0,0.2,0.2,0.0,1,0,7,10,1,6,0,1,0,141,13,2,5,3,3,2,2,0.0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,2,8,4,1,19.0,1.0,0,0,0,1,4,2,10,0,0,0,4,0,0,7,0.5,0,0,0,0,1,1.5,1610,0.0,0,2017-09-09 14:00:00+00:00,09 Sep 15:00,0,0,70,0,0,0,0,4,4,0,131253,2,1,2,18.0,2,-22351,1546,23897,78,0,2017-09-09
8,2017-09-15,Fri,5,Home,W 2–1,Bournemouth,Brighton,Y,FW,77,1,0,0,0,2,1,0,0,19,1,1,0,0.1,0.1,0.1,1,0,10,11,0,10,0,1,1,117,1,7,7,3,4,0,0,0.0,1,0,0,0,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,8,11,3,30.0,4.0,0,0,3,1,11,1,12,0,0,1,33,0,1,10,13.5,1,0,0,0,1,7.1,2154,35.2,1,2017-09-15 19:00:00+00:00,15 Sep 20:00,0,0,77,0,0,0,0,3,5,0,123064,1,0,1,22.0,7,-9229,3906,13135,78,1,2017-09-15
9,2017-09-23,Sat,6,Away,L 1–2,Bournemouth,Everton,Y,FW,74,0,0,0,0,1,1,0,0,12,1,0,0,0.1,0.1,0.0,1,0,6,9,1,10,1,0,0,60,11,5,7,1,2,0,0,0.0,1,1,0,0,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,5,6,4,57.0,18.0,0,1,1,0,9,3,8,0,0,0,6,1,0,6,10.6,0,0,0,0,0,3.8,2700,6.6,1,2017-09-23 14:00:00+00:00,23 Sep 15:00,0,0,74,1,0,0,0,1,6,0,128946,0,0,0,21.0,2,3503,12868,9365,78,0,2017-09-23
