,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-10,Sat,1,Home,L 0–3,Watford,Brighton,Y,AM,45,0,0,0,0,1,0,0,0,27,0,0,1,0.0,0.0,0.0,1,0,14,18,1,14,0,1,1,174,41,8,11,4,4,0,1,0.2,0,1,0,0,17,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,12,12,1,79.0,32.0,0,0,2,3,15,4,0,1,0,5.5,0.6,0.0,2019-08-10 14:00:00+00:00,45,0,1,0,337999,3.0,1,0,0,0,65,2019-08-10
1,2019-08-17,Sat,2,Away,L 0–1,Watford,Everton,Y,"FW,RW",78,0,0,0,0,0,0,0,0,34,2,0,0,0.0,0.0,0.4,2,0,17,29,5,25,4,3,2,213,86,8,10,5,9,1,4,0.4,2,1,3,0,24,5,1,2,0,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,3,2,0,0,0,0,0,3,6,26,5,200.0,96.0,3,4,0,4,25,6,0,11,0,29.3,5.0,9.0,2019-08-17 14:00:00+00:00,78,0,2,0,297181,12.0,2,-59789,9477,69266,65,2019-08-17
2,2019-08-24,Sat,3,Home,L 1–3,Watford,West Ham,Y,FW,73,0,0,0,0,7,1,0,0,50,0,0,1,0.5,0.5,0.1,5,1,27,38,4,35,6,5,3,417,128,11,15,11,13,2,3,0.2,2,1,3,1,36,2,2,0,0,5,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,39,12,336.0,172.0,9,3,1,1,40,14,0,8,0,32.3,15.5,9.6,2019-08-24 14:00:00+00:00,73,0,3,0,255464,113.0,2,-49305,25688,74993,64,2019-08-24
3,2019-08-31,Sat,4,Away,D 1–1,Watford,Newcastle Utd,N,AM,9,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,9,0,10,0,0,0,44,5,5,5,0,1,0,1,0.0,0,0,0,0,8,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,32.0,5.0,0,0,1,2,10,3,0,0,0,1.0,0.3,0.2,2019-08-31 14:00:00+00:00,8,0,4,0,194298,2.0,1,-64657,8161,72818,63,2019-08-31
4,2019-09-15,Sun,5,Home,D 2–2,Watford,Arsenal,Y,LW,90,0,1,0,0,7,4,0,0,82,2,2,1,0.3,0.3,0.6,16,1,56,69,4,65,16,9,7,779,172,33,36,18,19,3,8,0.4,8,0,4,0,62,7,0,0,0,4,1,4,0,11,1,1,2,0,1,1,0,0,0,0,0,1,1,0,1,0,4,4,0,1,0,0,1,4,21,59,14,609.0,397.0,12,9,2,1,61,15,2,33,0,92.0,22.9,52.2,2019-09-15 15:30:00+00:00,90,0,5,0,154549,85.0,7,-43255,4536,47791,62,2019-09-15
5,2019-09-21,Sat,6,Away,L 0–8,Watford,Manchester City,Y,FW,76,0,0,0,0,3,3,1,0,26,0,1,0,0.2,0.2,0.0,1,0,13,19,0,12,5,4,1,194,11,7,8,6,7,0,3,0.0,0,0,0,0,6,12,0,0,0,4,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,14,12,2,145.0,102.0,3,1,0,1,9,4,0,1,0,0.3,5.2,10.4,2019-09-21 14:00:00+00:00,76,0,6,0,146696,41.0,1,-11055,7433,18488,62,2019-09-21
6,2019-09-28,Sat,7,Away,L 0–2,Watford,Wolves,Y,LW,45,0,0,0,0,1,0,0,0,27,1,1,1,0.0,0.0,0.1,1,0,14,18,3,20,5,2,0,180,44,9,10,5,6,0,1,0.1,1,1,2,0,15,3,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,4,12,13,4,151.0,96.0,2,2,0,4,17,1,0,1,0,12.9,2.9,3.6,2019-09-28 14:00:00+00:00,45,0,7,0,137835,12.0,1,-10956,6487,17443,62,2019-09-28
7,2019-10-05,Sat,8,Home,D 0–0,Watford,Sheffield Utd,N,FW,32,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,1,0,8,12,0,15,1,3,2,127,35,4,4,2,5,1,2,0.1,1,0,0,0,11,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,4,11,1,143.0,79.0,1,1,1,0,12,3,0,8,0,11.3,1.8,4.2,2019-10-05 14:00:00+00:00,31,0,8,0,136217,2.0,1,-3455,7956,11411,61,2019-10-05
8,2019-10-19,Sat,9,Away,D 1–1,Watford,Tottenham,N,FW,87,0,0,0,0,3,1,0,0,31,1,0,0,0.2,0.2,0.1,2,0,23,25,1,22,3,2,2,252,68,14,16,5,5,0,0,0.1,1,0,0,0,23,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,6,13,12,3,185.0,96.0,2,3,1,3,21,5,0,6,0,12.1,4.3,5.6,2019-10-19 14:00:00+00:00,86,0,9,0,125453,25.0,2,-11592,2234,13826,61,2019-10-19
9,2019-10-26,Sat,10,Home,D 0–0,Watford,Bournemouth,Y,FW,90,0,0,0,0,2,1,1,0,50,1,1,0,0.5,0.5,0.0,1,0,19,34,3,27,5,7,3,243,92,13,16,5,9,0,5,0.0,0,1,0,0,26,6,2,0,0,9,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,5,16,30,1,237.0,153.0,3,0,6,3,30,7,0,-8,1,7.6,3.5,5.8,2019-10-26 14:00:00+00:00,90,0,10,0,128616,22.0,1,1778,6619,4841,61,2019-10-26
