,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-07,Sun,1,Home,D 2–2,Leicester City,Brentford,Y,DM,72,1,0,0,0,1,1,0,0,55,1,2,0,0.0,0.0,0.0,4,1,40,45,11,44,2,1,1,676,209,17,17,13,16,7,9,0.0,1,9,0,0,45,0,0,1,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,3,3,0,0,0,0,0,6,36,13,1,177.0,110.0,0,0,3,1,48,2,3,34,0,15.3,6.7,42.4,2022-08-07 13:00:00+00:00,72,0,1,0,62732,9.0,10,0,0,0,50,2022-08-07
1,2022-08-13,Sat,2,Away,L 2–4,Leicester City,Arsenal,Y,"DM,LM",90,0,0,0,0,1,0,0,0,53,0,2,1,0.0,0.0,0.0,0,0,32,48,3,36,2,3,1,511,57,18,23,12,15,1,6,0.0,0,1,1,0,46,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,13,30,11,0,240.0,130.0,0,0,0,0,39,2,0,6,0,3.3,0.6,1.4,2022-08-13 14:00:00+00:00,90,0,2,0,179484,1.0,2,72569,89726,17157,50,2022-08-13
2,2022-08-20,Sat,3,Home,L 1–2,Leicester City,Southampton,Y,"CM,LW,AM",90,0,0,0,0,0,0,0,0,59,5,0,1,0.0,0.0,0.1,2,0,32,47,5,31,5,4,3,566,127,17,21,9,14,5,11,0.0,1,3,1,0,46,1,0,0,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,4,0,3,4,1,0,1,1,0,2,13,24,23,3,211.0,115.0,3,3,2,1,38,2,0,13,0,17.6,4.9,21.6,2022-08-20 14:00:00+00:00,90,0,3,0,248415,10.0,2,61981,106904,44923,50,2022-08-20
3,2022-08-27,Sat,4,Away,L 1–2,Leicester City,Chelsea,Y,CM,90,0,0,0,0,0,0,1,0,62,0,1,3,0.0,0.0,0.1,3,0,35,53,6,23,2,2,0,584,186,18,24,11,18,3,8,0.1,1,5,1,0,44,9,2,0,2,10,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,2,6,32,25,0,118.0,69.0,1,0,3,0,35,2,0,7,0,17.8,2.4,6.0,2022-08-27 14:00:00+00:00,90,0,4,0,201906,0.0,1,-46146,14849,60995,50,2022-08-27
4,2022-09-01,Thu,5,Home,L 0–1,Leicester City,Manchester Utd,Y,CM,90,0,0,0,0,3,1,0,0,67,4,1,0,0.1,0.1,0.3,6,0,36,51,3,34,2,4,2,658,116,14,18,18,25,4,6,0.2,2,5,1,1,50,1,1,1,2,3,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,2,1,3,0,1,1,0,0,0,0,0,1,12,39,17,0,225.0,132.0,1,0,3,0,48,3,0,17,0,28.3,7.2,20.4,2022-09-01 19:00:00+00:00,90,0,5,0,169393,23.0,2,-34525,6778,41303,50,2022-09-01
5,2022-09-04,Sun,6,Away,L 2–5,Leicester City,Brighton,N,CM,19,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,2,12,0,1,1,147,56,6,9,4,4,0,0,0.0,0,2,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1,0,28.0,18.0,0,0,1,1,13,1,0,2,0,0.6,0.1,0.8,2022-09-04 13:00:00+00:00,18,0,6,0,154652,0.0,1,-16403,9544,25947,50,2022-09-04
6,2022-09-17,Sat,8,Away,L 2–6,Leicester City,Tottenham,Y,CM,73,0,0,0,0,1,0,0,0,66,0,0,2,0.1,0.1,0.2,5,1,48,56,5,42,2,2,0,876,130,17,20,24,27,5,7,0.0,4,7,0,0,56,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,7,35,24,3,184.0,99.0,2,0,1,1,54,4,0,13,0,46.7,6.5,11.0,2022-09-17 16:30:00+00:00,73,0,8,0,124790,7.0,2,-9402,2407,11809,50,2022-09-17
7,2022-10-03,Mon,9,Home,W 4–0,Leicester City,Nott'ham Forest,Y,CM,90,0,0,0,0,3,0,0,0,63,2,3,1,0.3,0.3,0.0,4,1,31,46,5,28,3,1,0,485,81,17,24,13,15,1,3,0.0,0,2,0,0,44,0,0,0,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,1,1,0,1,6,29,28,2,171.0,90.0,2,0,4,0,45,6,0,15,1,3.3,1.9,4.4,2022-10-03 19:00:00+00:00,90,0,9,0,118511,11.0,6,-9762,6622,16384,50,2022-10-03
8,2022-10-08,Sat,10,Away,L 1–2,Leicester City,Bournemouth,Y,CM,90,0,0,0,0,0,0,0,0,51,1,2,2,0.0,0.0,0.1,1,0,35,42,7,27,1,0,0,531,161,19,20,14,17,2,3,0.0,2,2,3,0,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,2,0,2,9,25,18,4,181.0,73.0,4,0,2,1,39,7,0,14,0,23.0,5.0,17.2,2022-10-08 14:00:00+00:00,90,0,10,0,121149,10.0,2,1950,14155,12205,50,2022-10-08
9,2022-10-15,Sat,11,Home,D 0–0,Leicester City,Crystal Palace,Y,CM,90,0,0,0,0,1,0,0,0,48,2,0,1,0.1,0.1,0.1,5,0,36,44,7,36,4,1,1,474,184,24,24,8,9,2,4,0.0,2,10,3,0,43,0,0,0,1,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,4,3,0,1,0,0,0,4,33,11,2,215.0,83.0,0,1,1,1,39,4,0,11,1,25.4,4.8,10.4,2022-10-15 11:30:00+00:00,90,0,11,0,113512,12.0,3,-7633,3605,11238,50,2022-10-15
