,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-02,Sat,4,Home,W 5–1,Manchester City,Fulham,Y,RW,75,0,0,0,0,0,0,0,0,36,3,2,0,0.0,0.0,0.0,0,0,20,26,0,24,2,4,2,328,22,10,11,7,9,2,2,0.0,0,0,1,1,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,0,0,1,0,0,2,19,16,0,111.0,60.0,0,0,2,2,26,4,0,9,0,6.8,1.9,12.0,2023-09-02 14:00:00+00:00,75,0,4,0,6112,0.0,2,3557,4865,1308,65,2023-09-02
1,2023-09-16,Sat,5,Away,W 3–1,Manchester City,West Ham,Y,LW,89,1,0,0,0,3,2,0,0,61,2,0,2,0.1,0.1,0.6,7,0,30,40,4,46,13,8,3,406,92,21,24,8,12,1,1,0.6,3,2,2,0,40,0,0,0,0,4,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,6,17,39,13,405.0,279.0,0,11,3,0,45,16,2,38,0,34.9,14.4,49.0,2023-09-16 14:00:00+00:00,89,0,5,0,11245,60.0,9,3661,6068,2407,65,2023-09-16
2,2023-09-23,Sat,6,Home,W 2–0,Manchester City,Nott'ham Forest,Y,LW,50,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.3,3,0,21,24,2,27,4,6,3,254,47,16,16,5,7,0,0,0.3,1,0,2,0,24,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,5,21,1,141.0,87.0,1,1,1,0,26,5,0,8,0,14.8,2.5,6.6,2023-09-23 14:00:00+00:00,51,0,6,0,179540,4.0,1,158515,171473,12958,65,2023-09-23
3,2023-09-30,Sat,7,Away,L 1–2,Manchester City,Wolves,Y,"LW,RW",90,0,0,0,0,6,1,1,0,69,1,1,1,0.2,0.2,0.1,7,0,38,55,2,53,14,7,6,496,73,25,30,11,14,0,2,0.2,4,0,3,1,55,0,0,1,0,5,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,1,0,0,0,2,6,61,13,560.0,384.0,6,6,2,1,55,25,0,11,0,55.4,11.3,15.6,2023-09-30 14:00:00+00:00,90,0,7,0,175566,42.0,1,-2009,39120,41129,65,2023-09-30
4,2023-10-08,Sun,8,Away,L 0–1,Manchester City,Arsenal,N,LW,23,0,0,0,0,0,0,0,0,20,4,2,0,0.0,0.0,0.0,0,0,2,4,0,12,2,7,1,33,0,1,1,1,2,0,0,0.0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,3,2,0,0,1,0,2,12,3,5,2,127.0,74.0,1,2,2,0,9,3,0,0,0,0.3,1.6,12.0,2023-10-08 15:30:00+00:00,22,0,8,0,154735,4.0,1,-22379,25563,47942,65,2023-10-08
5,2023-10-21,Sat,9,Home,W 2–1,Manchester City,Brighton,Y,LW,74,0,1,0,0,3,1,0,0,50,1,0,0,0.1,0.1,0.2,3,2,31,39,2,42,14,7,5,433,69,18,20,11,17,1,1,0.2,2,0,2,0,39,0,0,0,1,2,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,12,36,10,472.0,358.0,4,8,4,0,44,15,1,25,0,25.8,8.9,23.8,2023-10-21 14:00:00+00:00,74,0,9,0,138075,39.0,6,-20330,13341,33671,65,2023-10-21
6,2023-10-29,Sun,10,Away,W 3–0,Manchester City,Manchester Utd,N,LW,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,2,0,4,2,4,2,41,3,1,1,0,0,1,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,52.0,35.0,1,1,0,0,4,1,0,4,0,0.5,0.5,2.0,2023-10-29 15:30:00+00:00,3,0,10,0,144266,2.0,1,3646,25520,21874,65,2023-10-29
7,2023-11-04,Sat,11,Home,W 6–1,Manchester City,Bournemouth,Y,WB,90,1,4,0,0,3,1,0,0,50,2,0,1,0.1,0.1,0.6,11,5,36,40,5,41,11,6,5,542,118,23,24,11,13,2,2,0.4,5,1,2,1,40,0,0,0,0,3,0,0,0,9,0,1,1,0,0,4,0,0,1,0,0,2,1,1,0,1,1,0,0,1,0,0,0,3,13,37,11,438.0,279.0,2,8,1,2,42,11,3,82,0,60.2,21.9,113.4,2023-11-04 15:00:00+00:00,90,0,11,0,142418,45.0,22,-3494,19056,22550,65,2023-11-04
8,2023-11-12,Sun,12,Away,D 4–4,Manchester City,Chelsea,Y,LW,58,0,0,0,0,1,1,1,0,24,2,0,0,0.1,0.1,0.0,0,0,10,15,2,18,5,10,4,147,60,6,9,4,5,0,0,0.1,0,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,1,0,0,0,0,0,1,3,20,9,220.0,144.0,3,5,2,2,21,7,0,1,0,2.1,4.7,8.0,2023-11-12 16:30:00+00:00,58,0,12,0,718927,37.0,0,546947,561176,14229,66,2023-11-12
9,2023-11-25,Sat,13,Home,D 1–1,Manchester City,Liverpool,Y,LW,90,0,0,0,0,2,0,0,0,71,4,0,1,0.1,0.1,0.5,8,0,43,50,5,58,13,17,12,626,103,28,30,14,19,1,1,0.7,4,1,3,1,50,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1,1,0,1,1,0,0,3,20,49,14,523.0,343.0,2,9,7,2,60,25,3,30,0,53.4,12.8,31.2,2023-11-25 12:30:00+00:00,90,0,13,0,787311,43.0,5,78840,163482,84642,67,2023-11-25
10,2023-12-03,Sun,14,Home,D 3–3,Manchester City,Tottenham,Y,LW,51,0,0,0,0,3,1,0,0,40,0,0,0,0.2,0.2,0.0,1,0,26,31,1,31,10,3,1,340,21,18,21,6,7,1,1,0.0,0,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,34,11,247.0,192.0,2,10,3,0,34,9,0,3,0,8.8,5.9,0.0,2023-12-03 16:30:00+00:00,51,0,14,0,981070,51.0,1,183442,223747,40305,68,2023-12-03
11,2024-01-13,Sat,21,Away,W 3–2,Manchester City,Newcastle Utd,Y,LW,81,0,0,0,0,3,0,0,0,52,2,0,1,0.2,0.2,0.3,7,1,21,29,3,37,5,4,1,371,55,12,15,6,7,3,3,0.3,4,1,2,0,29,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,4,16,35,14,287.0,111.0,1,6,4,6,36,13,0,2,0,44.6,10.2,13.0,2024-01-13 17:30:00+00:00,81,0,21,0,266629,44.0,2,3244,49873,46629,65,2024-01-13
12,2024-01-31,Wed,22,Home,W 3–1,Manchester City,Burnley,Y,"LW,RW",90,0,0,0,0,0,0,1,0,64,2,2,0,0.0,0.0,0.2,7,0,41,50,3,38,11,10,6,533,108,30,35,11,15,0,0,0.1,4,0,1,0,46,4,0,0,0,3,3,1,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,3,22,40,6,327.0,236.0,5,6,1,3,49,17,0,11,0,48.2,8.0,19.4,2024-01-31 19:30:00+00:00,90,0,22,0,271548,12.0,1,2861,27408,24547,65,2024-01-31
13,2024-02-05,Mon,23,Away,W 3–1,Manchester City,Brentford,N,RM,20,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.1,1,0,10,11,0,14,7,1,0,136,7,6,6,4,5,0,0,0.0,1,1,1,1,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,1,175.0,125.0,1,1,1,0,13,2,0,4,0,15.8,2.3,5.0,2024-02-05 20:00:00+00:00,19,0,23,0,258884,2.0,1,-13042,7188,20230,65,2024-02-05
14,2024-02-10,Sat,24,Home,W 2–0,Manchester City,Everton,Y,LM,86,0,0,0,0,1,0,0,0,74,1,0,1,0.1,0.1,0.2,4,0,47,61,2,57,14,8,5,659,80,34,37,11,20,2,2,0.4,2,0,1,0,61,0,0,0,1,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,7,24,43,14,508.0,297.0,6,10,4,2,62,13,0,17,1,31.3,7.8,13.2,2024-02-10 12:30:00+00:00,86,0,24,0,241563,33.0,3,-17960,9631,27591,65,2024-02-10
15,2024-02-17,Sat,25,Home,D 1–1,Manchester City,Chelsea,Y,LM,90,0,0,0,0,3,1,0,0,93,2,0,1,0.1,0.1,0.2,9,0,61,75,8,64,20,10,3,916,172,37,43,19,22,3,5,0.4,3,0,6,1,73,2,0,0,0,7,2,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,4,14,75,19,496.0,352.0,3,11,1,4,74,25,0,9,0,50.1,13.0,18.2,2024-02-17 17:30:00+00:00,90,0,25,0,269502,62.0,2,22702,41191,18489,65,2024-02-17
16,2024-02-20,Tue,18,Home,W 1–0,Manchester City,Brentford,N,LW,30,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,28,30,1,22,4,1,1,412,49,17,18,9,9,1,1,0.0,0,1,0,0,28,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,23,4,201.0,103.0,3,2,0,1,25,2,0,10,0,6.7,1.8,1.6,2024-02-20 19:30:00+00:00,29,0,25,0,269502,10.0,1,22702,41191,18489,65,2024-02-20
17,2024-02-24,Sat,26,Away,W 1–0,Manchester City,Bournemouth,N,LW,28,0,0,0,0,1,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,9,11,0,15,3,4,1,101,0,7,7,2,3,0,0,0.0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,4,13,4,93.0,64.0,1,3,1,0,14,3,0,1,0,1.8,1.6,3.0,2024-02-24 17:30:00+00:00,27,0,26,0,261127,11.0,1,-5858,12017,17875,65,2024-02-24
18,2024-03-03,Sun,27,Home,W 3–1,Manchester City,Manchester Utd,Y,LW,58,0,0,0,0,3,1,0,0,52,0,0,1,0.1,0.1,0.1,5,0,31,39,3,43,7,6,2,463,77,16,18,14,16,1,1,0.2,1,0,2,0,39,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,43,11,215.0,139.0,1,6,2,0,47,20,0,5,0,17.0,6.4,4.8,2024-03-03 15:30:00+00:00,58,0,27,0,236597,42.0,1,-24364,3011,27375,65,2024-03-03
19,2024-03-10,Sun,28,Away,D 1–1,Manchester City,Liverpool,N,LW,22,0,0,0,0,2,1,0,0,16,0,0,0,0.1,0.1,0.0,0,0,9,11,2,13,5,1,1,139,26,7,8,1,2,1,1,0.4,0,1,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,9,5,144.0,107.0,0,4,1,1,13,5,0,1,0,1.6,3.3,2.4,2024-03-10 15:45:00+00:00,21,0,28,0,210755,29.0,1,-25964,1337,27301,64,2024-03-10
20,2024-03-31,Sun,30,Home,D 0–0,Manchester City,Arsenal,N,RM,30,0,0,0,0,2,0,0,0,17,1,0,0,0.1,0.1,0.0,2,0,9,13,1,11,2,4,3,121,4,7,10,2,2,0,1,0.0,0,0,0,0,13,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,13,5,69.0,50.0,0,2,0,0,11,6,0,3,0,1.8,1.9,1.4,2024-03-31 15:30:00+00:00,29,0,30,0,200451,16.0,1,-3711,2543,6254,64,2024-03-31
21,2024-04-03,Wed,31,Home,W 4–1,Manchester City,Aston Villa,Y,RW,79,0,1,0,0,3,2,0,0,56,1,0,0,0.1,0.1,0.4,7,1,39,45,5,45,7,9,5,565,113,21,24,11,13,4,4,0.2,4,1,5,1,45,0,0,0,0,3,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,10,41,10,290.0,176.0,1,5,2,2,46,19,1,27,0,51.6,14.3,38.2,2024-04-03 19:15:00+00:00,79,0,31,0,198277,53.0,6,-2491,1815,4306,64,2024-04-03
22,2024-04-13,Sat,33,Home,W 5–1,Manchester City,Luton Town,Y,LW,90,1,1,0,0,6,1,0,0,78,1,0,2,0.5,0.5,0.3,15,4,54,60,5,65,17,12,6,614,107,39,39,11,12,0,2,0.3,3,0,5,0,60,0,0,0,0,5,0,0,0,9,0,3,2,1,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,12,66,19,560.0,389.0,6,10,2,1,69,24,3,52,0,46.4,18.4,62.0,2024-04-13 14:00:00+00:00,90,0,33,0,214501,76.0,16,13953,21511,7558,64,2024-04-13
23,2024-04-25,Thu,29,Away,W 4–0,Manchester City,Brighton,N,RM,13,0,0,0,0,1,1,0,0,9,1,0,0,0.1,0.1,0.0,0,0,5,8,0,7,1,0,0,73,3,4,4,1,2,0,0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,3,1,39.0,13.0,0,0,0,1,9,1,0,1,0,0.3,2.2,5.0,2024-04-25 19:00:00+00:00,12,0,34,0,224304,17.0,1,9824,22469,12645,64,2024-04-25
24,2024-04-28,Sun,35,Away,W 2–0,Manchester City,Nott'ham Forest,Y,RM,45,0,0,0,0,2,0,0,0,22,1,1,0,0.0,0.0,0.0,1,0,15,16,0,14,0,0,0,191,25,12,13,3,3,0,0,0.0,0,2,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,9,10,1,88.0,21.0,1,0,1,2,20,2,0,-2,0,2.1,0.7,0.0,2024-04-28 15:30:00+00:00,45,0,35,0,219634,6.0,1,-6121,7545,13666,64,2024-04-28
25,2024-05-04,Sat,36,Home,W 5–1,Manchester City,Wolves,N,RW,11,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.3,3,0,10,12,1,10,3,3,3,134,25,6,7,3,4,0,0,0.6,1,0,0,0,12,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,94.0,56.0,0,1,0,0,11,3,0,11,0,15.8,4.3,10.2,2024-05-04 16:30:00+00:00,10,0,36,0,215847,17.0,1,-4293,4932,9225,64,2024-05-04
26,2024-05-11,Sat,37,Away,W 4–0,Manchester City,Fulham,N,LW,16,0,0,0,0,1,1,0,0,17,0,0,1,0.1,0.1,0.0,0,0,8,10,0,9,1,2,0,120,10,5,5,2,3,1,1,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,9,3,89.0,37.0,3,0,1,1,11,3,0,-1,0,1.0,2.4,2.0,2024-05-11 11:30:00+00:00,15,0,37,0,210018,21.0,1,-5877,6046,11923,64,2024-05-11
27,2024-05-14,Tue,34,Away,W 2–0,Manchester City,Tottenham,N,LW,22,0,0,0,0,1,1,0,0,20,1,0,0,0.1,0.1,0.0,2,1,9,12,0,14,5,5,1,123,7,6,8,3,4,0,0,0.0,0,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,3,2,15,4,130.0,99.0,1,4,0,1,18,4,0,10,0,1.7,3.4,7.2,2024-05-14 19:00:00+00:00,21,0,37,0,210018,25.0,4,-5877,6046,11923,64,2024-05-14
28,2024-05-19,Sun,38,Home,W 3–1,Manchester City,West Ham,Y,LM,90,0,1,0,0,4,2,0,0,58,5,0,2,0.1,0.1,0.2,7,1,28,33,0,45,16,10,5,382,62,19,23,7,7,1,1,0.2,3,2,0,0,33,0,0,0,0,1,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,2,0,0,0,1,15,43,16,434.0,274.0,6,15,4,3,43,12,0,19,0,39.4,15.5,44.0,2024-05-19 15:00:00+00:00,90,0,38,0,207203,72.0,5,-3449,5234,8683,64,2024-05-19
