,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,L 0–1,Everton,Fulham,Y,FW,90,0,0,0,0,2,1,0,0,36,0,0,2,0.6,0.6,0.8,3,0,22,27,3,20,3,2,0,316,70,10,13,10,10,0,0,0.1,3,2,1,0,27,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,13,19,4,141.0,82.0,2,0,1,0,25,3,0,7,0,34.4,6.8,8.8,2023-08-12 14:00:00+00:00,90,0,1,0,18521,25.0,2,0,0,0,55,2023-08-12
1,2023-08-20,Sun,2,Away,L 0–4,Everton,Aston Villa,Y,"CM,FW",89,0,0,0,0,1,0,0,0,30,1,1,0,0.1,0.1,0.0,1,0,21,26,2,18,2,2,2,283,43,11,13,7,9,1,2,0.0,1,0,0,0,24,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,0,0,0,0,1,11,18,3,89.0,47.0,0,1,2,1,22,2,0,2,0,15.0,2.4,0.6,2023-08-20 13:00:00+00:00,90,0,2,0,21324,8.0,2,-952,1981,2933,55,2023-08-20
2,2023-08-26,Sat,3,Home,L 0–1,Everton,Wolves,Y,CM,90,0,0,0,0,1,1,0,0,48,6,1,3,0.2,0.2,0.0,3,0,26,31,4,30,2,3,1,347,76,15,17,8,9,1,3,0.1,1,3,0,0,30,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,2,3,1,3,4,1,0,3,0,0,0,5,21,23,7,162.0,122.0,3,1,4,1,34,9,0,10,0,14.4,8.0,20.6,2023-08-26 14:00:00+00:00,90,0,3,0,20102,45.0,2,-2223,1399,3622,55,2023-08-26
3,2023-09-02,Sat,4,Away,D 2–2,Everton,Sheffield Utd,Y,FW,90,1,0,0,0,4,3,1,0,57,1,0,2,1.1,1.1,0.2,3,1,37,47,3,31,3,1,1,593,145,17,19,15,16,3,4,0.0,2,3,0,0,44,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,2,1,0,2,0,0,1,7,33,17,7,124.0,48.0,1,2,1,1,35,9,2,25,0,22.3,15.5,45.6,2023-09-02 11:30:00+00:00,90,0,4,0,21814,87.0,8,458,3828,3370,55,2023-09-02
4,2023-09-17,Sun,5,Home,L 0–1,Everton,Arsenal,Y,CM,79,0,0,0,0,0,0,0,0,25,4,0,1,0.0,0.0,0.0,3,0,11,17,1,16,2,2,1,150,43,6,9,4,7,0,0,0.0,2,2,0,0,16,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,2,1,1,0,0,0,0,1,0,0,0,6,13,7,1,114.0,97.0,1,1,0,0,12,1,0,14,0,21.7,3.5,10.8,2023-09-17 15:30:00+00:00,79,0,5,0,21531,2.0,2,-1757,2540,4297,55,2023-09-17
5,2023-09-23,Sat,6,Away,W 3–1,Everton,Brentford,Y,"FW,CM",90,1,0,0,0,2,1,0,0,55,0,1,0,0.1,0.1,0.0,3,0,37,47,2,34,1,0,0,450,128,25,30,9,12,1,2,0.0,1,4,0,0,47,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,21,26,5,140.0,85.0,1,0,4,2,44,5,0,25,0,19.0,8.0,33.8,2023-09-23 16:30:00+00:00,90,0,6,0,24242,27.0,7,1890,4159,2269,55,2023-09-23
6,2023-09-30,Sat,7,Home,L 1–2,Everton,Luton Town,Y,FW,59,0,0,0,0,1,1,0,0,51,0,0,2,0.4,0.4,0.2,5,1,36,41,4,27,4,1,1,498,113,19,20,10,12,3,3,0.2,3,4,2,1,38,3,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3,26,22,4,175.0,89.0,3,1,4,0,39,6,0,19,0,41.3,9.4,13.4,2023-09-30 14:00:00+00:00,59,0,7,0,94777,39.0,4,62378,71739,9361,55,2023-09-30
7,2023-10-07,Sat,8,Home,W 3–0,Everton,Bournemouth,Y,FW,89,1,0,0,0,5,3,0,0,53,2,0,1,0.7,0.7,0.2,6,0,34,39,7,31,2,2,2,415,106,22,24,9,9,1,1,0.2,2,1,2,0,39,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,0,0,0,1,25,27,5,181.0,98.0,3,0,3,3,42,8,0,29,1,28.2,14.8,45.4,2023-10-07 14:00:00+00:00,90,0,8,0,99354,74.0,8,6918,24069,17151,55,2023-10-07
8,2023-10-21,Sat,9,Away,L 0–2,Everton,Liverpool,Y,"CM,FW",90,0,0,0,0,0,0,0,0,39,2,4,0,0.0,0.0,0.0,1,0,13,20,1,15,1,7,4,189,30,7,8,5,7,0,0,0.0,0,1,0,0,19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,7,13,17,9,0,78.0,45.0,1,0,3,1,16,4,0,13,0,3.0,2.0,16.6,2023-10-21 11:30:00+00:00,90,0,9,0,90741,0.0,2,-8458,13465,21923,55,2023-10-21
9,2023-10-29,Sun,10,Away,W 1–0,Everton,West Ham,Y,FW,90,0,0,0,0,2,1,0,0,46,1,1,0,0.2,0.2,0.0,2,0,22,29,1,26,3,2,0,302,62,12,14,10,11,0,1,0.0,1,2,0,0,29,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,1,0,1,4,31,11,3,101.0,64.0,0,1,7,2,29,10,0,4,1,12.8,3.8,7.0,2023-10-29 13:00:00+00:00,90,0,10,0,74587,18.0,3,-16282,3320,19602,55,2023-10-29
