,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–5,Aston Villa,Newcastle Utd,Y,"DM,CM",90,0,0,0,0,4,1,1,0,87,1,1,1,0.2,0.2,0.1,6,1,69,77,8,51,0,1,1,1119,255,28,31,30,32,6,8,0.1,1,4,2,0,71,6,4,2,0,1,0,2,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,2,18,50,19,2,251.0,70.0,0,0,2,1,69,3,0,10,0,22.3,5.1,9.4,2023-08-12 16:30:00+00:00,90,0,1,0,255432,19.0,1,0,0,0,55,2023-08-12
1,2023-08-20,Sun,2,Home,W 4–0,Aston Villa,Everton,Y,DM,63,1,0,1,1,0,0,1,0,50,0,1,1,0.8,0.0,0.1,3,0,41,43,4,27,2,1,1,759,182,16,17,18,19,5,5,0.1,1,4,0,0,35,8,3,0,1,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,12,27,11,2,146.0,62.0,1,0,0,0,32,0,0,30,1,14.4,7.7,44.0,2023-08-20 13:00:00+00:00,63,0,2,0,233546,19.0,7,-27868,4278,32146,55,2023-08-20
2,2023-08-27,Sun,3,Away,W 3–1,Aston Villa,Burnley,Y,CM,85,0,0,0,0,0,0,0,0,57,1,0,1,0.0,0.0,0.2,3,0,39,51,3,25,4,0,0,586,172,19,20,17,26,1,3,0.1,2,3,1,1,47,4,2,1,0,4,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,0,0,0,2,10,35,12,0,188.0,106.0,1,0,2,1,40,2,0,12,0,33.9,4.5,11.4,2023-08-27 13:00:00+00:00,85,0,3,0,227643,0.0,2,-11185,11671,22856,55,2023-08-27
3,2023-09-03,Sun,4,Away,L 0–3,Aston Villa,Liverpool,Y,CM,71,0,0,0,0,0,0,0,0,48,3,0,1,0.0,0.0,0.0,2,0,40,43,6,33,1,1,1,830,250,16,17,15,15,8,10,0.0,0,7,2,0,41,2,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,1,0,0,2,10,32,6,1,166.0,60.0,1,0,1,1,39,1,0,19,0,2.3,1.3,9.0,2023-09-03 13:00:00+00:00,71,0,4,0,201684,2.0,2,-26705,3602,30307,54,2023-09-03
4,2023-09-16,Sat,5,Home,W 3–1,Aston Villa,Crystal Palace,Y,"DM,CM",90,1,0,1,1,0,0,0,0,84,6,1,3,0.8,0.0,0.1,3,1,58,69,5,49,1,4,1,1003,262,26,29,23,26,6,8,0.1,1,5,3,1,65,4,0,0,1,3,2,2,0,2,1,0,0,0,0,1,0,0,0,0,0,4,0,5,1,2,5,3,0,3,2,0,2,14,41,31,3,254.0,75.0,2,0,1,1,54,3,3,41,0,20.5,10.1,57.2,2023-09-16 14:00:00+00:00,90,0,5,0,182436,23.0,10,-21190,3511,24701,54,2023-09-16
5,2023-09-24,Sun,6,Away,W 1–0,Aston Villa,Chelsea,Y,"DM,CM",90,0,0,0,0,2,0,1,0,72,2,1,1,0.1,0.1,0.0,2,0,47,63,7,42,2,1,1,847,172,18,19,21,29,7,12,0.1,0,5,2,0,53,10,4,0,0,5,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,0,2,0,4,18,33,21,0,225.0,126.0,1,0,1,1,40,3,0,9,1,4.3,2.3,14.4,2023-09-24 13:00:00+00:00,90,0,6,0,201982,4.0,2,16447,25484,9037,54,2023-09-24
6,2023-09-30,Sat,7,Home,W 6–1,Aston Villa,Brighton,Y,DM,90,1,0,0,0,2,1,1,0,50,3,0,1,0.1,0.1,0.0,3,1,37,42,6,29,2,0,0,682,176,12,13,22,22,3,7,0.2,1,4,2,0,38,4,3,1,1,2,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,1,1,0,0,1,0,0,1,7,28,15,2,163.0,47.0,1,1,1,1,32,3,2,27,0,19.0,6.9,38.4,2023-09-30 11:30:00+00:00,90,0,7,0,207818,12.0,8,5517,21234,15717,54,2023-09-30
7,2023-10-08,Sun,8,Away,D 1–1,Aston Villa,Wolves,Y,"CM,DM",90,0,0,0,0,6,0,0,0,72,2,0,1,0.3,0.3,0.1,5,0,45,58,7,34,1,4,0,926,297,13,15,27,33,5,9,0.1,1,3,3,1,47,11,8,0,1,4,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,1,0,4,12,40,20,4,209.0,126.0,1,0,1,0,45,4,0,13,0,16.7,4.6,8.6,2023-10-08 13:00:00+00:00,90,0,8,0,373513,21.0,2,151455,185234,33779,54,2023-10-08
8,2023-10-22,Sun,9,Home,W 4–1,Aston Villa,West Ham,Y,CM,90,2,0,1,1,2,2,0,0,89,3,0,1,0.9,0.1,0.1,6,0,66,80,3,56,4,0,0,1254,398,24,27,33,39,8,12,0.1,3,7,0,0,70,10,5,0,0,6,1,4,0,2,3,0,1,0,0,0,0,0,0,0,0,1,2,0,1,2,3,1,1,0,2,0,5,19,44,29,1,331.0,174.0,1,0,1,0,62,1,3,54,0,41.1,16.3,90.8,2023-10-22 15:30:00+00:00,90,0,9,0,362599,31.0,15,-2240,28475,30715,54,2023-10-22
9,2023-10-29,Sun,10,Home,W 3–1,Aston Villa,Luton Town,Y,CM,89,0,1,0,0,0,0,0,0,107,4,0,2,0.0,0.0,0.1,3,1,88,99,6,76,4,0,0,1417,319,51,52,31,36,6,10,0.1,3,5,0,0,92,7,4,0,0,3,0,3,0,1,2,0,0,0,0,0,1,0,0,0,0,3,2,2,0,2,2,0,1,1,0,0,3,16,71,21,1,474.0,296.0,4,0,3,0,81,1,2,28,0,40.8,8.1,37.8,2023-10-29 14:00:00+00:00,89,0,10,0,840846,2.0,7,459976,485179,25203,55,2023-10-29
10,2023-11-05,Sun,11,Away,L 0–2,Aston Villa,Nott'ham Forest,Y,CM,85,0,0,0,0,1,0,0,0,101,1,1,2,0.0,0.0,0.0,2,0,82,93,8,71,3,2,1,1425,279,32,34,39,41,10,16,0.2,0,6,2,0,84,9,3,0,1,8,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,0,4,11,61,29,1,342.0,175.0,6,0,2,0,77,2,0,14,0,11.6,2.4,8.2,2023-11-05 14:00:00+00:00,85,0,11,0,1193873,4.0,2,350381,375479,25098,56,2023-11-05
11,2023-11-12,Sun,12,Home,W 3–1,Aston Villa,Fulham,Y,"DM,CM",90,0,0,0,0,0,0,0,0,70,1,0,0,0.0,0.0,0.0,2,0,54,65,3,32,3,3,2,865,185,27,31,22,24,4,7,0.0,1,4,0,0,60,5,3,0,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25,37,9,1,191.0,93.0,1,1,1,0,43,0,0,13,0,18.8,2.9,8.2,2023-11-12 14:00:00+00:00,90,0,12,0,1242292,2.0,2,52547,128310,75763,56,2023-11-12
12,2023-11-26,Sun,13,Away,W 2–1,Aston Villa,Tottenham,Y,CM,90,0,1,0,0,0,0,0,0,60,3,2,0,0.0,0.0,0.2,6,1,50,56,5,34,3,1,1,946,271,19,21,21,22,9,11,0.1,2,4,1,0,49,6,4,0,0,4,0,2,1,3,1,1,0,1,0,0,1,0,0,0,0,2,1,0,2,2,5,3,0,0,0,0,3,20,26,14,0,196.0,86.0,0,0,0,1,42,0,2,29,0,32.3,6.1,28.4,2023-11-26 14:00:00+00:00,90,0,13,0,1189361,0.0,7,-50426,71945,122371,56,2023-11-26
