,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-10,Sat,1,Away,W 5–0,Manchester City,West Ham,Y*,LM,79,0,0,0,0,1,0,0,0,71,1,0,0,0.0,0.0,0.1,4,0,48,62,10,56,7,3,2,645,125,30,35,14,18,2,2,0.1,2,2,2,0,58,2,1,2,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,0,0,0,0,0,5,27,39,6,309.0,186.0,6,0,2,2,59,9,0,11,1,32.3,5.7,7.2,2019-08-10 11:30:00+00:00,79,0,1,0,257201,17.0,3,0,0,0,75,2019-08-10
1,2019-08-17,Sat,2,Home,D 2–2,Manchester City,Tottenham,N,"AM,DM",13,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,0,5,0,1,0,21,0,2,2,0,0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,13.0,9.0,0,0,0,0,5,2,0,2,0,0.6,0.1,0.0,2019-08-17 16:30:00+00:00,12,0,2,0,287369,0.0,1,-7330,33508,40838,75,2019-08-17
2,2019-08-25,Sun,3,Away,W 3–1,Manchester City,Bournemouth,Y*,LM,90,0,2,0,0,2,2,0,0,69,2,1,0,0.1,0.1,1.0,6,3,54,60,7,50,4,3,3,690,147,29,30,20,23,0,0,0.7,2,3,3,0,57,2,0,1,0,0,0,0,1,5,0,1,0,0,0,2,0,1,0,0,0,1,0,1,1,1,2,1,0,0,2,0,5,14,27,28,6,215.0,91.0,3,2,2,1,55,10,2,40,0,29.4,12.6,52.6,2019-08-25 13:00:00+00:00,90,0,3,0,231338,44.0,10,-60674,7684,68358,75,2019-08-25
3,2019-08-31,Sat,4,Home,W 4–0,Manchester City,Brighton,Y*,"LM,AM",77,0,2,0,0,1,0,0,0,67,1,1,0,0.5,0.5,0.6,8,2,54,61,3,56,5,1,1,712,113,37,39,12,16,3,4,0.4,3,1,1,0,60,1,0,1,0,2,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,4,3,0,0,0,0,0,4,31,34,5,273.0,142.0,2,0,2,1,58,9,1,33,1,42.4,9.5,37.6,2019-08-31 14:00:00+00:00,77,0,4,0,345449,15.0,10,94197,123356,29159,74,2019-08-31
4,2019-09-14,Sat,5,Away,L 2–3,Manchester City,Norwich City,Y*,AM,56,0,0,0,0,1,0,0,0,52,0,0,1,0.0,0.0,0.0,3,0,38,47,5,41,3,1,0,539,56,21,25,15,16,1,1,0.1,0,3,1,0,44,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,36,5,125.0,48.0,0,2,0,1,44,4,0,4,0,9.6,2.0,0.0,2019-09-14 16:30:00+00:00,56,0,5,0,572522,11.0,1,199690,241437,41747,75,2019-09-14
5,2019-09-21,Sat,6,Home,W 8–0,Manchester City,Watford,Y*,LM,90,1,0,0,0,4,1,0,0,96,1,0,0,1.0,1.0,0.0,9,1,80,90,10,82,3,3,3,1119,195,46,47,22,25,5,5,0.1,1,2,0,0,87,2,2,0,0,1,0,0,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,10,45,41,8,359.0,210.0,4,1,0,1,88,7,0,44,1,21.9,15.5,43.8,2019-09-21 14:00:00+00:00,90,0,6,0,578624,89.0,11,5570,67924,62354,75,2019-09-21
6,2019-09-28,Sat,7,Away,W 3–1,Manchester City,Everton,N,RM,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,0,3,0,0,0,15,4,2,2,0,0,0,1,0.0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,5.0,0.0,0,0,0,0,3,0,0,3,0,0.3,0.0,0.0,2019-09-28 16:30:00+00:00,4,0,7,0,691813,0.0,1,99017,144913,45896,76,2019-09-28
7,2019-10-06,Sun,8,Home,L 0–2,Manchester City,Wolves,Y*,AM,74,0,0,0,0,2,0,0,0,58,3,0,0,0.3,0.3,0.0,6,0,37,48,5,40,0,1,0,487,82,28,32,7,10,1,3,0.1,1,0,0,0,47,1,0,0,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,0,0,0,2,17,40,9,208.0,77.0,3,1,2,1,46,8,0,0,1,17.2,4.5,0.0,2019-10-06 13:00:00+00:00,74,0,8,0,715344,28.0,3,20422,87377,66955,76,2019-10-06
8,2019-10-19,Sat,9,Away,W 2–0,Manchester City,Crystal Palace,Y*,LM,78,1,0,0,0,2,2,0,0,61,1,1,1,0.6,0.6,0.4,3,0,48,55,8,42,3,2,2,554,100,32,33,11,12,1,1,0.2,2,4,2,0,53,2,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,4,28,29,6,162.0,74.0,1,2,1,0,50,6,3,35,1,27.9,11.0,48.0,2019-10-19 16:30:00+00:00,78,0,9,0,699287,34.0,11,-20135,48658,68793,76,2019-10-19
9,2019-10-26,Sat,10,Home,W 3–0,Manchester City,Aston Villa,Y*,"LM,AM,DM",90,1,0,0,0,3,1,0,0,72,1,2,3,0.5,0.5,0.1,4,0,46,57,8,46,6,4,4,623,84,28,33,14,16,1,3,0.1,2,4,1,0,54,3,0,1,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,2,1,0,4,9,22,41,11,217.0,116.0,1,3,0,1,50,10,1,30,1,31.8,14.2,51.2,2019-10-26 11:30:00+00:00,90,0,10,0,829755,59.0,9,120003,138831,18828,76,2019-10-26
