,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-12-30,Thu,20,Away,L 1–3,Burnley,Manchester Utd,N,CM,33,0,0,0,0,0,0,0,0,20,1,0,2,0.0,0.0,0.0,0,0,12,15,1,8,0,0,0,249,110,3,5,7,8,2,2,0.0,0,1,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,3,15,2,0,29.0,8.0,0,0,1,0,11,0,0,2,0,0.4,0.4,3.8,2021-12-30 20:15:00+00:00,32,0,20,0,1555,0.0,1,13,45,32,44,2021-12-30
1,2022-02-05,Sat,17,Home,D 0–0,Burnley,Watford,Y,CM,90,0,0,0,0,1,0,1,0,51,3,1,2,0.0,0.0,0.0,1,0,34,42,4,17,0,0,0,563,118,17,22,10,12,5,5,0.1,1,3,2,0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,6,3,1,1,0,0,2,7,39,5,0,73.0,18.0,1,0,1,0,24,1,0,6,1,12.0,2.2,9.0,2022-02-05 18:00:00+00:00,90,0,23,0,1691,1.0,2,-7,78,85,44,2022-02-05
2,2022-04-30,Sat,35,Away,W 2–1,Burnley,Watford,N,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2022-04-30 14:00:00+00:00,1,0,35,0,1852,0.0,1,8,53,45,44,2022-04-30
3,2020-09-26,Sat,3,Home,L 0–1,Burnley,Southampton,Y,CM,90,0,0,0,0,2,0,0,0,67,6,2,2,0.1,0.1,0.0,2,0,44,52,4,30,1,1,1,787,144,21,25,16,17,7,7,0.0,0,2,1,0,52,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,4,0,2,2,0,0,2,0,0,1,8,47,12,2,97.0,46.0,3,0,0,3,35,0,0,9,0,4.1,3.1,13.8,2020-09-26 19:00:00+00:00,90,0,3,0,612961,13.0,2,-22133,4637,26770,45,2020-09-26
4,2020-10-03,Sat,4,Away,L 1–3,Burnley,Newcastle Utd,Y,CM,67,0,0,0,0,1,0,0,0,40,1,2,0,0.0,0.0,0.0,1,0,28,32,3,16,0,1,0,430,123,11,12,11,11,2,3,0.0,0,2,1,0,31,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,6,27,7,0,72.0,26.0,0,0,2,0,22,0,0,13,0,2.5,1.7,6.0,2020-10-03 19:00:00+00:00,67,0,4,0,660276,8.0,2,18947,82706,63759,44,2020-10-03
5,2020-10-31,Sat,7,Home,L 0–3,Burnley,Chelsea,Y,CM,45,0,0,0,0,0,0,0,0,17,1,2,0,0.0,0.0,0.0,0,0,6,11,1,10,0,0,0,96,72,2,5,2,3,1,2,0.0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,5,8,4,0,38.0,14.0,0,0,0,1,8,1,0,5,0,0.7,0.5,4.0,2020-10-31 15:00:00+00:00,45,0,7,0,553855,0.0,1,-27812,9334,37146,44,2020-10-31
6,2020-12-27,Sun,15,Away,L 0–1,Burnley,Leeds United,N,RM,17,0,0,0,0,1,0,0,0,11,2,0,0,0.1,0.1,0.0,1,0,7,9,3,5,1,0,0,95,55,3,5,4,4,0,0,0.0,0,3,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,0,7,4,2,22.0,14.0,0,0,0,1,6,0,0,2,0,0.6,2.5,4.8,2020-12-27 12:00:00+00:00,16,0,15,0,373786,20.0,1,-1051,13117,14168,43,2020-12-27
7,2020-12-29,Tue,16,Home,W 1–0,Burnley,Sheffield Utd,N,CM,12,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,3,4,0,1,0,0,0,25,7,3,3,0,1,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,1,0,2.0,0.0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.2,2020-12-29 18:00:00+00:00,11,0,16,0,373178,0.0,1,-697,11517,12214,43,2020-12-29
8,2021-02-03,Wed,22,Home,L 0–2,Burnley,Manchester City,N,CM,20,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,5,7,0,1,0,0,0,88,29,2,2,2,4,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,3.0,0.0,0,0,0,0,3,0,0,-2,0,0.3,0.0,0.0,2021-02-03 18:00:00+00:00,19,0,22,0,300035,0.0,0,-14479,813,15292,43,2021-02-03
9,2021-02-28,Sun,26,Away,L 0–4,Burnley,Tottenham,N,CM,10,0,0,0,0,0,0,0,0,8,1,1,1,0.0,0.0,0.0,0,0,5,5,0,4,0,0,0,80,6,2,2,2,2,1,1,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,7,1,0,12.0,6.0,0,0,0,0,5,0,0,4,0,0.1,0.2,2.2,2021-02-28 14:00:00+00:00,9,0,26,0,268724,0.0,1,-8902,3402,12304,42,2021-02-28
