,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-20,Sun,2,Home,W 4–0,Aston Villa,Everton,N,FW,17,1,0,0,0,1,1,0,0,12,1,0,0,0.5,0.5,0.0,2,1,7,9,0,5,1,1,1,80,12,4,5,1,1,0,0,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,9,3,2,30.0,23.0,1,1,1,0,7,1,2,31,0,11.7,6.9,38.2,2023-08-20 13:00:00+00:00,16,0,2,0,3101,19.0,7,-1228,67,1295,50,2023-08-20
1,2023-08-27,Sun,3,Away,W 3–1,Aston Villa,Burnley,N,FW,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,1,0,0,7,0,1,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,40.0,37.0,1,1,1,0,1,0,0,3,0,0.0,0.2,0.0,2023-08-27 13:00:00+00:00,4,0,3,0,11960,2.0,1,5987,7315,1328,50,2023-08-27
2,2023-09-03,Sun,4,Away,L 0–3,Aston Villa,Liverpool,N,FW,18,0,0,0,0,2,0,0,0,8,0,0,1,0.1,0.1,0.0,0,0,3,5,1,6,2,0,0,44,11,1,2,2,3,0,0,0.0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,8,2,49.0,25.0,0,2,0,1,7,2,0,-1,0,0.8,0.4,0.0,2023-09-03 13:00:00+00:00,17,0,4,0,12358,8.0,1,-311,2128,2439,50,2023-09-03
3,2023-09-16,Sat,5,Home,W 3–1,Aston Villa,Crystal Palace,N,FW,20,1,0,0,0,2,2,1,0,10,1,0,0,0.1,0.1,0.0,0,0,4,6,1,6,0,0,0,44,9,4,6,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,4,2,5.0,1.0,0,0,1,0,8,1,1,23,0,0.4,6.1,34.2,2023-09-16 14:00:00+00:00,19,0,5,0,14493,26.0,5,553,2735,2182,50,2023-09-16
4,2023-09-24,Sun,6,Away,W 1–0,Aston Villa,Chelsea,N,FW,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,0,3,0,0,0,26,5,3,4,0,0,0,0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,6.0,0.0,0,0,0,2,5,0,0,0,0,0.8,0.0,0.0,2023-09-24 13:00:00+00:00,1,0,6,0,22756,0.0,1,7068,9270,2202,50,2023-09-24
5,2023-09-30,Sat,7,Home,W 6–1,Aston Villa,Brighton,N,AM,12,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,1,0,3,4,0,3,0,0,0,50,5,1,2,2,2,0,0,0.0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,3,0,3.0,0.0,0,0,1,0,3,0,0,-1,0,0.5,0.1,0.2,2023-09-30 11:30:00+00:00,11,0,7,0,30560,0.0,0,6620,10803,4183,50,2023-09-30
6,2023-11-26,Sun,13,Away,W 2–1,Aston Villa,Tottenham,N,FW,1,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,3,0,5,2,0,0,10,3,1,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,0,34.0,22.0,1,0,0,0,4,1,0,2,0,0.3,0.2,0.2,2023-11-26 14:00:00+00:00,1,0,13,0,20871,1.0,1,-476,1186,1662,50,2023-11-26
7,2023-12-03,Sun,14,Away,D 2–2,Aston Villa,Bournemouth,N,LM,26,0,0,0,0,1,0,1,0,7,0,0,1,0.0,0.0,0.0,0,0,2,4,1,4,0,0,0,27,14,1,2,1,1,0,0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,1,8.0,6.0,0,0,0,0,4,0,0,0,0,0.2,0.4,0.0,2023-12-03 14:00:00+00:00,25,0,14,0,21277,4.0,0,120,1409,1289,50,2023-12-03
8,2023-12-06,Wed,15,Home,W 1–0,Aston Villa,Manchester City,N,FW,1,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,4,0,1,0,0,0,31,9,1,1,1,1,0,0,0.0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,8.0,8.0,1,0,0,0,4,2,0,3,0,0.3,0.1,0.2,2023-12-06 20:15:00+00:00,1,0,15,0,20709,0.0,1,-621,620,1241,50,2023-12-06
9,2023-12-17,Sun,17,Away,W 2–1,Aston Villa,Brentford,N,FW,26,0,0,0,0,1,0,1,0,11,0,0,0,0.0,0.0,0.0,0,0,3,6,0,2,0,0,0,70,0,2,3,0,0,1,1,0.0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,7,1,8.0,3.0,0,0,2,0,7,0,0,1,0,4.5,0.9,1.0,2023-12-17 14:00:00+00:00,25,0,17,0,20346,3.0,0,-371,1075,1446,50,2023-12-17
