,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–2,Nott'ham Forest,Arsenal,N,RW,11,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.6,3,1,2,3,1,4,1,0,0,34,23,1,2,1,1,0,0,0.6,2,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,87.0,68.0,1,1,0,0,4,1,0,17,0,20.5,4.2,19.2,2023-08-12 12:00:00+00:00,10,0,1,0,43975,2.0,4,0,0,0,50,2023-08-12
1,2023-08-18,Fri,2,Home,W 2–1,Nott'ham Forest,Sheffield Utd,N,LW,22,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,5,9,0,6,2,2,1,60,22,4,5,1,3,0,1,0.0,0,0,0,0,8,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,1,64.0,41.0,1,0,1,0,9,1,0,3,0,0.5,0.6,1.4,2023-08-18 18:45:00+00:00,21,0,2,0,90812,4.0,1,26023,32962,6939,50,2023-08-18
2,2023-08-26,Sat,3,Away,L 2–3,Nott'ham Forest,Manchester Utd,N,CM,10,0,0,0,0,1,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,4,6,0,4,1,1,1,37,0,2,4,1,1,0,0,0.0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,63.0,39.0,1,1,0,0,6,2,0,3,0,0.8,0.7,0.2,2023-08-26 14:00:00+00:00,9,0,3,0,72212,6.0,1,-17612,3807,21419,50,2023-08-26
3,2023-09-02,Sat,4,Away,W 1–0,Nott'ham Forest,Chelsea,N,AM,46,1,0,0,0,3,3,0,0,18,1,0,1,0.5,0.5,0.0,3,0,4,7,1,11,4,4,3,61,23,3,4,0,2,1,1,0.0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,8,6,6,4,164.0,100.0,2,3,1,1,9,3,1,24,0,0.3,9.2,46.2,2023-09-02 14:00:00+00:00,45,0,4,0,60973,45.0,7,-12576,1834,14410,50,2023-09-02
4,2023-09-18,Mon,5,Home,D 1–1,Nott'ham Forest,Burnley,Y,RW,90,0,0,0,0,1,1,0,0,43,0,0,2,0.0,0.0,0.1,4,0,23,31,6,25,3,2,1,336,138,17,21,4,4,2,3,0.3,1,1,4,1,29,2,0,0,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,12,24,2,208.0,87.0,2,1,3,2,33,9,0,7,0,17.3,3.8,10.0,2023-09-18 18:45:00+00:00,90,0,5,0,74935,11.0,2,9589,21980,12391,50,2023-09-18
5,2023-09-23,Sat,6,Away,L 0–2,Nott'ham Forest,Manchester City,N,"WB,RW",35,0,0,0,0,2,2,0,0,32,0,0,0,0.1,0.1,0.1,3,0,22,27,1,26,4,0,0,295,55,15,18,7,8,0,1,0.0,1,0,1,0,27,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,20,4,180.0,119.0,3,1,1,0,26,9,0,4,0,13.6,6.3,9.0,2023-09-23 14:00:00+00:00,34,0,6,0,73225,40.0,1,-1710,6405,8115,50,2023-09-23
6,2023-10-01,Sun,7,Home,D 1–1,Nott'ham Forest,Brentford,Y,RW,59,0,0,0,0,1,0,0,0,34,1,0,0,0.1,0.1,0.0,0,0,21,24,0,20,2,4,2,263,50,15,16,4,4,1,1,0.0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,6,15,13,3,126.0,52.0,2,1,2,0,25,5,0,5,0,3.0,1.5,3.8,2023-10-01 13:00:00+00:00,60,0,7,0,75674,8.0,2,1541,9315,7774,50,2023-10-01
7,2023-10-07,Sat,8,Away,D 0–0,Nott'ham Forest,Crystal Palace,N,LW,25,0,0,0,0,1,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,8,9,1,10,1,1,0,80,23,5,6,2,2,0,0,0.0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,11,2,78.0,42.0,1,0,2,0,12,3,0,1,0,1.5,0.9,0.2,2023-10-07 16:30:00+00:00,24,0,8,0,78416,7.0,1,2030,11529,9499,50,2023-10-07
8,2023-10-21,Sat,9,Home,D 2–2,Nott'ham Forest,Luton Town,Y,LW,87,0,2,0,0,2,1,0,0,36,0,0,2,0.1,0.1,1.0,6,2,14,24,2,16,5,2,1,220,72,7,11,4,6,1,2,0.4,3,1,2,2,24,0,0,2,0,4,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,10,22,7,188.0,100.0,2,1,7,0,24,5,1,35,0,50.8,11.5,43.6,2023-10-21 14:00:00+00:00,87,0,9,0,78434,21.0,9,-500,6385,6885,50,2023-10-21
9,2023-10-29,Sun,10,Away,L 0–3,Nott'ham Forest,Liverpool,Y,"FW,LW",90,0,0,0,0,3,1,0,0,20,1,0,0,0.2,0.2,0.0,0,0,5,12,0,9,2,3,1,44,7,5,8,0,2,0,0,0.0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,10,9,5,98.0,40.0,0,2,2,0,18,7,0,0,0,0.6,3.5,2.2,2023-10-29 14:00:00+00:00,90,0,10,0,78773,32.0,2,261,7862,7601,50,2023-10-29
