,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Away,L 2–3,Aston Villa,Watford,Y,"RW,LW",59,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,9,13,0,15,2,0,0,87,21,8,9,1,3,0,0,0.0,0,0,0,0,12,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,4,15,2,154.0,34.0,3,1,4,2,16,5,0,1,0,2.7,0.8,1.4,2021-08-14 14:00:00+00:00,59,0,1,0,82948,4.0,1,0,0,0,60,2021-08-14
1,2021-08-21,Sat,2,Home,W 2–0,Aston Villa,Newcastle Utd,Y,LW,90,1,0,1,1,2,0,0,0,25,1,0,0,0.8,0.1,0.0,1,0,12,15,0,19,1,1,0,142,32,11,12,1,2,0,0,0.0,0,0,1,1,15,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,6,20,3,52.0,22.0,1,1,4,0,22,12,1,23,1,7.2,6.5,33.4,2021-08-21 14:00:00+00:00,90,0,2,0,75151,24.0,9,-12994,4106,17100,60,2021-08-21
2,2021-08-28,Sat,3,Home,D 1–1,Aston Villa,Brentford,Y,LM,90,0,0,0,0,1,0,1,0,50,1,0,4,0.0,0.0,0.2,5,1,26,31,4,32,3,5,3,364,159,19,22,5,6,2,3,0.2,2,0,3,2,30,1,0,1,0,3,1,0,0,3,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,4,0,0,2,3,19,28,1,205.0,74.0,1,0,7,3,39,10,0,2,0,36.9,4.8,6.4,2021-08-28 14:00:00+00:00,90,0,3,0,117718,5.0,1,30007,43936,13929,60,2021-08-28
3,2021-10-22,Fri,9,Away,L 1–3,Aston Villa,Arsenal,N,LW,14,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,0,3,0,0,0,21,0,2,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,23.0,0.0,0,0,1,0,3,0,0,3,0,1.0,0.1,0.0,2021-10-22 19:00:00+00:00,13,0,9,0,42920,0.0,1,-3947,718,4665,57,2021-10-22
4,2021-10-31,Sun,10,Home,L 1–4,Aston Villa,West Ham,N,LM,19,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,3,8,0,4,1,2,0,43,4,1,4,1,2,0,0,0.0,1,0,0,0,8,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,21.0,13.0,0,0,1,0,8,1,0,2,0,10.5,1.3,2.0,2021-10-31 16:30:00+00:00,18,0,10,0,39504,0.0,1,-3713,484,4197,57,2021-10-31
5,2021-11-05,Fri,11,Away,L 0–1,Aston Villa,Southampton,Y,LW,78,0,0,0,0,3,1,1,0,36,0,0,0,0.2,0.2,0.1,2,0,15,25,0,22,3,1,0,182,22,8,9,5,9,0,0,0.1,1,0,0,0,25,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,21,7,147.0,85.0,1,2,3,1,25,5,0,-1,0,11.6,4.9,0.0,2021-11-05 20:00:00+00:00,78,0,11,0,38127,39.0,1,-1750,548,2298,57,2021-11-05
6,2021-11-20,Sat,12,Home,W 2–0,Aston Villa,Brighton,N,LW,7,0,0,0,0,0,0,0,0,9,0,1,1,0.0,0.0,0.0,0,0,6,7,0,4,1,0,0,71,23,5,5,1,2,0,0,0.0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,6,0,54.0,44.0,1,0,0,0,3,0,0,3,0,1.0,0.2,1.4,2021-11-20 15:00:00+00:00,6,0,12,0,37583,0.0,1,-821,1358,2179,56,2021-11-20
7,2021-11-27,Sat,13,Away,W 2–1,Aston Villa,Crystal Palace,N,LW,14,0,1,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.1,1,1,6,10,0,10,2,1,1,101,49,4,5,0,2,1,2,0.0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,5,3,8,1,71.0,29.0,0,1,2,1,10,2,0,18,0,11.3,3.6,22.6,2021-11-27 15:00:00+00:00,13,0,13,0,36690,2.0,4,-1016,750,1766,56,2021-11-27
8,2021-12-26,Sun,19,Home,L 1–3,Aston Villa,Chelsea,N,LW,15,0,0,0,0,1,1,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,7,1,5,0,0,0,80,4,2,2,3,4,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,4,5,0,27.0,13.0,0,0,0,0,8,3,0,3,0,1.7,1.4,5.2,2021-12-26 17:30:00+00:00,14,0,19,0,31067,7.0,1,-1597,18,1615,56,2021-12-26
9,2022-02-12,Sat,25,Home,W 3–0,Everton,Leeds United,N,LW,10,0,0,0,0,0,0,0,0,11,1,0,2,0.0,0.0,0.0,0,0,5,6,0,3,1,1,0,64,18,3,3,1,2,0,0,0.0,0,1,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,1,4,6,2,23.0,8.0,0,2,1,0,6,2,0,4,0,0.8,0.7,2.2,2022-02-12 15:00:00+00:00,9,0,25,0,30411,4.0,1,-293,212,505,56,2022-02-12
10,2022-02-26,Sat,27,Home,L 0–1,Everton,Manchester City,N,RM,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,3,0,3,1,0,0,16,0,2,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,73.0,6.0,0,0,0,0,2,0,0,3,0,0.5,0.1,0.0,2022-02-26 17:30:00+00:00,2,0,27,0,29960,0.0,1,-233,117,350,56,2022-02-26
11,2020-11-08,Sun,8,Away,W 3–0,Aston Villa,Arsenal,N,RW,3,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,1,0,0,0,0,15,8,1,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0.0,0.0,0,0,0,0,2,1,0,2,0,0.3,0.2,1.2,2020-11-08 19:15:00+00:00,2,0,8,0,6894,0.0,1,-401,122,523,58,2020-11-08
12,2020-11-21,Sat,9,Home,L 1–2,Aston Villa,Brighton,N,RW,17,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,1,0,9,14,3,12,0,2,1,139,50,7,7,1,2,1,3,0.1,1,1,2,1,13,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,52.0,18.0,0,0,0,0,12,2,0,5,0,16.0,2.2,5.6,2020-11-21 15:00:00+00:00,16,0,9,0,6845,0.0,1,-238,216,454,58,2020-11-21
13,2020-11-30,Mon,10,Away,L 1–2,Aston Villa,West Ham,N,LW,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,8,0,4,1,1,1,57,10,4,5,1,2,0,0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,53.0,35.0,1,0,2,1,7,3,0,3,0,1.8,0.3,1.2,2020-11-30 20:00:00+00:00,16,0,10,0,6839,0.0,1,-102,169,271,57,2020-11-30
14,2020-12-12,Sat,12,Away,W 1–0,Aston Villa,Wolves,N,RW,16,1,0,1,1,0,0,0,0,6,0,0,0,0.8,0.0,0.0,1,0,1,3,0,1,0,1,0,14,0,1,2,0,0,0,1,0.0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,2,3.0,0.0,0,0,1,0,3,0,1,23,0,0.3,5.2,33.0,2020-12-12 12:30:00+00:00,15,0,12,0,6787,19.0,7,-77,183,260,57,2020-12-12
