,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-13,Sun,1,Home,D 1–1,Chelsea,Liverpool,Y,"CM,RM",90,0,0,0,0,1,0,1,0,112,1,0,5,0.1,0.1,0.2,4,0,86,102,17,84,1,3,2,1557,469,39,40,31,38,13,16,0.1,2,15,3,0,96,5,1,2,1,7,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,4,2,0,1,17,61,34,2,291.0,129.0,2,0,1,1,96,6,0,18,0,38.5,6.7,19.8,2023-08-13 15:30:00+00:00,90,0,1,0,292482,9.0,1,0,0,0,50,2023-08-13
1,2023-08-20,Sun,2,Away,L 1–3,Chelsea,West Ham,Y,CM,90,0,0,0,1,1,0,0,0,124,1,0,2,0.8,0.0,0.3,7,0,101,116,19,91,7,2,1,1684,478,46,49,40,46,10,15,0.4,4,12,4,1,106,9,6,3,1,5,1,2,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,6,71,49,3,515.0,307.0,10,1,1,0,106,2,0,9,0,69.7,11.5,23.0,2023-08-20 15:30:00+00:00,90,0,2,0,428097,22.0,0,47125,75645,28520,50,2023-08-20
2,2023-08-25,Fri,3,Home,W 3–0,Chelsea,Luton Town,Y,"CM,AM",90,0,0,0,0,4,0,1,0,78,0,0,1,0.4,0.4,0.1,8,1,61,69,12,41,6,2,0,1163,439,30,32,19,22,10,12,0.3,2,8,5,0,64,5,1,2,2,5,0,4,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,7,42,29,4,212.0,161.0,2,2,0,0,66,6,0,1,1,38.5,5.4,0.0,2023-08-25 19:00:00+00:00,90,0,3,0,440229,18.0,2,-6685,54504,61189,50,2023-08-25
3,2023-09-02,Sat,4,Home,L 0–1,Chelsea,Nott'ham Forest,Y,"AM,DM",90,0,0,0,0,4,1,0,0,111,3,0,2,0.2,0.2,0.4,7,0,82,98,16,70,1,1,1,1280,508,45,48,29,33,4,10,0.5,3,16,5,0,93,4,1,1,0,7,1,2,1,6,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,0,2,0,0,0,9,63,39,0,306.0,156.0,1,0,2,4,82,3,0,14,0,46.6,8.1,22.8,2023-09-02 14:00:00+00:00,90,0,4,0,409718,12.0,2,-41206,27221,68427,50,2023-09-02
4,2023-09-17,Sun,5,Away,D 0–0,Chelsea,Bournemouth,Y,AM,80,0,0,0,0,1,1,0,0,58,0,1,0,0.0,0.0,0.0,3,0,48,51,4,45,1,1,0,926,282,19,19,21,23,7,8,0.0,0,4,0,0,46,5,3,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,2,7,35,16,1,163.0,95.0,1,0,1,0,48,1,0,10,1,7.3,2.5,8.6,2023-09-17 13:00:00+00:00,80,0,5,0,388045,9.0,3,-35053,23566,58619,50,2023-09-17
5,2023-09-24,Sun,6,Home,L 0–1,Chelsea,Aston Villa,Y,AM,67,0,0,0,0,1,0,0,0,43,2,0,1,0.2,0.2,0.0,0,0,25,38,1,31,1,0,0,395,98,13,14,8,9,3,8,0.0,0,4,0,0,31,4,1,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,3,1,0,1,0,1,8,22,13,2,109.0,32.0,0,0,0,1,30,1,0,6,1,3.7,1.8,7.8,2023-09-24 13:00:00+00:00,67,0,6,0,369150,6.0,3,-23298,13861,37159,50,2023-09-24
6,2023-10-02,Mon,7,Away,W 2–0,Chelsea,Fulham,Y,"LM,AM",89,0,0,0,0,2,1,0,0,76,3,1,3,0.4,0.4,0.0,2,0,51,58,6,50,3,1,1,877,249,21,22,22,26,6,6,0.1,1,5,0,0,55,2,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,2,2,0,1,2,2,0,4,21,43,12,2,223.0,121.0,1,0,5,2,50,1,0,14,1,14.9,5.6,21.2,2023-10-02 19:00:00+00:00,90,0,7,0,345863,20.0,3,-25493,13642,39135,49,2023-10-02
7,2023-10-07,Sat,8,Away,W 4–1,Chelsea,Burnley,Y,LM,90,0,0,0,0,1,1,1,0,97,3,2,1,0.1,0.1,0.0,2,0,81,89,8,60,2,2,1,1642,404,35,37,29,31,16,18,0.1,0,11,1,0,84,4,4,1,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,2,0,0,1,0,0,2,20,58,20,4,225.0,102.0,3,0,0,2,82,1,0,11,0,11.9,5.5,18.2,2023-10-07 14:00:00+00:00,90,0,8,0,347715,25.0,1,-2732,24469,27201,49,2023-10-07
8,2023-10-21,Sat,9,Home,D 2–2,Chelsea,Arsenal,Y,DM,90,0,0,0,0,2,1,0,0,76,1,0,4,0.1,0.1,0.0,1,0,49,62,4,37,2,3,1,793,227,23,24,20,22,3,7,0.0,1,3,0,0,54,6,4,0,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,3,0,0,2,19,45,13,2,199.0,114.0,0,0,0,1,53,3,0,10,0,17.3,4.4,14.4,2023-10-21 16:30:00+00:00,90,0,9,0,327189,12.0,2,-21894,9591,31485,49,2023-10-21
9,2023-11-06,Mon,11,Away,W 4–1,Chelsea,Tottenham,Y,DM,57,0,0,0,0,2,0,0,0,47,3,0,1,0.0,0.0,0.0,4,1,34,39,3,33,0,0,0,680,209,16,16,10,10,8,12,0.0,1,3,1,0,37,1,1,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,2,3,1,1,0,0,0,1,9,33,5,0,122.0,41.0,1,0,1,1,37,1,0,12,0,11.5,2.5,9.2,2023-11-06 20:00:00+00:00,57,0,11,0,281304,4.0,4,-27238,3670,30908,48,2023-11-06
