,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Crystal Palace,Sheffield Utd,Y,AM,90,0,0,0,0,8,0,0,0,76,0,0,1,0.5,0.5,0.5,13,0,44,55,4,51,3,2,2,708,238,17,19,19,21,5,9,0.4,7,4,2,0,45,10,5,0,0,9,0,5,0,3,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,33,42,8,224.0,101.0,3,2,5,2,59,12,0,21,1,96.2,14.5,13.4,2023-08-12 14:00:00+00:00,90,0,1,0,1431792,35.0,3,0,0,0,65,2023-08-12
1,2023-08-21,Mon,2,Home,L 0–1,Crystal Palace,Arsenal,Y,AM,90,0,0,0,0,4,1,0,0,53,1,0,0,0.3,0.3,0.1,3,0,37,43,4,33,3,5,3,555,93,20,22,14,14,2,5,0.1,1,0,1,0,38,5,2,0,0,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,16,34,4,151.0,69.0,2,1,4,1,41,1,0,14,0,22.9,5.5,9.2,2023-08-21 19:00:00+00:00,90,0,2,0,1335065,23.0,2,-155238,27372,182610,65,2023-08-21
2,2023-08-26,Sat,3,Away,D 1–1,Crystal Palace,Brentford,Y,"AM,LW",90,0,0,0,0,4,1,0,0,47,4,1,0,0.4,0.4,0.1,4,0,25,30,2,33,4,6,5,367,85,14,14,8,9,2,5,0.1,1,0,1,0,23,7,0,0,0,5,0,6,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,1,0,0,0,0,0,5,19,24,4,183.0,82.0,2,2,5,3,32,5,0,7,0,20.8,5.9,17.0,2023-08-26 14:00:00+00:00,90,0,3,0,1144214,21.0,2,-206379,36822,243201,64,2023-08-26
3,2023-09-03,Sun,4,Home,W 3–2,Crystal Palace,Wolves,Y,"RM,LW",90,1,0,0,0,3,3,0,0,52,4,0,1,0.6,0.6,0.2,5,0,29,38,3,31,3,5,3,466,138,14,16,12,15,2,6,0.1,4,1,3,1,27,11,5,0,0,8,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,1,0,0,0,1,18,33,5,213.0,87.0,2,4,3,3,35,7,1,33,0,52.8,16.4,62.0,2023-09-03 13:00:00+00:00,90,0,4,0,985760,49.0,8,-170233,38788,209021,64,2023-09-03
4,2023-09-16,Sat,5,Away,L 1–3,Crystal Palace,Aston Villa,Y,"LW,FW,AM",90,0,0,0,0,4,2,1,0,52,1,0,1,0.4,0.4,0.0,1,0,31,37,5,36,4,11,7,473,195,18,21,9,10,3,5,0.2,0,1,4,0,31,6,2,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,1,0,0,0,3,17,34,5,297.0,142.0,6,2,3,4,39,7,0,3,0,15.0,6.4,12.6,2023-09-16 14:00:00+00:00,90,0,5,0,909035,36.0,1,-88336,37499,125835,63,2023-09-16
5,2023-09-23,Sat,6,Home,D 0–0,Crystal Palace,Fulham,Y,"LW,AM",90,0,0,0,0,3,1,0,0,61,1,1,0,0.1,0.1,0.2,3,0,28,40,3,38,2,12,5,459,120,16,17,8,13,4,7,0.3,3,3,2,0,31,7,2,1,0,6,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,0,0,0,0,7,23,33,4,266.0,89.0,2,1,2,3,39,7,0,9,1,45.0,7.9,15.4,2023-09-23 14:00:00+00:00,90,0,6,0,890614,19.0,3,-26165,64761,90926,63,2023-09-23
6,2023-09-30,Sat,7,Away,W 1–0,Crystal Palace,Manchester Utd,Y,RM,87,0,0,0,0,1,0,0,0,37,1,0,1,0.1,0.1,0.4,3,0,15,24,3,18,2,5,2,257,109,6,8,9,12,0,2,0.3,2,3,0,0,17,7,3,0,0,4,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,11,11,15,0,130.0,82.0,2,0,1,0,17,2,0,23,1,29.7,4.3,12.4,2023-09-30 14:00:00+00:00,87,0,7,0,750290,1.0,6,-135917,14229,150146,62,2023-09-30
7,2023-11-04,Sat,11,Away,W 2–0,Crystal Palace,Burnley,N,"AM,LM",33,0,1,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.4,1,1,5,6,1,3,0,1,1,49,9,4,5,1,1,0,0,0.1,1,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,5,0,6.0,2.0,0,0,1,0,6,0,0,14,0,11.9,2.7,15.2,2023-11-04 15:00:00+00:00,32,0,11,0,319106,0.0,4,-15240,9627,24867,61,2023-11-04
8,2023-11-11,Sat,12,Home,L 2–3,Crystal Palace,Everton,Y,"AM,CM",90,1,0,1,1,1,1,1,0,56,5,0,1,0.9,0.1,0.1,5,1,26,40,6,32,3,5,3,390,132,12,16,11,13,1,8,0.1,2,3,1,0,30,9,2,0,0,8,0,6,1,3,0,0,0,1,1,0,0,0,0,1,0,2,1,2,2,1,3,2,0,1,0,0,0,6,21,31,8,236.0,122.0,3,2,3,3,35,6,0,20,0,25.1,13.0,51.0,2023-11-11 15:00:00+00:00,90,0,12,0,356244,54.0,6,34859,42857,7998,61,2023-11-11
9,2023-11-25,Sat,13,Away,L 1–2,Crystal Palace,Luton Town,Y,AM,48,0,0,0,0,2,2,0,0,34,3,0,1,0.1,0.1,0.0,4,0,17,21,3,19,2,2,1,281,54,7,9,10,10,0,1,0.0,1,1,1,0,18,3,1,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,2,1,0,1,1,0,0,4,18,12,0,97.0,53.0,2,0,2,1,21,2,0,4,0,12.8,4.3,16.0,2023-11-25 15:00:00+00:00,48,0,13,0,622444,14.0,1,249163,258727,9564,62,2023-11-25
