,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-10-28,Sun,10,Away,W 4–0,Chelsea,Burnley,N,CM,13,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,18,20,1,18,0,0,0,306,72,8,8,9,10,1,2,0.0,0,2,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,14,0,0,28.0,7.0,0,0,0,0,20,0,20,0,0,0,5,0,0,18,1.7,0,0,0,0,0,0.5,4945,3.4,0,2018-10-28 13:30:00+00:00,28 Oct 13:30,0,0,12,0,0,0,0,1,10,0,23307,0,1,0,0.0,1,-479,221,700,63,0,2018-10-28
1,2018-11-04,Sun,11,Home,W 3–1,Chelsea,Crystal Palace,N,CM,11,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,21,24,2,10,0,0,0,377,66,9,11,10,11,2,2,0.0,0,3,0,0,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,19,1,0,18.0,3.0,0,0,0,0,21,0,24,0,0,0,3,0,0,21,0.8,0,0,0,0,0,0.3,5493,1.8,0,2018-11-04 16:00:00+00:00,04 Nov 16:00,0,0,10,0,0,0,0,1,11,0,23274,0,0,0,0.0,1,-305,210,515,63,0,2018-11-04
2,2018-11-11,Sun,12,Home,D 0–0,Chelsea,Everton,N,CM,27,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,31,35,5,24,1,0,0,535,158,19,19,8,9,4,6,0.0,0,3,0,0,33,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,9,1,178.0,121.0,1,0,0,0,33,2,34,0,0,0,9,0,0,31,5.0,0,0,0,0,0,1.0,6043,3.4,0,2018-11-11 14:15:00+00:00,11 Nov 14:15,0,0,26,0,0,0,0,2,12,0,23005,0,0,0,2.0,1,-431,118,549,63,0,2018-11-11
3,2018-12-05,Wed,15,Away,L 1–2,Chelsea,Wolves,Y,CM,90,0,0,0,0,1,0,1,0,83,1,1,1,0.1,0.1,0.2,4,0,65,76,9,37,0,1,0,1017,426,36,37,25,30,4,8,0.4,2,5,3,0,69,7,6,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,0,0,0,1,13,52,18,2,171.0,97.0,2,0,0,1,64,3,75,0,0,0,11,0,2,64,32.3,0,0,0,0,0,5.6,7704,18.0,2,2018-12-05 19:45:00+00:00,05 Dec 19:45,0,0,90,0,0,0,0,6,15,0,23230,2,1,1,6.0,1,-77,170,247,63,0,2018-12-05
4,2018-12-22,Sat,18,Home,L 0–1,Chelsea,Leicester City,N,CM,16,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,21,24,4,14,2,0,0,359,153,9,10,9,9,3,4,0.2,0,5,1,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,9,16,2,0,148.0,123.0,0,0,0,0,21,2,24,0,0,0,5,0,0,21,4.3,0,0,0,1,1,0.5,9383,1.0,0,2018-12-22 15:00:00+00:00,22 Dec 15:00,0,0,15,0,0,0,0,6,18,0,23244,0,1,0,0.0,1,-118,119,237,62,0,2018-12-22
5,2019-01-02,Wed,21,Home,D 0–0,Chelsea,Southampton,N,LM,23,0,0,0,0,0,0,0,0,25,3,0,1,0.0,0.0,0.0,2,0,13,19,0,13,0,0,0,205,108,7,9,5,6,1,3,0.0,1,2,0,0,16,2,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,7,7,12,3,47.0,15.0,0,0,2,1,18,2,16,0,0,0,3,0,0,12,14.4,0,0,0,0,0,3.0,11084,9.4,1,2019-01-02 19:45:00+00:00,02 Jan 19:45,0,0,22,0,0,0,0,1,21,0,23189,1,0,0,6.0,1,-293,120,413,62,0,2019-01-02
6,2017-08-12,Sat,1,Home,L 2–3,Chelsea,Burnley,Y,CM,80,0,0,0,0,0,0,2,1,97,0,0,1,0.0,0.0,0.2,7,0,77,93,9,59,3,1,1,1363,483,38,42,28,29,10,20,0.1,5,7,0,0,83,10,5,0,1,7,0,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,19,51,27,1,289.0,148.0,0,0,2,0,76,0,87,0,0,0,7,0,0,75,67.8,1,0,0,0,3,8.3,105,12.8,5,2017-08-12 14:00:00+00:00,12 Aug 15:00,0,0,80,0,1,0,0,6,1,0,375528,0,0,0,2.0,-1,0,0,0,70,0,2017-08-12
7,2017-08-27,Sun,3,Home,W 2–0,Chelsea,Everton,Y,"CM,AM",90,1,0,0,0,2,2,0,0,97,0,0,0,0.1,0.1,0.1,6,1,75,91,14,60,2,0,0,1352,508,32,35,33,38,8,14,0.1,3,16,1,0,85,6,2,1,0,2,0,4,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,12,61,24,1,223.0,107.0,2,0,1,1,78,3,88,0,0,3,36,1,2,74,46.0,1,0,0,0,1,12.2,1132,51.6,3,2017-08-27 12:30:00+00:00,27 Aug 13:30,0,0,90,0,0,0,0,4,3,0,179265,0,0,0,24.0,11,-21593,6300,27893,69,1,2017-08-27
8,2017-09-09,Sat,4,Away,W 2–1,Chelsea,Leicester City,Y,AM,77,0,0,0,0,1,0,0,0,59,2,0,0,0.1,0.1,0.0,3,0,36,53,8,30,1,0,0,553,125,19,24,11,13,4,11,0.1,1,3,3,0,45,8,0,2,0,7,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,2,0,0,0,0,0,4,27,29,4,127.0,58.0,1,0,2,2,42,8,44,1,0,0,11,0,0,35,24.3,0,0,0,0,0,4.0,1663,5.4,2,2017-09-09 14:00:00+00:00,09 Sep 15:00,0,0,77,0,0,0,0,3,4,0,266381,2,0,1,10.0,2,67509,90158,22649,69,0,2017-09-09
9,2017-09-17,Sun,5,Home,D 0–0,Chelsea,Arsenal,Y,"AM,CM",90,0,0,0,0,1,0,0,0,86,3,0,1,0.0,0.0,0.5,5,0,61,80,9,41,1,1,1,1039,359,32,38,22,27,6,12,0.2,4,8,1,0,67,13,7,1,0,6,1,5,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,2,2,0,1,1,0,1,7,51,28,4,120.0,59.0,0,1,0,0,53,9,73,1,0,0,25,1,1,59,55.0,1,0,0,0,1,8.7,2207,21.2,4,2017-09-17 12:30:00+00:00,17 Sep 13:30,0,0,90,1,1,0,0,11,5,0,289065,0,3,1,11.0,3,16161,40401,24240,69,0,2017-09-17
