,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-10,Fri,1,Home,W 2–1,Manchester Utd,Leicester City,N,CM,7,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,3,0,0,0.0,0.0,0,0,1,0,2,0,0,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0.7,298,7.0,0,2018-08-10 19:00:00+00:00,10 Aug 20:00,0,0,6,0,0,0,0,0,1,0,28693,0,0,0,0.0,1,0,0,0,50,0,2018-08-10
1,2018-08-19,Sun,2,Away,L 2–3,Manchester Utd,Brighton,N,AM,31,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,1,1,12,16,1,9,0,0,0,127,20,10,12,0,0,0,1,0.0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,5,0,18.0,7.0,0,0,3,0,16,4,16,0,0,0,12,0,0,12,3.7,0,0,0,0,0,0.8,823,2.6,0,2018-08-19 15:00:00+00:00,19 Aug 16:00,0,0,30,0,0,0,0,1,2,0,34174,0,0,0,2.0,4,-1773,2101,3874,50,0,2018-08-19
2,2018-08-27,Mon,3,Home,L 0–3,Manchester Utd,Tottenham,N,"AM,CM",30,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,3,0,16,22,1,7,0,0,0,226,60,8,10,5,7,1,2,0.0,1,2,1,1,22,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,7,2,23.0,6.0,0,0,3,0,23,6,21,0,0,0,5,0,0,15,17.3,0,0,0,0,1,2.5,1350,4.0,1,2018-08-27 19:00:00+00:00,27 Aug 20:00,0,0,29,0,1,0,0,5,3,0,37450,0,0,0,4.0,1,-248,4162,4410,50,0,2018-08-27
3,2018-09-02,Sun,4,Away,W 2–0,Manchester Utd,Burnley,Y,"CM,DM",90,0,0,0,0,0,0,0,0,65,1,0,1,0.0,0.0,0.0,1,0,49,53,4,23,0,0,0,648,246,29,30,15,16,0,1,0.0,0,3,0,0,52,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,7,0,7,20,43,3,0,65.0,38.0,0,0,0,2,33,1,54,0,0,0,16,1,7,50,4.8,0,0,0,0,1,2.6,1881,20.8,0,2018-09-02 15:00:00+00:00,02 Sep 16:00,0,0,90,0,0,0,0,7,4,0,36358,2,1,0,0.0,3,-2770,2185,4955,50,0,2018-09-02
4,2018-09-15,Sat,5,Away,W 2–1,Manchester Utd,Watford,Y,CM,90,0,1,0,0,0,0,0,0,79,3,1,2,0.0,0.0,0.4,1,1,53,65,7,30,0,0,0,949,355,26,33,20,22,5,5,0.1,1,5,0,0,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,1,1,1,1,5,1,5,26,44,9,2,68.0,21.0,0,0,1,2,46,0,65,0,0,0,24,0,6,53,12.4,0,0,0,1,1,5.6,2418,40.0,1,2018-09-15 16:30:00+00:00,15 Sep 17:30,0,0,90,0,0,0,0,10,5,0,35151,2,1,0,4.0,5,-2573,3694,6267,50,0,2018-09-15
5,2018-09-22,Sat,6,Home,D 1–1,Manchester Utd,Wolves,Y,"CM,AM,DM",90,0,0,0,0,2,1,0,0,92,3,0,0,0.1,0.1,0.0,2,0,68,79,5,44,1,0,0,1024,248,34,37,26,29,4,6,0.1,0,3,0,0,78,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,3,1,0,0,7,0,6,20,56,17,7,118.0,50.0,1,0,0,1,69,5,77,0,0,0,14,0,6,67,4.4,0,0,0,0,2,8.0,2955,22.2,0,2018-09-22 14:00:00+00:00,22 Sep 15:00,0,0,90,1,0,0,0,9,6,0,56143,1,1,0,53.0,2,17918,22914,4996,50,0,2018-09-22
6,2018-09-29,Sat,7,Away,L 1–3,Manchester Utd,West Ham,Y,"CM,RM",90,0,0,0,0,1,1,0,0,48,1,2,2,0.2,0.2,0.0,2,0,28,35,6,26,0,1,0,385,115,13,16,13,13,0,2,0.0,0,5,0,0,34,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,3,4,32,12,4,80.0,22.0,3,0,0,1,35,5,34,0,1,0,9,0,5,28,2.6,0,0,0,0,1,4.2,3493,16.8,0,2018-09-29 11:30:00+00:00,29 Sep 12:30,0,0,90,0,0,0,0,4,7,0,58421,2,1,0,23.0,2,1939,7204,5265,50,0,2018-09-29
7,2018-10-06,Sat,8,Home,W 3–2,Manchester Utd,Newcastle Utd,N,LM,45,0,0,0,0,1,1,0,0,27,0,0,0,0.1,0.1,0.0,1,0,17,19,2,14,0,0,0,213,55,9,9,4,4,0,0,0.0,1,3,0,0,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,12,4,42.0,16.0,0,0,2,0,18,1,18,0,0,0,5,0,0,17,12.7,0,0,0,0,0,4.2,4032,6.2,1,2018-10-06 16:30:00+00:00,06 Oct 17:30,0,0,45,0,0,0,0,3,8,0,61636,0,0,0,23.0,1,2039,7258,5219,50,0,2018-10-06
8,2018-11-11,Sun,12,Away,L 1–3,Manchester Utd,Manchester City,Y,CM,90,0,0,0,0,0,0,0,0,67,4,1,0,0.0,0.0,0.0,0,0,39,50,4,19,0,1,0,554,140,21,25,16,17,0,1,0.0,0,3,0,0,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,4,2,0,0,7,0,8,18,36,13,2,56.0,17.0,0,0,0,0,45,1,48,0,0,0,16,0,8,39,2.5,0,0,0,0,2,2.8,6218,21.8,0,2018-11-11 16:30:00+00:00,11 Nov 16:30,0,0,90,0,0,0,0,3,12,0,35442,1,2,0,4.0,2,-1977,871,2848,49,0,2018-11-11
9,2018-11-24,Sat,13,Home,D 0–0,Manchester Utd,Crystal Palace,N,"DM,RM",31,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,7,12,1,7,0,0,0,69,24,5,8,2,3,0,0,0.0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,1,0,2,5,9,2,1,14.0,7.0,0,0,0,0,10,3,12,0,0,0,2,0,1,7,1.5,0,0,0,0,1,0.9,6770,5.6,0,2018-11-24 15:00:00+00:00,24 Nov 15:00,0,0,30,0,0,0,0,2,13,0,36820,0,0,0,2.0,1,826,2149,1323,49,0,2018-11-24
