,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y*,CM,90,0,0,0,0,3,0,0,0,74,5,0,0,0.1,0.1,0.1,2,0,50,65,8,33,0,0,0,730,197,31,36,16,19,1,4,0.1,2,5,0,0,64,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,2,8,6,0,0,0,0,1,6,55,13,2,130.0,48.0,1,0,0,2,47,0,0,10,0,28.7,4.8,11.2,2021-08-15 15:30:00+00:00,90,0,1,0,22889,8.0,2,0,0,0,50,2021-08-15
1,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,N,RM,7,0,0,0,0,1,0,0,0,10,2,0,1,0.1,0.1,0.0,1,0,6,6,3,2,0,0,0,57,48,4,4,1,1,0,0,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,5,3,1,6.0,5.0,0,0,1,0,5,1,0,3,0,0.3,0.7,2.6,2021-09-11 14:00:00+00:00,6,0,4,0,32694,4.0,1,-5116,4273,9389,50,2021-09-11
2,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y*,CM,64,0,0,0,0,1,0,0,0,60,1,0,0,0.0,0.0,0.1,4,0,45,54,4,36,2,0,0,744,270,17,21,21,23,4,6,0.1,1,5,1,0,54,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,3,14,42,4,1,178.0,110.0,0,0,2,2,54,1,0,12,1,11.4,3.1,9.2,2021-09-18 14:00:00+00:00,64,0,5,0,33369,10.0,3,-1059,3225,4284,49,2021-09-18
3,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,N,LM,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2021-09-25 11:30:00+00:00,3,0,6,0,33648,0.0,1,-756,2568,3324,49,2021-09-25
4,2021-10-16,Sat,8,Home,W 2–0,Manchester City,Burnley,N,CM,7,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,8,9,1,6,0,0,0,104,44,5,5,2,3,0,0,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,36.0,31.0,0,0,0,0,8,1,0,3,0,0.3,0.2,2.0,2021-10-16 14:00:00+00:00,6,0,8,0,32000,0.0,1,-1097,1412,2509,49,2021-10-16
5,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,N,DM,16,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,2,1,13,16,1,7,0,0,0,213,25,4,7,6,6,1,1,0.0,0,2,1,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,22.0,7.0,0,0,0,0,14,0,0,4,0,1.8,0.3,1.6,2021-10-23 16:30:00+00:00,15,0,9,0,31367,0.0,1,-947,707,1654,49,2021-10-23
6,2021-11-28,Sun,13,Home,W 2–1,Manchester City,West Ham,N,RM,4,1,0,0,0,1,1,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,2,0,2,0,0,0,21,0,0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,2.0,0.0,0,0,1,1,2,0,2,23,0,0.0,5.0,33.0,2021-11-28 14:00:00+00:00,3,0,13,0,29080,17.0,8,-606,447,1053,48,2021-11-28
7,2021-12-01,Wed,14,Away,W 2–1,Manchester City,Aston Villa,Y*,DM,90,0,0,0,0,0,0,0,0,69,0,0,1,0.0,0.0,0.0,2,1,56,64,7,51,2,2,0,988,209,26,26,25,29,4,5,0.1,0,6,1,0,63,1,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,8,45,16,1,217.0,81.0,2,0,0,0,50,2,0,9,0,9.5,1.6,4.0,2021-12-01 20:15:00+00:00,90,0,14,0,31086,2.0,2,1696,2257,561,48,2021-12-01
8,2021-12-14,Tue,17,Home,W 7–0,Manchester City,Leeds United,N,DM,35,0,0,0,0,0,0,0,0,21,0,1,2,0.0,0.0,0.1,3,0,13,17,3,13,1,0,0,220,122,6,7,6,8,1,1,0.1,2,1,2,1,17,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,11,6,0,69.0,46.0,1,0,1,0,13,1,0,8,0,25.1,3.3,7.4,2021-12-14 20:00:00+00:00,34,0,17,0,30892,0.0,1,-720,641,1361,48,2021-12-14
9,2021-12-19,Sun,18,Away,W 4–0,Manchester City,Newcastle Utd,N,DM,23,0,0,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.0,0,0,45,47,2,34,1,0,0,619,148,28,28,14,16,1,1,0.0,0,4,0,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,0,4,45,0,0,143.0,68.0,0,0,0,0,41,0,0,12,0,2.2,0.7,4.8,2021-12-19 14:00:00+00:00,22,0,18,0,31049,0.0,1,-123,725,848,48,2021-12-19
10,2021-12-26,Sun,19,Home,W 6–3,Manchester City,Leicester City,Y*,CM,90,0,1,0,0,1,0,1,0,68,2,1,0,0.0,0.0,0.1,2,1,62,64,4,50,0,2,2,840,150,41,41,17,18,2,3,0.1,1,5,2,0,63,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,3,2,0,0,0,0,0,3,53,13,1,202.0,68.0,2,0,0,1,61,1,0,17,0,17.8,5.9,23.2,2021-12-26 15:00:00+00:00,90,0,19,0,30422,18.0,4,-610,458,1068,48,2021-12-26
11,2021-12-29,Wed,20,Away,W 1–0,Manchester City,Brentford,Y*,CM,90,0,0,0,0,2,0,0,0,95,1,0,0,0.1,0.1,0.0,3,0,79,88,10,83,4,2,2,1441,346,30,33,41,45,6,7,0.1,1,9,3,0,87,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,8,64,23,2,377.0,202.0,3,0,0,0,82,1,0,13,1,17.9,5.5,14.8,2021-12-29 20:15:00+00:00,90,0,20,0,33383,22.0,3,1487,1964,477,48,2021-12-29
12,2022-02-12,Sat,25,Away,W 4–0,Manchester City,Norwich City,Y*,CM,90,0,0,0,0,2,0,0,0,93,0,1,1,0.6,0.6,0.3,3,0,77,87,11,71,1,3,3,1392,434,37,40,31,35,9,12,0.1,1,14,3,0,87,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,17,55,22,2,306.0,134.0,3,0,1,1,81,0,0,9,1,17.5,4.7,15.8,2022-02-12 17:30:00+00:00,90,0,25,0,29752,14.0,3,-382,165,547,48,2022-02-12
13,2022-04-23,Sat,34,Home,W 5–1,Manchester City,Watford,Y*,DM,90,0,0,0,0,3,1,0,0,81,4,2,1,0.1,0.1,0.2,3,0,58,71,11,54,2,1,1,1064,260,27,28,23,28,8,13,0.3,1,9,3,0,69,2,2,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,3,6,3,0,1,2,0,2,7,52,23,4,209.0,105.0,2,0,0,0,59,2,0,13,0,25.3,8.8,21.4,2022-04-23 14:00:00+00:00,90,0,34,0,29497,41.0,2,14,295,281,47,2022-04-23
14,2022-04-30,Sat,35,Away,W 4–0,Manchester City,Leeds United,N,DM,8,1,0,0,0,1,1,0,0,13,0,0,0,0.1,0.1,0.0,1,0,12,12,2,5,0,0,0,188,73,6,6,6,6,0,0,0.0,0,2,0,0,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,2,0,25.0,11.0,0,0,0,0,9,0,0,21,0,0.6,4.2,34.2,2022-04-30 16:30:00+00:00,7,0,35,0,29693,7.0,6,141,395,254,47,2022-04-30
