,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,"FW,RW",90,0,0,0,0,2,1,0,0,26,1,0,1,0.5,0.5,0.0,2,0,13,20,2,12,1,1,1,175,33,8,11,4,5,0,0,0.1,0,0,1,0,18,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,3,12,11,6,48.0,20.0,0,1,1,0,17,5,0,4,0,2.9,4.0,5.0,2021-08-15 15:30:00+00:00,90,0,1,0,129946,32.0,2,0,0,0,70,2021-08-15
1,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,FW,60,0,0,0,0,3,0,0,0,19,0,0,1,0.1,0.1,0.0,0,0,12,15,0,13,1,2,2,142,10,8,10,1,2,1,1,0.0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,13,2,50.0,13.0,0,1,0,1,16,3,0,7,1,4.4,4.1,1.0,2021-08-21 14:00:00+00:00,60,0,2,0,159103,36.0,3,13661,34644,20983,70,2021-08-21
2,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,FW,90,2,1,0,0,4,2,0,0,36,1,0,0,1.5,1.5,0.0,2,2,22,28,2,21,2,3,1,299,19,14,15,6,8,1,2,0.0,1,0,0,0,27,1,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,7,26,8,101.0,51.0,1,0,0,0,27,7,2,51,1,16.2,16.8,82.4,2021-08-28 11:30:00+00:00,90,0,3,0,156323,69.0,18,-8283,23995,32278,70,2021-08-28
3,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,FW,63,0,0,0,0,4,1,0,0,19,0,0,0,0.7,0.7,0.0,1,0,7,11,0,11,1,0,0,95,2,2,3,4,5,0,0,0.0,0,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,2,16,8,47.0,6.0,0,1,3,1,17,11,0,3,1,6.5,7.4,0.2,2021-09-11 14:00:00+00:00,63,0,4,0,1278882,67.0,3,995975,1193587,197612,71,2021-09-11
4,2020-09-21,Mon,2,Away,W 3–1,Manchester City,Wolves,N,LW,10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,1,0,11,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26.0,0.0,1,0,0,0,2,1,0,2,0,0.3,0.0,0.0,2020-09-21 19:15:00+00:00,9,0,2,0,79393,0.0,1,-2600,8008,10608,70,2020-09-21
5,2020-09-27,Sun,3,Home,L 2–5,Manchester City,Leicester City,N,RW,27,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,13,18,0,12,0,4,1,182,20,9,9,2,3,1,3,0.0,1,0,0,0,16,2,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,96.0,31.0,1,0,0,1,18,6,0,-1,0,11.9,1.3,0.4,2020-09-27 15:30:00+00:00,26,0,3,0,68207,1.0,1,-12411,2916,15327,70,2020-09-27
6,2020-10-03,Sat,4,Away,D 1–1,Manchester City,Leeds United,Y,RW,64,0,1,0,0,2,0,0,0,29,0,0,0,0.2,0.2,0.1,1,1,16,24,2,24,2,2,1,237,60,10,11,4,8,1,1,0.0,1,2,1,0,24,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,13,15,4,112.0,45.0,2,1,1,2,25,9,0,14,0,11.8,6.9,17.2,2020-10-03 16:30:00+00:00,64,0,4,0,62847,40.0,5,-7005,2704,9709,69,2020-10-03
7,2020-10-31,Sat,7,Away,W 1–0,Manchester City,Sheffield Utd,Y,FW,80,0,0,0,0,5,3,0,0,23,0,0,1,1.0,1.0,0.0,1,0,10,10,1,9,1,2,1,131,15,4,4,4,4,0,0,0.0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,12,5,41.0,21.0,0,0,2,2,18,3,0,-5,1,3.3,9.5,6.4,2020-10-31 12:30:00+00:00,80,0,7,0,60702,85.0,3,493,5745,5252,69,2020-10-31
8,2020-11-08,Sun,8,Home,D 1–1,Manchester City,Liverpool,Y,RW,60,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,2,0,12,17,3,10,0,1,0,162,61,7,8,4,5,0,0,0.0,0,2,1,0,17,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,1,48.0,26.0,2,0,1,0,13,1,0,5,0,0.9,0.2,0.0,2020-11-08 16:30:00+00:00,60,0,8,0,67299,2.0,2,5540,9962,4422,69,2020-11-08
9,2020-11-21,Sat,9,Away,L 0–2,Manchester City,Tottenham,Y,"LW,RW",90,0,0,0,0,4,1,1,0,49,2,0,1,0.2,0.2,0.1,3,0,31,37,3,41,2,2,2,409,82,19,22,10,12,1,1,0.1,2,1,2,0,37,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,1,0,0,0,2,10,38,6,286.0,141.0,2,1,2,5,43,16,0,5,0,26.9,11.6,12.2,2020-11-21 17:30:00+00:00,90,0,9,0,87968,77.0,1,17479,24164,6685,69,2020-11-21
