,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,D 2–2,Liverpool,Fulham,Y,FW,50,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,19,26,3,15,1,0,0,233,54,16,20,2,4,1,1,0.0,0,2,1,0,24,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5,17,12,3,86.0,15.0,0,1,2,2,22,3,0,4,0,4.2,1.8,7.4,2022-08-06 11:30:00+00:00,50,0,1,0,109701,6.0,1,0,0,0,80,2022-08-06
1,2022-08-22,Mon,3,Away,L 1–2,Liverpool,Manchester Utd,Y,FW,90,0,0,0,0,1,1,0,0,67,3,0,1,0.0,0.0,0.1,2,0,47,55,6,39,0,1,0,666,171,27,32,18,20,1,1,0.4,1,4,0,0,52,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,1,6,42,19,5,126.0,52.0,2,0,5,1,53,5,0,12,0,15.1,5.7,16.4,2022-08-22 19:00:00+00:00,90,0,3,0,116439,25.0,2,-2878,26247,29125,80,2022-08-22
2,2022-08-27,Sat,4,Home,W 9–0,Liverpool,Bournemouth,Y,FW,68,2,3,0,0,5,4,0,0,44,0,1,0,1.2,1.2,0.3,6,5,21,31,3,26,1,2,0,283,70,13,16,6,8,1,3,0.4,4,1,1,0,31,0,0,1,0,1,0,0,0,4,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,18,25,11,68.0,35.0,1,0,1,2,34,10,3,81,1,49.8,30.4,125.8,2022-08-27 14:00:00+00:00,68,0,4,0,132781,128.0,22,5406,23967,18561,80,2022-08-27
3,2022-08-31,Wed,5,Home,W 2–1,Liverpool,Newcastle Utd,Y,FW,90,1,0,0,0,5,1,0,0,51,1,0,1,0.2,0.2,0.4,6,0,33,40,11,29,0,1,0,534,235,15,18,16,18,1,1,0.4,2,4,2,0,39,1,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,0,0,0,6,29,16,6,101.0,40.0,0,0,1,0,41,4,3,39,0,26.1,15.1,41.4,2022-08-31 19:00:00+00:00,90,0,5,0,330936,83.0,9,157277,180838,23561,80,2022-08-31
4,2022-09-03,Sat,6,Away,D 0–0,Liverpool,Everton,N,AM,45,0,0,0,0,3,3,0,0,20,1,0,0,0.3,0.3,0.1,5,0,12,15,4,13,0,0,0,156,97,9,10,2,3,1,2,0.0,1,3,0,0,15,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,7,9,5,30.0,8.0,0,0,0,1,15,4,0,6,0,11.3,8.1,14.4,2022-09-03 11:30:00+00:00,45,0,6,0,437647,55.0,1,78712,141909,63197,81,2022-09-03
5,2022-10-01,Sat,9,Home,D 3–3,Liverpool,Brighton,Y,FW,74,2,0,0,0,4,3,0,0,47,0,0,0,0.6,0.6,0.0,3,1,31,36,4,32,1,3,2,420,100,20,22,8,10,1,1,0.0,1,2,0,0,33,3,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,8,139.0,60.0,0,1,1,4,39,7,2,51,0,15.4,17.3,73.0,2022-10-01 14:00:00+00:00,74,0,9,0,295837,85.0,12,-19420,18697,38117,79,2022-10-01
6,2022-10-09,Sun,10,Away,L 2–3,Liverpool,Arsenal,N,"AM,FW,RW",49,1,0,0,0,1,1,0,0,34,1,0,0,0.3,0.3,0.0,0,0,23,31,3,18,1,0,0,279,99,16,19,4,7,1,2,0.0,0,4,1,0,29,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,17,15,1,59.0,28.0,1,1,1,1,27,3,1,28,0,6.9,6.1,36.6,2022-10-09 15:30:00+00:00,48,0,10,0,465848,17.0,6,153651,182476,28825,79,2022-10-09
7,2022-10-16,Sun,11,Home,W 1–0,Liverpool,Manchester City,Y,AM,71,0,0,0,0,0,0,0,0,42,3,1,1,0.0,0.0,0.6,2,0,21,34,5,20,2,0,0,301,133,12,16,7,10,1,1,0.2,2,1,2,0,34,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,9,20,13,4,83.0,37.0,0,1,3,5,29,8,0,10,1,26.9,4.7,12.4,2022-10-16 15:30:00+00:00,71,0,11,0,596036,8.0,2,120767,158045,37278,80,2022-10-16
8,2022-10-19,Wed,12,Home,W 1–0,Liverpool,West Ham,Y,FW,80,0,0,0,0,5,2,0,0,44,1,0,0,0.7,0.7,0.1,5,0,28,35,6,24,2,1,1,340,148,15,18,5,6,2,2,0.1,2,4,4,0,34,1,0,2,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,8,21,15,6,109.0,68.0,0,1,2,0,34,7,0,9,1,29.8,11.9,12.0,2022-10-19 18:30:00+00:00,80,0,12,0,1348438,77.0,2,373263,409320,36057,81,2022-10-19
9,2022-10-22,Sat,13,Away,L 0–1,Liverpool,Nott'ham Forest,Y,FW,75,0,0,0,0,2,0,0,0,45,2,0,0,0.3,0.3,0.0,0,0,24,34,2,28,1,1,0,357,79,13,14,9,12,1,3,0.0,0,3,1,0,32,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,3,19,23,3,106.0,50.0,1,0,2,0,37,7,0,6,0,3.6,1.6,0.0,2022-10-22 11:30:00+00:00,75,0,13,0,1039303,13.0,2,69207,188172,118965,81,2022-10-22
