,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-07,Sun,1,Home,L 1–2,Manchester Utd,Brighton,Y,CM,52,0,0,0,0,1,0,0,0,48,0,2,2,0.0,0.0,0.0,0,0,33,41,2,25,0,0,0,510,117,16,21,16,18,0,0,0.0,0,4,0,0,38,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,3,17,26,7,0,138.0,64.0,0,0,0,1,30,1,0,6,0,3.1,0.5,1.0,2022-08-07 13:00:00+00:00,52,0,1,0,83919,1.0,1,0,0,0,55,2022-08-07
1,2022-08-13,Sat,2,Away,L 0–4,Manchester Utd,Brentford,Y,DM,45,0,0,0,0,0,0,0,0,40,1,1,3,0.0,0.0,0.0,1,0,30,35,3,22,0,0,0,425,66,20,20,8,9,1,1,0.0,0,2,0,0,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,9,15,16,2,87.0,37.0,3,0,2,0,23,3,0,10,0,4.2,1.2,3.8,2022-08-13 16:30:00+00:00,45,0,2,0,82724,4.0,1,-15682,5771,21453,55,2022-08-13
2,2022-08-22,Mon,3,Home,W 2–1,Manchester Utd,Liverpool,N,LM,20,0,0,0,0,0,0,0,0,12,3,0,0,0.0,0.0,0.0,0,0,5,10,1,5,0,0,0,57,34,4,4,1,2,0,2,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,5,6,1,0,24.0,0.0,0,0,0,0,4,0,0,7,0,0.1,0.7,6.8,2022-08-22 19:00:00+00:00,19,0,3,0,65145,0.0,1,-20961,2951,23912,54,2022-08-22
3,2022-08-27,Sat,4,Away,W 1–0,Manchester Utd,Southampton,N,AM,1,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,9.0,3.0,0,0,1,1,1,1,0,-2,0,0.0,0.0,0.0,2022-08-27 11:30:00+00:00,1,0,4,0,57783,0.0,0,-10603,2659,13262,53,2022-08-27
4,2022-09-01,Thu,5,Away,W 1–0,Manchester Utd,Leicester City,N,LW,4,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,0,1,0,0,0,19,0,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,2.0,0.0,0,0,0,0,2,0,0,4,0,0.0,0.1,1.0,2022-09-01 19:00:00+00:00,3,0,5,0,51985,0.0,1,-7632,1831,9463,53,2022-09-01
5,2022-09-04,Sun,6,Home,W 3–1,Manchester Utd,Arsenal,N,AM,24,0,0,0,0,0,0,0,0,16,1,1,0,0.0,0.0,0.3,2,0,10,11,1,6,1,1,0,143,30,4,4,3,3,1,2,0.0,1,0,1,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,4,7,5,1,23.0,19.0,0,0,2,0,6,0,0,7,0,14.9,2.2,4.6,2022-09-04 15:30:00+00:00,23,0,6,0,49461,2.0,1,-4234,2504,6738,52,2022-09-04
6,2022-10-02,Sun,9,Away,L 3–6,Manchester Utd,Manchester City,N,DM,21,0,0,0,0,1,1,0,0,15,1,0,0,0.1,0.1,0.0,3,1,13,13,0,7,0,0,0,145,22,8,8,3,3,0,0,0.0,2,1,0,0,13,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,8,3,1,21.0,12.0,0,0,0,0,11,1,0,14,0,20.8,4.7,9.6,2022-10-02 13:00:00+00:00,20,0,9,0,46149,17.0,4,-1365,889,2254,52,2022-10-02
7,2022-10-16,Sun,11,Home,D 0–0,Manchester Utd,Newcastle Utd,Y,DM,90,0,0,0,0,4,0,0,0,75,0,2,2,0.2,0.2,0.0,5,0,53,62,10,42,1,1,0,911,299,22,25,25,26,5,6,0.1,2,7,0,0,60,1,1,1,1,1,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,36,29,4,193.0,123.0,3,0,3,3,49,4,0,5,1,29.1,7.0,5.6,2022-10-16 13:00:00+00:00,90,0,11,0,45199,35.0,3,-1328,770,2098,51,2022-10-16
8,2022-10-19,Wed,12,Home,W 2–0,Manchester Utd,Tottenham,Y,"DM,CM",90,1,0,0,0,6,2,0,0,74,1,2,3,0.3,0.3,0.4,6,0,43,56,7,45,2,2,1,718,243,19,24,17,20,4,5,0.3,3,4,2,1,55,0,0,1,0,1,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,3,2,0,3,11,29,34,4,198.0,112.0,1,0,0,1,54,5,2,38,1,44.2,15.9,51.8,2022-10-19 19:15:00+00:00,90,0,12,0,45520,63.0,10,-144,793,937,51,2022-10-19
9,2022-10-22,Sat,13,Away,D 1–1,Manchester Utd,Chelsea,N,"AM,DM",39,0,0,0,0,1,0,1,0,29,1,0,2,0.0,0.0,0.0,3,1,15,21,3,16,1,1,0,293,49,8,11,2,4,4,4,0.0,1,0,0,0,20,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,0,2,0,0,0,6,16,7,1,49.0,26.0,2,1,0,0,16,1,0,-1,0,11.4,1.6,0.2,2022-10-22 16:30:00+00:00,38,0,13,0,52573,4.0,0,6223,7441,1218,51,2022-10-22
10,2022-10-30,Sun,14,Home,W 1–0,Manchester Utd,West Ham,N,DM,12,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,1,3,0,4,0,0,0,14,0,1,1,0,0,0,2,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,22.0,16.0,0,0,3,0,3,1,0,-1,0,0.1,0.2,0.0,2022-10-30 16:15:00+00:00,11,0,14,0,51481,4.0,1,-1486,2743,4229,51,2022-10-30
11,2022-12-27,Tue,17,Home,W 3–0,Manchester Utd,Nott'ham Forest,N,DM,14,1,0,0,0,1,1,0,0,17,0,0,3,0.4,0.4,0.2,2,0,6,9,2,10,0,0,0,82,35,3,3,2,2,0,2,0.1,2,0,1,0,9,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,7,3,7,2,30.0,11.0,0,0,2,0,7,2,0,23,0,21.3,7.9,39.0,2022-12-27 20:00:00+00:00,13,0,17,0,48078,19.0,6,-1387,2217,3604,51,2022-12-27
12,2022-12-31,Sat,18,Away,W 1–0,Manchester Utd,Wolves,N,DM,30,0,0,0,0,0,0,1,0,32,2,0,0,0.0,0.0,0.0,0,0,22,27,1,19,0,2,1,278,69,17,20,4,5,1,1,0.0,0,2,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,10,13,9,0,67.0,43.0,1,0,0,0,21,4,0,0,0,5.1,0.9,4.0,2022-12-31 12:30:00+00:00,29,0,18,0,49252,0.0,0,779,1675,896,51,2022-12-31
13,2023-01-03,Tue,19,Home,W 3–0,Manchester Utd,Bournemouth,N,DM,23,0,0,0,0,0,0,0,0,22,0,1,1,0.0,0.0,0.1,3,0,19,19,3,11,0,0,0,326,122,10,10,6,6,3,3,0.0,2,1,1,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,7,8,8,0,31.0,19.0,0,0,0,0,13,0,0,6,0,22.2,2.9,6.8,2023-01-03 20:00:00+00:00,22,0,19,0,48807,0.0,1,-601,691,1292,51,2023-01-03
14,2023-01-14,Sat,20,Home,W 2–1,Manchester Utd,Manchester City,Y,"DM,CM",90,0,0,0,0,0,0,1,0,44,3,1,2,0.0,0.0,0.0,2,0,32,35,1,18,0,2,2,489,218,18,19,4,5,6,6,0.0,1,0,0,0,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,1,0,2,1,0,3,23,17,5,1,44.0,18.0,1,0,1,0,24,0,0,11,0,12.2,2.6,12.0,2023-01-14 12:30:00+00:00,90,0,20,0,48553,2.0,1,-548,1073,1621,51,2023-01-14
15,2023-01-18,Wed,7,Away,D 1–1,Manchester Utd,Crystal Palace,N,DM,8,0,0,0,0,0,0,0,0,15,2,1,0,0.0,0.0,0.0,0,0,8,12,1,9,1,0,0,123,14,5,5,3,4,0,3,0.0,0,2,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,4,9,2,0,43.0,27.0,1,0,1,0,9,0,0,8,0,0.7,0.6,5.6,2023-01-18 20:00:00+00:00,7,0,20,0,48553,0.0,1,-548,1073,1621,51,2023-01-18
16,2023-01-22,Sun,21,Away,L 2–3,Manchester Utd,Arsenal,N,DM,20,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,5,7,0,4,0,1,0,46,20,5,5,0,0,0,1,0.0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,3,8,3,1,0,18.0,5.0,0,0,1,1,6,0,0,1,0,0.2,0.5,4.6,2023-01-22 16:30:00+00:00,19,0,21,0,48820,0.0,1,12,1232,1220,51,2023-01-22
