,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,L 0–1,Everton,Fulham,Y,RM,82,0,0,0,0,0,0,0,0,42,1,1,1,0.0,0.0,0.0,4,0,23,35,1,27,0,4,3,344,89,15,17,4,5,3,7,0.0,1,3,0,0,29,6,2,0,0,7,0,4,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,10,13,19,0,109.0,31.0,2,0,2,0,26,2,0,12,0,18.3,2.7,8.8,2023-08-12 14:00:00+00:00,82,0,1,0,3376,0.0,2,0,0,0,50,2023-08-12
1,2023-08-20,Sun,2,Away,L 0–4,Everton,Aston Villa,Y,"CM,RM",90,0,0,0,0,1,0,0,0,39,2,0,1,0.0,0.0,0.2,1,0,26,32,3,20,3,1,1,453,175,13,14,8,9,3,6,0.1,1,5,1,0,28,4,3,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,1,1,0,1,0,3,8,17,14,1,106.0,58.0,2,0,1,0,21,1,0,8,0,18.4,3.6,13.8,2023-08-20 13:00:00+00:00,90,0,2,0,4037,4.0,2,-208,262,470,50,2023-08-20
2,2023-08-26,Sat,3,Home,L 0–1,Everton,Wolves,Y,RM,90,0,0,0,0,2,1,1,0,44,3,1,1,0.1,0.1,0.3,4,0,26,34,3,31,2,0,0,366,118,12,15,10,13,1,2,0.2,2,1,1,1,31,2,0,0,0,3,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,0,5,20,20,2,117.0,68.0,3,0,1,0,29,5,0,10,0,28.2,6.1,13.2,2023-08-26 14:00:00+00:00,90,0,3,0,4066,20.0,1,-280,265,545,50,2023-08-26
3,2023-09-02,Sat,4,Away,D 2–2,Everton,Sheffield Utd,Y,RM,74,0,0,0,0,0,0,0,0,23,2,0,2,0.0,0.0,0.0,1,0,9,17,3,15,0,3,0,121,34,6,7,3,4,0,4,0.0,1,3,0,0,15,2,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,0,0,1,4,8,11,0,41.0,21.0,0,0,0,0,16,4,0,10,0,11.1,1.6,4.6,2023-09-02 11:30:00+00:00,74,0,4,0,4498,0.0,2,91,663,572,50,2023-09-02
4,2023-09-17,Sun,5,Home,L 0–1,Everton,Arsenal,N,CM,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11.0,3.0,0,0,0,0,2,1,0,3,0,0.0,0.0,0.0,2023-09-17 15:30:00+00:00,10,0,5,0,4139,0.0,1,-616,176,792,49,2023-09-17
5,2023-09-23,Sat,6,Away,W 3–1,Everton,Brentford,Y,RM,90,0,1,0,0,2,0,0,0,41,3,0,2,0.0,0.0,0.7,6,3,26,33,5,22,3,0,0,412,140,14,15,9,11,2,5,0.3,4,2,2,1,29,3,0,1,0,6,0,3,1,4,1,0,0,0,1,2,0,0,0,0,1,3,0,2,1,1,3,2,1,1,1,0,2,3,16,23,1,94.0,50.0,3,0,1,1,24,3,2,29,0,54.3,9.7,35.8,2023-09-23 16:30:00+00:00,90,0,6,0,3991,7.0,7,-220,123,343,49,2023-09-23
6,2023-09-30,Sat,7,Home,L 1–2,Everton,Luton Town,Y,"CM,RM",90,0,0,0,0,4,0,0,0,57,0,0,2,0.7,0.7,0.6,6,0,33,47,6,37,0,2,0,644,244,13,14,16,19,4,9,0.9,3,3,3,1,43,4,0,1,1,5,1,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,26,26,6,209.0,56.0,1,0,1,0,43,5,0,8,0,40.9,7.0,5.2,2023-09-30 14:00:00+00:00,90,0,7,0,9422,24.0,2,4682,5579,897,49,2023-09-30
7,2023-10-07,Sat,8,Home,W 3–0,Everton,Bournemouth,Y,CM,90,1,0,0,0,4,2,0,0,67,6,1,2,0.2,0.2,0.0,2,1,35,44,5,35,3,2,0,595,166,19,21,13,15,3,5,0.1,0,4,1,0,37,7,2,0,0,5,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,3,3,1,3,2,0,2,1,0,1,5,32,30,2,257.0,125.0,3,1,1,2,38,2,0,27,1,8.6,7.9,49.4,2023-10-07 14:00:00+00:00,90,0,8,0,9746,21.0,8,395,2380,1985,49,2023-10-07
8,2023-10-21,Sat,9,Away,L 0–2,Everton,Liverpool,Y,"CM,RB",90,0,0,0,0,1,0,0,0,39,3,0,1,0.0,0.0,0.0,0,0,14,27,1,5,0,1,1,228,110,8,13,5,10,1,4,0.0,0,0,0,0,18,9,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,5,3,0,1,3,0,2,9,25,5,0,22.0,2.0,0,0,2,0,8,0,0,9,0,0.8,1.1,9.2,2023-10-21 11:30:00+00:00,90,0,9,0,13605,1.0,2,3389,5568,2179,49,2023-10-21
9,2023-10-29,Sun,10,Away,W 1–0,Everton,West Ham,Y,CM,90,0,0,0,0,0,0,0,0,45,4,3,1,0.0,0.0,0.0,0,0,27,33,2,24,2,0,0,526,200,11,14,11,13,4,5,0.0,0,1,1,1,30,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,4,2,0,1,2,0,4,12,27,8,2,141.0,53.0,1,1,0,2,27,3,0,11,1,5.3,2.6,16.8,2023-10-29 13:00:00+00:00,90,0,10,0,13009,4.0,3,-560,1693,2253,49,2023-10-29
10,2023-11-04,Sat,11,Home,D 1–1,Everton,Brighton,Y,CM,90,0,0,0,0,1,0,0,0,40,4,2,0,0.1,0.1,0.0,2,0,19,25,1,10,0,0,0,365,99,6,8,12,14,1,3,0.0,1,2,1,0,22,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,2,1,0,0,4,0,5,14,22,4,0,57.0,23.0,0,0,2,0,12,0,0,8,0,15.3,3.2,15.4,2023-11-04 15:00:00+00:00,90,0,11,0,16236,1.0,2,2853,4285,1432,49,2023-11-04
