,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Home,W 2–1,Leeds United,Wolves,N,FW,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,9,5,1,1,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2.0,0.0,0,0,0,0,1,1,0,2,0,0.3,0.1,0.2,2022-08-06 14:00:00+00:00,6,0,1,0,57638,0.0,1,0,0,0,55,2022-08-06
1,2022-08-21,Sun,3,Home,W 3–0,Leeds United,Chelsea,N,FW,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,10,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,10.0,0,0,0,2,2,0,0,-1,0,0.1,0.0,0.0,2022-08-21 13:00:00+00:00,7,0,3,0,42521,0.0,1,-12330,1002,13332,54,2022-08-21
2,2022-08-27,Sat,4,Away,L 0–1,Leeds United,Brighton,N,RW,9,0,0,0,0,1,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,7,1,5,1,2,1,53,17,2,3,2,3,0,0,0.0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,4,0,24.0,17.0,1,0,0,1,7,2,0,3,0,0.3,1.0,1.4,2022-08-27 14:00:00+00:00,8,0,4,0,40997,8.0,1,-3315,3173,6488,54,2022-08-27
3,2022-08-30,Tue,5,Home,D 1–1,Leeds United,Everton,N,FW,44,0,0,0,0,2,1,0,0,26,0,0,1,0.4,0.4,0.0,1,1,8,15,1,15,0,2,0,107,8,3,4,2,5,1,1,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11,15,5,65.0,18.0,1,1,2,0,18,8,0,-3,0,2.2,3.1,1.4,2022-08-30 19:00:00+00:00,44,0,5,0,37768,27.0,1,-3892,1782,5674,54,2022-08-30
4,2022-09-03,Sat,6,Away,L 2–5,Leeds United,Brentford,Y,FW,58,0,0,0,0,3,0,0,0,23,0,0,0,0.1,0.1,0.0,1,0,12,14,0,13,0,0,0,154,32,5,5,3,3,1,1,0.0,0,0,0,0,10,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,10,12,1,21.0,7.0,0,0,4,2,18,5,0,-1,0,2.7,1.4,0.0,2022-09-03 14:00:00+00:00,58,0,6,0,35752,14.0,1,-2801,3702,6503,53,2022-09-03
5,2022-10-09,Sun,10,Away,L 1–2,Leeds United,Crystal Palace,N,FW,7,0,0,0,0,1,1,0,0,4,1,0,1,0.1,0.1,0.0,0,0,1,1,0,2,0,0,0,8,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,3,1,1.0,0.0,0,0,0,0,2,1,0,1,0,0.3,2.0,3.0,2022-10-09 13:00:00+00:00,6,0,10,0,29044,17.0,1,-747,2054,2801,52,2022-10-09
6,2022-10-16,Sun,11,Home,L 0–1,Leeds United,Arsenal,N,RW,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,1.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2022-10-16 13:00:00+00:00,1,0,11,0,28180,0.0,1,-977,1062,2039,52,2022-10-16
7,2022-10-20,Thu,12,Away,L 0–2,Leeds United,Leicester City,N,"LW,AM",16,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,5,2,3,1,1,0,50,23,2,2,1,1,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,2,1,7.0,4.0,0,1,0,1,5,1,0,1,0,0.5,0.5,2.4,2022-10-20 19:15:00+00:00,15,0,12,0,26614,2.0,1,-1273,428,1701,52,2022-10-20
8,2022-10-23,Sun,13,Home,L 2–3,Leeds United,Fulham,N,LB,6,0,1,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.1,1,1,4,4,1,3,0,1,0,46,25,3,3,1,1,0,0,0.4,1,0,1,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,0,4.0,4.0,0,0,0,0,4,0,0,15,0,14.6,3.2,17.6,2022-10-23 13:00:00+00:00,6,0,13,0,26263,0.0,4,-835,535,1370,52,2022-10-23
9,2022-11-05,Sat,15,Home,W 4–3,Leeds United,Bournemouth,N,FW,10,0,0,0,0,1,0,1,0,5,2,0,0,0.0,0.0,0.0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,8.0,2.0,0,0,2,0,4,1,0,-1,0,0.0,2.2,2.0,2022-11-05 15:00:00+00:00,9,0,15,0,28045,20.0,0,2219,4111,1892,51,2022-11-05
10,2022-11-12,Sat,16,Away,L 3–4,Leeds United,Tottenham,N,FW,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,1,3,0,0,0,33,6,2,3,1,1,0,0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1.0,0.0,0,0,1,0,4,0,0,3,0,0.4,0.1,0.4,2022-11-12 15:00:00+00:00,1,0,16,0,26939,0.0,1,-994,1538,2532,51,2022-11-12
11,2022-12-28,Wed,17,Home,L 1–3,Leeds United,Manchester City,N,RW,19,0,0,0,0,1,0,0,0,7,1,0,1,0.1,0.1,0.0,0,0,2,2,0,2,0,2,0,23,2,1,1,1,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,4,2,1.0,0.0,0,0,0,1,3,1,0,1,0,0.5,0.7,0.0,2022-12-28 20:00:00+00:00,18,0,17,0,29619,6.0,1,2326,8346,6020,51,2022-12-28
12,2022-12-31,Sat,18,Away,D 0–0,Leeds United,Newcastle Utd,N,FW,9,0,0,0,0,1,0,0,0,4,1,0,0,0.1,0.1,0.0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,1,1,6.0,2.0,0,0,0,0,3,0,0,3,0,0.0,2.0,2.0,2022-12-31 15:00:00+00:00,8,0,18,0,29838,18.0,1,165,1536,1371,51,2022-12-31
13,2023-01-04,Wed,19,Home,D 2–2,Leeds United,West Ham,N,AM,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12.0,0.0,0,0,0,0,3,0,0,2,0,0.0,0.0,0.0,2023-01-04 19:45:00+00:00,1,0,19,0,29535,0.0,1,-350,1179,1529,51,2023-01-04
