,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,W 3–2,Watford,Aston Villa,N,"DM,CM",22,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,8,0,3,0,0,0,45,19,5,5,0,2,0,1,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,3,8,1,1,0,14.0,0.0,0,0,0,0,4,0,0,3,0,0.3,0.3,2.6,2021-08-14 14:00:00+00:00,21,0,1,0,4874,0.0,1,0,0,0,50,2021-08-14
1,2022-05-11,Wed,30,Home,D 0–0,Watford,Everton,Y,LM,90,0,0,0,0,1,0,0,0,50,1,0,1,0.0,0.0,0.0,1,0,34,39,2,27,1,1,1,530,127,15,17,16,17,2,2,0.0,0,2,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,1,2,0,5,18,24,10,1,179.0,70.0,1,0,1,1,29,3,0,13,1,1.8,1.2,7.6,2022-05-11 18:45:00+00:00,90,0,36,0,2524,3.0,3,61,103,42,47,2022-05-11
2,2022-05-15,Sun,37,Home,L 1–5,Watford,Leicester City,Y,LM,45,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.0,1,0,13,14,2,11,1,1,1,239,64,8,8,3,3,2,2,0.0,1,2,0,0,14,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,6,2,52.0,31.0,0,1,1,0,13,2,0,5,0,15.2,2.2,3.2,2022-05-15 13:00:00+00:00,45,0,37,0,2604,4.0,1,64,132,68,47,2022-05-15
3,2022-05-22,Sun,38,Away,L 1–2,Watford,Chelsea,N,CM,9,1,0,0,0,1,1,0,0,6,1,0,0,0.2,0.2,0.0,0,0,3,4,0,4,0,0,0,22,6,3,3,0,0,0,1,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,3,2,1,1,17.0,1.0,0,0,0,0,4,0,0,23,0,0.0,0.0,0.0,2022-05-22 15:00:00+00:00,8,0,38,0,2522,0.0,6,-74,28,102,47,2022-05-22
4,2019-11-23,Sat,13,Home,L 1–2,Bournemouth,Wolves,N,CM,15,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,7,11,1,9,0,0,0,105,24,5,7,1,3,1,1,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,1,0,12.0,4.0,0,0,0,0,9,0,0,3,0,0.0,0.2,2.4,2019-11-23 15:00:00+00:00,14,0,13,0,819,0.0,1,68,89,21,49,2019-11-23
5,2019-11-30,Sat,14,Away,L 2–3,Bournemouth,Tottenham,N,CM,17,0,0,0,0,2,0,0,0,15,0,1,0,0.2,0.2,0.1,1,0,11,11,2,12,0,0,0,228,71,2,2,7,7,1,1,0.0,1,1,1,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,5,4,2,35.0,12.0,0,0,1,0,12,0,0,0,0,10.3,3.1,0.0,2019-11-30 15:00:00+00:00,16,0,14,0,839,22.0,1,9,40,31,49,2019-11-30
6,2019-12-07,Sat,16,Home,L 0–3,Bournemouth,Liverpool,N,FW,27,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,6,7,0,5,0,0,0,99,26,2,3,4,4,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,4,0,0,33.0,14.0,0,0,0,0,6,0,0,3,0,0.0,0.2,1.6,2019-12-07 15:00:00+00:00,26,0,16,0,875,0.0,1,-11,26,37,49,2019-12-07
7,2019-12-14,Sat,17,Away,W 1–0,Bournemouth,Chelsea,Y,CM,90,1,0,0,0,3,1,1,0,44,2,4,4,0.4,0.4,0.1,4,1,15,25,2,28,1,1,0,165,44,13,15,2,5,0,3,0.0,2,1,0,0,24,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,2,0,0,0,1,1,3,1,0,0,4,12,19,13,5,118.0,60.0,0,0,1,1,26,4,0,24,1,24.5,14.0,58.4,2019-12-14 15:00:00+00:00,90,0,17,0,919,57.0,7,19,47,28,49,2019-12-14
8,2019-12-21,Sat,18,Home,L 0–1,Bournemouth,Burnley,Y,"CM,RM",90,0,0,0,0,0,0,0,0,41,3,1,0,0.0,0.0,0.0,0,0,26,34,4,26,0,0,0,480,158,14,18,8,11,4,4,0.0,0,3,0,0,32,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,1,0,0,9,23,9,2,94.0,43.0,0,0,3,1,25,2,0,7,0,1.4,1.4,8.8,2019-12-21 15:00:00+00:00,90,0,18,0,2176,4.0,2,943,1080,137,49,2019-12-21
9,2019-12-26,Thu,19,Home,D 1–1,Bournemouth,Arsenal,Y,CM,69,1,0,0,0,1,1,0,0,44,2,1,5,0.6,0.6,0.0,1,0,21,26,2,23,1,0,0,302,119,15,16,5,5,1,1,0.0,0,2,0,0,25,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,3,0,3,14,24,6,1,83.0,29.0,1,0,1,1,25,3,1,25,0,2.9,8.9,52.6,2019-12-26 15:00:00+00:00,69,0,19,0,1870,33.0,8,-97,133,230,49,2019-12-26
