,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,L 0–1,Everton,Fulham,Y,CM,90,0,0,0,0,2,0,0,0,70,6,1,3,0.1,0.1,0.0,4,0,48,57,2,37,0,0,0,649,133,23,25,21,24,1,3,0.0,1,4,1,0,55,1,0,0,0,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,2,1,2,3,1,2,1,0,3,2,0,4,17,37,19,1,163.0,60.0,1,0,1,0,36,2,0,15,0,15.4,3.9,17.8,2023-08-12 14:00:00+00:00,90,0,1,0,4099,6.0,2,0,0,0,50,2023-08-12
1,2023-08-20,Sun,2,Away,L 0–4,Everton,Aston Villa,Y,"DM,CM",45,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.0,0,0,12,13,1,10,0,0,0,188,43,4,4,7,7,0,0,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,1,0,2,3,12,2,0,23.0,12.0,0,0,1,0,9,0,0,1,0,1.5,0.2,0.8,2023-08-20 13:00:00+00:00,45,0,2,0,4717,0.0,0,-423,271,694,50,2023-08-20
2,2023-08-26,Sat,3,Home,L 0–1,Everton,Wolves,Y,DM,89,0,0,0,0,0,0,0,0,58,2,1,2,0.0,0.0,0.0,3,0,48,52,6,45,3,2,2,718,180,23,24,24,26,0,0,0.0,0,3,1,0,52,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,1,0,0,2,6,40,13,0,250.0,93.0,4,0,0,2,47,2,0,19,0,4.4,1.9,14.4,2023-08-26 14:00:00+00:00,90,0,3,0,4309,0.0,2,-647,136,783,50,2023-08-26
3,2023-09-02,Sat,4,Away,D 2–2,Everton,Sheffield Utd,Y,CM,90,0,0,0,0,0,0,0,0,65,3,1,1,0.0,0.0,0.0,1,0,50,57,7,39,2,2,1,766,196,26,29,20,23,2,2,0.0,0,3,0,0,57,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,4,9,44,13,0,156.0,66.0,2,0,1,1,39,3,0,16,0,5.0,1.6,11.2,2023-09-02 11:30:00+00:00,90,0,4,0,4228,0.0,2,-299,217,516,49,2023-09-02
4,2023-09-17,Sun,5,Home,L 0–1,Everton,Arsenal,Y,CM,90,0,0,0,0,2,1,0,0,26,2,2,0,0.1,0.1,0.1,2,0,14,19,1,21,3,0,0,214,87,7,10,7,8,0,1,0.0,1,3,1,1,18,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,8,12,6,1,113.0,48.0,0,1,0,2,15,2,0,6,0,14.7,3.7,11.4,2023-09-17 15:30:00+00:00,90,0,5,0,4147,11.0,2,-286,130,416,49,2023-09-17
5,2023-09-23,Sat,6,Away,W 3–1,Everton,Brentford,Y,CM,90,0,0,0,0,1,0,0,0,47,0,0,0,0.0,0.0,0.4,4,1,40,43,7,34,5,1,1,596,210,22,23,17,17,1,2,0.3,3,5,2,0,43,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,27,15,0,208.0,175.0,3,0,1,2,37,1,0,16,0,38.8,4.9,6.8,2023-09-23 16:30:00+00:00,90,0,6,0,4262,3.0,2,20,246,226,49,2023-09-23
6,2023-09-30,Sat,7,Home,L 1–2,Everton,Luton Town,Y,CM,45,0,0,0,0,1,0,0,0,50,2,0,0,0.1,0.1,0.0,0,0,36,43,1,35,0,1,1,533,138,20,24,14,15,1,2,0.0,0,6,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,1,0,1,9,30,11,1,184.0,78.0,0,0,1,0,38,0,0,13,0,3.1,1.5,6.6,2023-09-30 14:00:00+00:00,45,0,7,0,4448,5.0,1,93,395,302,49,2023-09-30
7,2023-11-04,Sat,11,Home,D 1–1,Everton,Brighton,Y,CM,90,0,0,0,0,0,0,1,0,22,2,0,1,0.0,0.0,0.0,1,0,11,16,0,9,1,0,0,131,21,7,10,3,4,0,1,0.0,0,1,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,3,0,0,7,13,3,0,55.0,31.0,1,0,0,0,11,1,0,3,0,0.7,0.7,5.8,2023-11-04 15:00:00+00:00,90,0,11,0,3880,0.0,1,-68,112,180,48,2023-11-04
8,2023-11-11,Sat,12,Away,W 3–2,Everton,Crystal Palace,N,CM,45,1,0,0,0,1,1,0,0,20,3,0,0,0.1,0.1,0.0,2,1,11,13,1,11,1,1,1,144,31,8,8,3,4,0,0,0.0,1,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,2,2,0,0,1,0,3,7,10,3,1,82.0,39.0,1,0,0,1,9,1,2,30,0,10.7,7.3,43.6,2023-11-11 15:00:00+00:00,45,0,12,0,3872,19.0,8,-36,100,136,48,2023-11-11
9,2023-11-26,Sun,13,Home,L 0–3,Everton,Manchester Utd,Y,CM,90,0,0,0,0,3,1,1,0,74,3,4,0,0.3,0.3,0.1,3,0,53,64,7,34,1,0,0,932,143,24,28,20,23,8,11,0.0,1,5,0,0,61,3,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,11,41,22,4,188.0,64.0,0,0,0,2,49,6,0,7,0,16.8,4.8,11.6,2023-11-26 16:30:00+00:00,90,0,13,0,4386,20.0,1,373,514,141,48,2023-11-26
