,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-07,Sun,1,Away,W 2–0,Manchester City,West Ham,Y*,LM,77,0,0,0,0,2,0,0,0,68,0,0,0,0.1,0.1,0.1,4,1,57,63,7,38,4,3,1,803,143,34,36,16,18,3,3,0.1,2,3,3,0,62,1,0,0,1,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,29,4,269.0,143.0,4,0,0,0,61,7,0,11,1,26.4,5.1,3.8,2022-08-07 15:30:00+00:00,77,0,1,0,75393,21.0,3,0,0,0,75,2022-08-07
1,2022-08-13,Sat,2,Home,W 4–0,Manchester City,Bournemouth,Y*,DM,64,1,0,0,0,2,1,0,0,47,2,0,1,0.5,0.5,0.1,2,0,34,38,4,26,2,2,0,536,72,16,17,14,15,2,2,0.1,3,2,1,0,37,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,3,1,0,1,0,0,0,1,28,18,5,79.0,34.0,0,2,1,1,35,2,2,36,1,34.2,10.2,41.6,2022-08-13 14:00:00+00:00,64,0,2,0,117603,26.0,10,9523,20981,11458,75,2022-08-13
2,2022-08-21,Sun,3,Away,D 3–3,Manchester City,Newcastle Utd,Y*,LM,90,1,0,0,0,3,1,0,0,64,1,3,1,0.3,0.3,0.2,6,1,40,49,8,32,4,2,1,550,138,26,29,11,13,2,3,0.3,4,8,2,0,49,0,0,2,0,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,4,7,30,27,11,186.0,123.0,3,1,1,1,48,6,1,35,0,50.4,17.0,50.4,2022-08-21 15:30:00+00:00,90,0,3,0,272242,69.0,8,120509,150217,29708,75,2022-08-21
3,2022-08-27,Sat,4,Home,W 4–2,Manchester City,Crystal Palace,N,DM,30,0,1,0,0,1,1,0,0,22,0,0,0,0.1,0.1,0.2,1,1,21,21,4,7,1,0,0,339,71,11,11,8,8,2,2,0.0,1,5,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,11,10,1,88.0,69.0,0,0,0,0,21,1,0,15,0,13.2,5.0,20.2,2022-08-27 14:00:00+00:00,29,0,4,0,479480,17.0,4,165820,209211,43391,76,2022-08-27
4,2022-08-31,Wed,5,Home,W 6–0,Manchester City,Nott'ham Forest,Y*,DM,90,0,0,0,0,2,0,0,0,125,2,0,1,0.0,0.0,0.6,8,3,108,117,13,70,1,2,0,1970,424,50,52,47,49,11,16,0.4,4,12,1,0,108,9,2,1,0,7,0,7,0,4,4,0,0,0,0,2,1,0,0,0,0,1,1,0,1,2,2,0,1,0,0,0,1,14,79,32,0,370.0,177.0,2,0,0,2,103,8,0,17,1,60.1,8.2,19.8,2022-08-31 18:30:00+00:00,90,0,5,0,564533,2.0,3,66350,133075,66725,76,2022-08-31
5,2022-09-03,Sat,6,Away,D 1–1,Manchester City,Aston Villa,Y*,"LM,CM",90,0,0,0,0,0,0,0,0,58,2,0,0,0.0,0.0,0.4,3,0,39,51,3,28,1,0,0,680,134,20,23,10,12,8,9,0.1,2,5,2,0,51,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,2,9,29,20,5,159.0,54.0,1,0,1,1,45,7,0,10,0,24.8,4.6,11.4,2022-09-03 16:30:00+00:00,90,0,6,0,546871,10.0,2,-29731,63984,93715,76,2022-09-03
6,2022-09-17,Sat,8,Away,W 3–0,Manchester City,Wolves,N,CM,19,0,0,0,0,0,0,0,0,16,0,1,1,0.0,0.0,0.0,0,0,10,13,2,9,0,0,0,187,43,5,6,3,3,2,3,0.0,0,0,0,0,12,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,9,4,1,42.0,8.0,0,0,0,0,11,2,0,3,0,4.5,0.8,1.8,2022-09-17 11:30:00+00:00,18,0,8,0,519629,2.0,1,4016,42129,38113,76,2022-09-17
7,2022-10-02,Sun,9,Home,W 6–3,Manchester City,Manchester Utd,Y*,CM,74,0,0,0,0,2,0,0,0,39,1,1,1,0.2,0.2,0.0,1,0,30,32,3,24,2,0,0,534,112,13,13,13,13,3,4,0.0,0,4,0,0,32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,10,21,8,1,124.0,55.0,0,0,2,0,27,1,0,15,0,1.4,2.2,9.2,2022-10-02 13:00:00+00:00,74,0,9,0,426108,11.0,2,-92697,8587,101284,76,2022-10-02
8,2022-10-16,Sun,11,Away,L 0–1,Manchester City,Liverpool,Y*,"AM,CM",88,0,0,0,0,4,2,0,0,82,1,1,0,0.2,0.2,0.3,9,0,62,70,12,42,8,4,1,1054,287,24,28,29,32,6,6,0.2,3,6,3,0,66,4,1,0,0,2,0,3,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,13,44,26,3,272.0,156.0,2,1,1,2,61,6,0,13,0,44.3,11.6,17.8,2022-10-16 15:30:00+00:00,88,0,11,0,290205,54.0,2,-62572,2038,64610,74,2022-10-16
9,2022-10-29,Sat,14,Away,W 1–0,Manchester City,Leicester City,Y*,LM,90,0,0,0,0,1,1,0,0,40,0,1,1,0.1,0.1,0.1,3,0,32,35,2,14,1,1,0,391,49,21,22,9,10,0,0,0.0,2,2,0,0,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,16,20,1,113.0,72.0,0,0,1,0,34,1,0,14,1,28.0,5.3,8.4,2022-10-29 11:30:00+00:00,90,0,14,0,239203,17.0,3,-20198,2905,23103,73,2022-10-29
