,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-10-20,Sat,9,Home,W 4–2,Cardiff City,Fulham,Y,CM,76,0,0,0,0,0,0,1,0,55,3,0,1,0.0,0.0,0.0,3,0,25,49,5,16,1,1,1,466,130,9,14,13,17,2,16,0.0,0,2,1,1,42,7,0,1,0,2,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,1,2,0,0,7,35,15,1,95.0,40.0,1,0,0,0,25,2,0,9,0,10.5,2.2,9.8,2018-10-20 14:00:00+00:00,76,0,9,0,22975,2.0,1,-1610,201,1811,44,2018-10-20
1,2018-10-27,Sat,10,Away,L 1–4,Cardiff City,Liverpool,Y,CM,72,0,0,0,0,0,0,0,0,34,2,0,1,0.0,0.0,0.0,0,0,19,27,1,8,0,2,2,208,75,13,15,1,3,1,4,0.0,0,1,0,0,23,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,5,0,6,14,12,9,0,46.0,26.0,1,0,0,1,11,1,0,9,0,1.3,2.0,18.2,2018-10-27 14:00:00+00:00,72,0,10,0,22282,0.0,2,-741,214,955,44,2018-10-27
2,2018-11-03,Sat,11,Home,L 0–1,Cardiff City,Leicester City,Y,CM,90,0,0,0,0,0,0,0,0,52,0,3,2,0.0,0.0,0.0,2,0,21,40,3,16,0,0,0,429,161,5,8,12,17,3,12,0.0,0,2,0,0,33,7,0,0,1,2,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,10,28,14,0,75.0,49.0,1,0,2,0,18,0,0,10,0,1.3,1.5,14.0,2018-11-03 15:00:00+00:00,90,0,11,0,22143,0.0,2,-223,559,782,44,2018-11-03
3,2018-11-10,Sat,12,Home,W 2–1,Cardiff City,Brighton,Y,"DM,CM",90,0,0,0,0,1,0,0,0,78,1,1,1,0.0,0.0,0.1,3,0,55,69,8,39,6,0,0,994,247,17,19,35,37,2,12,0.0,3,5,1,0,58,11,0,0,1,1,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,1,1,0,0,8,50,21,2,223.0,162.0,2,0,2,0,42,0,0,19,0,33.2,6.0,14.8,2018-11-10 12:30:00+00:00,90,0,12,0,22263,12.0,2,44,670,626,44,2018-11-10
4,2018-11-24,Sat,13,Away,L 0–1,Cardiff City,Everton,Y,"DM,CM",90,0,0,0,0,0,0,0,0,42,1,1,2,0.0,0.0,0.1,3,0,18,30,3,7,0,0,0,358,210,6,11,9,13,3,4,0.1,2,2,0,0,19,11,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,2,2,0,2,13,19,10,0,26.0,11.0,0,0,1,1,8,1,0,8,0,20.8,3.2,10.8,2018-11-24 15:00:00+00:00,90,0,13,0,22302,0.0,2,-43,708,751,44,2018-11-24
5,2018-11-30,Fri,14,Home,W 2–1,Cardiff City,Wolves,Y,DM,90,1,0,0,0,3,1,0,0,67,2,0,2,0.4,0.4,0.0,1,0,33,54,5,16,1,1,1,601,159,14,19,18,25,1,8,0.0,0,5,1,0,41,12,0,0,0,2,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,2,0,2,2,0,2,6,44,17,2,76.0,53.0,0,0,1,0,26,0,3,27,0,1.8,8.0,41.6,2018-11-30 20:00:00+00:00,90,0,14,0,22684,37.0,10,332,799,467,44,2018-11-30
6,2018-12-04,Tue,15,Away,L 1–3,Cardiff City,West Ham,Y,"DM,CM",90,0,0,0,0,1,0,0,0,53,1,3,3,0.0,0.0,0.0,2,0,26,40,7,19,0,1,1,441,203,13,17,10,17,3,5,0.0,0,4,0,0,37,3,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,3,3,0,4,12,26,16,0,108.0,41.0,3,0,0,0,25,0,0,11,0,2.7,1.4,10.0,2018-12-04 19:45:00+00:00,90,0,15,0,41012,1.0,2,16935,18529,1594,44,2018-12-04
7,2018-12-08,Sat,16,Home,W 1–0,Cardiff City,Southampton,Y,DM,90,0,0,0,0,0,0,0,0,35,2,2,3,0.0,0.0,0.0,1,0,20,25,3,3,0,1,1,380,202,9,9,7,10,4,6,0.0,0,2,1,0,16,9,2,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,2,0,4,11,17,7,0,13.0,11.0,1,0,0,0,7,0,0,10,1,1.3,1.7,16.0,2018-12-08 15:00:00+00:00,90,0,16,0,47886,0.0,3,6764,9400,2636,44,2018-12-08
8,2018-12-15,Sat,17,Away,L 2–3,Cardiff City,Watford,Y,DM,77,0,0,0,0,0,0,0,0,37,0,2,0,0.0,0.0,0.0,2,0,21,32,4,6,0,0,0,404,180,8,12,8,11,4,6,0.0,0,3,0,0,29,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,8,21,8,1,21.0,1.0,0,0,0,0,10,0,0,9,0,1.1,0.7,3.4,2018-12-15 15:00:00+00:00,77,0,17,0,50963,2.0,2,3117,6766,3649,44,2018-12-15
9,2018-12-22,Sat,18,Home,L 1–5,Cardiff City,Manchester Utd,Y,"DM,CM",82,0,0,0,0,0,0,1,0,44,2,1,1,0.0,0.0,0.0,1,0,22,37,2,16,0,0,0,436,134,6,7,13,21,3,8,0.0,0,4,0,0,28,8,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,3,1,0,1,1,0,1,9,22,13,0,74.0,37.0,0,0,2,0,18,0,0,1,0,1.8,0.2,0.6,2018-12-22 17:30:00+00:00,82,0,18,0,50617,0.0,1,-286,3575,3861,44,2018-12-22
