,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-11,Fri,1,Away,W 3–0,Manchester City,Burnley,Y,FW,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,1,15,1,0,0,98,24,6,6,2,2,0,1,0.1,2,0,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,11,5,59.0,34.0,2,0,1,2,16,3,3,56,1,23.7,13.9,67.6,2023-08-11 19:00:00+00:00,79,0,1,0,7200159,48.0,13,0,0,0,140,2023-08-11
1,2023-08-19,Sat,2,Home,W 1–0,Manchester City,Newcastle Utd,Y,FW,90,0,0,0,0,4,2,0,0,22,0,1,1,0.4,0.4,0.1,2,0,6,11,1,15,3,1,0,73,16,4,6,2,2,0,0,0.0,1,0,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,14,6,86.0,49.0,1,3,3,1,20,5,0,1,1,11.8,6.3,3.2,2023-08-19 19:00:00+00:00,90,0,2,0,8231668,48.0,2,132944,161773,28829,140,2023-08-19
2,2023-08-27,Sun,3,Away,W 2–1,Manchester City,Sheffield Utd,Y,FW,90,1,0,0,1,7,3,0,0,23,0,0,0,2.1,1.3,0.1,2,1,6,11,0,15,0,1,1,46,6,5,7,0,0,0,0,0.0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,11,15.0,4.0,0,0,3,0,19,3,0,14,0,12.9,14.4,34.2,2023-08-27 13:00:00+00:00,90,0,3,0,8571562,97.0,4,64397,91189,26792,140,2023-08-27
3,2023-09-02,Sat,4,Home,W 5–1,Manchester City,Fulham,Y,FW,90,3,1,1,1,3,2,0,0,17,0,0,0,1.6,0.8,0.7,2,1,4,6,1,9,0,1,0,49,29,2,2,1,2,0,0,0.1,2,0,1,0,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,6,9,4,27.0,11.0,0,0,2,0,10,3,3,90,0,23.4,19.8,119.4,2023-09-02 14:00:00+00:00,90,0,4,0,8787213,55.0,20,27163,53175,26012,140,2023-09-02
4,2023-09-16,Sat,5,Away,W 3–1,Manchester City,West Ham,Y,FW,89,1,0,0,0,9,4,0,0,22,0,0,0,2.5,2.5,0.0,2,0,9,13,0,17,0,0,0,108,6,7,8,1,2,1,1,0.0,1,0,0,0,12,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,11,34.0,10.0,0,0,0,0,18,10,0,15,0,14.5,17.4,41.2,2023-09-16 14:00:00+00:00,90,0,5,0,9070132,118.0,6,88573,102747,14174,141,2023-09-16
5,2023-09-23,Sat,6,Home,W 2–0,Manchester City,Nott'ham Forest,Y,FW,90,1,0,0,0,2,1,0,0,24,0,0,3,0.7,0.7,0.0,2,0,9,15,0,16,0,0,0,83,15,6,11,1,2,0,0,0.0,0,0,0,0,15,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,4,18,3,46.0,13.0,1,0,2,1,20,3,0,24,1,3.3,5.9,32.4,2023-09-23 14:00:00+00:00,90,0,6,0,9176859,23.0,6,39924,50069,10145,141,2023-09-23
6,2023-09-30,Sat,7,Away,L 1–2,Manchester City,Wolves,Y,FW,90,0,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.1,1,0,10,12,1,3,0,2,1,152,2,3,3,4,4,1,1,0.1,1,0,1,0,9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,22.0,2.0,0,0,0,0,11,5,0,7,0,12.6,4.6,6.0,2023-09-30 14:00:00+00:00,90,0,7,0,9241818,27.0,2,3265,28710,25445,141,2023-09-30
7,2023-10-08,Sun,8,Away,L 0–1,Manchester City,Arsenal,Y,FW,90,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.3,2,0,11,16,1,9,1,1,1,113,26,8,11,2,2,0,0,0.2,2,2,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,9,10,3,35.0,22.0,0,0,2,1,14,0,0,11,0,21.8,3.8,7.8,2023-10-08 15:30:00+00:00,90,0,8,0,9008161,8.0,2,-236407,28394,264801,141,2023-10-08
8,2023-10-21,Sat,9,Home,W 2–1,Manchester City,Brighton,Y,FW,90,1,0,0,0,2,2,0,0,21,1,0,1,0.3,0.3,0.0,0,0,11,12,1,14,2,0,0,169,33,6,6,4,4,1,1,0.0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,3,10,8,1,97.0,39.0,0,2,1,1,14,3,2,33,0,0.9,6.6,38.6,2023-10-21 14:00:00+00:00,90,0,9,0,8880074,26.0,8,-195755,40373,236128,140,2023-10-21
9,2023-10-29,Sun,10,Away,W 3–0,Manchester City,Manchester Utd,Y,FW,90,2,1,1,1,4,3,0,0,20,0,0,0,2.0,1.2,1.0,1,1,7,10,1,9,0,0,0,74,13,5,7,1,1,0,1,0.5,1,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,14,5,25.0,3.0,0,0,2,1,13,5,3,63,1,12.8,20.8,89.2,2023-10-29 15:30:00+00:00,90,0,10,0,8540943,106.0,16,-351614,27851,379465,140,2023-10-29
