,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-12,Sat,1,Home,L 0–2,West Ham,Newcastle Utd,N,FW,24,0,0,0,0,2,1,0,0,11,0,0,0,0.2,0.2,0.3,2,0,6,9,0,6,0,0,0,95,10,3,4,1,2,1,1,0.6,1,0,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,4,27.0,1.0,0,0,0,0,6,1,0,2,0,10.7,4.1,2.4,2020-09-12 19:00:00+00:00,23,0,1,0,35853,28.0,1,0,0,0,65,2020-09-12
1,2020-09-19,Sat,2,Away,L 1–2,West Ham,Arsenal,N,FW,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,0,1,0,0,0,32,3,1,1,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7.0,0.0,0,0,0,0,2,1,0,1,0,0.3,0.0,0.0,2020-09-19 19:00:00+00:00,2,0,2,0,30340,0.0,1,-9427,1584,11011,64,2020-09-19
2,2020-09-27,Sun,3,Home,W 4–0,West Ham,Wolves,N,FW,3,1,0,0,0,1,1,0,0,8,0,0,1,0.1,0.1,0.0,0,0,3,5,0,7,0,0,0,66,0,1,2,1,1,1,1,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,1,21.0,11.0,0,0,1,0,7,2,0,27,0,0.3,5.0,33.0,2020-09-27 18:00:00+00:00,2,0,3,0,23710,17.0,5,-8309,953,9262,63,2020-09-27
3,2020-10-04,Sun,4,Away,W 3–0,West Ham,Leicester City,N,FW,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,0,0,0,0,0,18,1,2,2,0,1,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0.0,0.0,0,0,1,0,2,0,0,3,0,0.3,0.0,0.0,2020-10-04 11:00:00+00:00,2,0,4,0,22871,0.0,1,-2458,1474,3932,63,2020-10-04
4,2020-10-24,Sat,6,Home,D 1–1,West Ham,Manchester City,N,FW,22,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,7,0,3,0,0,0,49,22,2,4,2,3,0,0,0.0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,3,4,1,5.0,0.0,0,0,1,0,6,1,0,2,0,0.1,0.4,1.4,2020-10-24 11:30:00+00:00,21,0,6,0,18315,2.0,1,-2667,276,2943,62,2020-10-24
5,2020-10-31,Sat,7,Away,L 1–2,West Ham,Liverpool,Y,FW,73,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,2,0,5,10,2,3,0,0,0,82,30,2,5,1,2,1,1,0.0,0,3,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,10,4,0,7.0,2.0,0,0,5,0,12,2,0,5,0,1.5,0.5,3.4,2020-10-31 17:30:00+00:00,73,0,7,0,18536,0.0,2,-332,1169,1501,61,2020-10-31
6,2020-11-07,Sat,8,Home,W 1–0,West Ham,Fulham,Y,FW,90,0,0,0,0,3,1,0,0,20,2,0,0,0.3,0.3,0.0,0,0,6,10,0,5,0,0,0,56,5,5,8,1,2,0,0,0.0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,2,4,6,11,4,8.0,0.0,0,0,3,0,16,4,0,4,1,11.8,5.0,8.2,2020-11-07 20:00:00+00:00,90,0,8,0,26993,30.0,2,6855,8740,1885,61,2020-11-07
7,2020-11-22,Sun,9,Away,W 1–0,West Ham,Sheffield Utd,Y,FW,90,1,0,0,0,4,2,0,0,51,1,0,1,1.0,1.0,0.7,3,0,22,34,7,26,1,3,3,303,117,16,21,4,5,1,3,0.2,3,4,2,0,34,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,3,0,1,0,0,0,2,25,25,8,96.0,23.0,1,0,6,2,40,6,3,36,1,33.2,15.5,46.6,2020-11-22 14:00:00+00:00,90,0,9,0,24166,75.0,9,-2652,2075,4727,61,2020-11-22
8,2020-11-30,Mon,10,Home,W 2–1,West Ham,Aston Villa,N,FW,45,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,5,15,0,8,0,2,2,97,44,3,7,0,3,2,3,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,4,0,0,0,0,2,2,20,0,0,18.0,11.0,0,0,3,0,14,1,0,2,0,1.2,0.2,0.4,2020-11-30 20:00:00+00:00,45,0,10,0,27820,0.0,1,2544,4602,2058,61,2020-11-30
9,2020-12-05,Sat,11,Home,L 1–3,West Ham,Manchester Utd,Y,FW,90,0,0,0,0,3,0,0,0,36,2,0,0,0.2,0.2,0.2,6,0,15,25,2,15,1,4,3,240,77,8,14,3,4,3,3,0.2,3,2,2,1,24,1,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,2,19,15,6,106.0,42.0,0,1,3,2,29,5,0,6,0,35.6,8.0,10.2,2020-12-05 17:30:00+00:00,90,0,11,0,27765,34.0,2,-191,4022,4213,61,2020-12-05
