,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,"LM,FW",90,0,0,0,0,2,0,0,0,65,1,1,1,0.1,0.1,0.2,3,0,47,54,4,54,3,1,0,683,114,28,31,16,18,2,2,0.2,2,2,1,0,51,2,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,3,34,29,4,244.0,119.0,2,0,1,1,58,10,0,11,0,30.3,5.5,9.4,2023-08-12 12:00:00+00:00,90,0,1,0,407159,15.0,2,0,0,0,75,2023-08-12
1,2023-08-21,Mon,2,Away,W 1–0,Arsenal,Crystal Palace,Y,"LM,FW,CM",90,0,0,0,0,1,0,1,0,38,1,1,1,0.0,0.0,0.1,2,0,25,28,4,17,0,2,0,348,53,17,18,6,6,1,2,0.0,1,3,2,0,27,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,4,17,18,2,82.0,26.0,0,0,1,0,25,1,0,-1,1,13.8,1.9,0.0,2023-08-21 19:00:00+00:00,90,0,2,0,377081,6.0,2,-63530,8492,72022,75,2023-08-21
2,2023-08-26,Sat,3,Home,D 2–2,Arsenal,Fulham,Y,LM,55,0,0,0,0,1,0,0,0,27,2,0,0,0.3,0.3,0.3,2,0,20,23,5,9,1,0,0,264,67,12,14,7,8,0,0,0.4,2,4,1,0,23,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,12,14,4,66.0,43.0,0,0,1,0,20,4,0,2,0,23.6,4.2,5.4,2023-08-26 14:00:00+00:00,55,0,3,0,308042,13.0,1,-76821,5577,82398,74,2023-08-26
3,2023-09-03,Sun,4,Home,W 3–1,Arsenal,Manchester Utd,Y,LM,76,0,0,0,0,2,0,0,0,34,2,0,1,0.4,0.4,0.0,1,0,22,25,2,18,1,0,0,285,78,17,19,5,6,0,0,0.0,1,2,1,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,1,0,1,0,2,7,15,12,7,37.0,17.0,1,1,2,0,24,2,0,5,0,12.3,4.1,7.8,2023-09-03 15:30:00+00:00,76,0,4,0,228041,21.0,2,-84114,1637,85751,73,2023-09-03
4,2023-09-17,Sun,5,Away,W 1–0,Arsenal,Everton,N,LM,11,0,0,0,0,0,0,0,0,9,1,0,2,0.0,0.0,0.0,0,0,5,6,1,4,1,0,0,37,7,4,4,0,1,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,3,3,3,1,14.0,10.0,1,0,0,1,3,1,0,4,0,0.3,0.5,2.4,2023-09-17 15:30:00+00:00,10,0,5,0,197269,2.0,1,-36089,2545,38634,72,2023-09-17
5,2023-09-24,Sun,6,Home,D 2–2,Arsenal,Tottenham,N,LM,45,0,0,0,0,1,0,1,0,19,2,1,0,0.1,0.1,0.0,0,0,11,14,2,12,0,2,1,166,42,7,9,3,4,1,1,0.0,0,2,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,1,0,0,1,0,1,3,6,10,1,54.0,23.0,0,1,1,0,14,2,0,-1,0,1.7,1.0,5.2,2023-09-24 13:00:00+00:00,45,0,6,0,180502,3.0,0,-18641,1928,20569,72,2023-09-24
6,2023-09-30,Sat,7,Away,W 4–0,Arsenal,Bournemouth,Y,LM,80,1,0,1,1,1,0,1,0,36,4,0,2,0.8,0.1,0.0,1,0,19,24,3,21,2,0,0,196,68,16,18,2,3,0,0,0.0,0,2,1,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,3,0,0,2,1,0,3,8,17,11,4,118.0,69.0,2,0,1,2,25,5,0,18,1,3.5,6.9,39.6,2023-09-30 14:00:00+00:00,80,0,7,0,170271,26.0,7,-11888,4545,16433,71,2023-09-30
7,2023-10-08,Sun,8,Home,W 1–0,Arsenal,Manchester City,N,FW,16,0,1,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,1,7,8,0,4,0,0,0,80,7,5,5,1,1,0,0,0.0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,8,3,20.0,0.0,0,0,0,1,8,1,0,12,0,11.4,3.5,17.2,2023-10-08 15:30:00+00:00,15,0,8,0,167477,6.0,4,-4475,3258,7733,71,2023-10-08
8,2023-10-21,Sat,9,Away,D 2–2,Arsenal,Chelsea,N,RM,13,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,1,7,13,1,5,0,0,0,57,19,6,10,0,2,0,0,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,3.0,1.0,0,0,0,0,12,1,0,2,0,0.8,0.1,0.0,2023-10-21 16:30:00+00:00,12,0,9,0,165616,0.0,1,-3441,2375,5816,71,2023-10-21
9,2023-10-28,Sat,10,Home,W 5–0,Arsenal,Sheffield Utd,Y,RM,90,0,0,0,0,1,0,0,0,44,0,2,1,0.2,0.2,0.1,2,0,32,36,3,25,1,1,0,417,110,20,21,10,11,0,0,0.0,1,1,1,0,36,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,19,22,2,69.0,43.0,2,0,2,1,33,8,0,7,1,16.3,3.0,4.2,2023-10-28 14:00:00+00:00,90,0,10,0,160775,9.0,3,-5493,1292,6785,71,2023-10-28
10,2023-11-04,Sat,11,Away,L 0–1,Arsenal,Newcastle Utd,Y,"RM,LM",90,0,0,0,0,1,0,1,0,46,3,0,1,0.1,0.1,0.0,0,0,23,34,6,26,2,1,0,317,108,14,19,9,13,0,1,0.1,0,3,1,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,0,1,0,0,0,1,20,25,10,106.0,79.0,1,0,3,1,30,7,0,5,0,3.3,3.2,5.2,2023-11-04 17:30:00+00:00,90,0,11,0,156522,23.0,1,-4952,869,5821,71,2023-11-04
