,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 5–1,Newcastle Utd,Aston Villa,N,LW,23,1,1,0,0,1,1,0,0,15,0,0,0,0.5,0.5,0.9,2,1,8,12,1,16,3,1,0,111,44,5,5,3,6,0,0,0.5,2,0,1,0,12,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,3,110.0,83.0,0,3,1,1,15,4,2,36,0,21.3,9.5,52.8,2023-08-12 16:30:00+00:00,22,0,1,0,207578,21.0,11,0,0,0,65,2023-08-12
1,2023-08-19,Sat,2,Away,L 0–1,Newcastle Utd,Manchester City,N,LW,35,0,0,0,0,1,1,1,0,15,0,0,0,0.0,0.0,0.0,1,0,13,14,1,10,1,0,0,139,22,10,11,2,2,0,0,0.0,0,0,1,0,13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,0,48.0,29.0,0,0,0,0,13,0,0,-1,0,1.7,1.0,1.2,2023-08-19 19:00:00+00:00,34,0,2,0,441048,7.0,0,107820,133992,26172,65,2023-08-19
2,2023-08-27,Sun,3,Home,L 1–2,Newcastle Utd,Liverpool,N,LW,19,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,1,0,6,9,1,8,2,0,0,68,0,5,6,1,1,0,0,0.0,0,0,1,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,74.0,60.0,0,2,1,0,7,3,0,3,0,1.1,0.8,0.0,2023-08-27 15:30:00+00:00,18,0,3,0,381616,7.0,1,-65367,30138,95505,65,2023-08-27
3,2023-09-02,Sat,4,Away,L 1–3,Newcastle Utd,Brighton,N,LW,17,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,0,3,1,1,0,16,0,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,17.0,13.0,0,1,0,0,4,1,0,3,0,1.1,0.6,0.0,2023-09-02 16:30:00+00:00,16,0,4,0,311262,5.0,1,-74595,7509,82104,65,2023-09-02
4,2023-09-16,Sat,5,Home,W 1–0,Newcastle Utd,Brentford,Y,LW,82,0,0,0,0,2,0,0,0,37,1,1,0,0.1,0.1,0.0,2,0,20,30,0,24,8,4,3,239,26,13,15,6,9,0,3,0.0,0,1,0,0,29,1,1,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,10,24,5,198.0,137.0,2,2,0,3,24,6,0,4,1,4.1,2.1,3.6,2023-09-16 16:30:00+00:00,82,0,5,0,258181,13.0,3,-57320,7952,65272,64,2023-09-16
5,2023-09-24,Sun,6,Away,W 8–0,Newcastle Utd,Sheffield Utd,Y,LW,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,2,2,0,0,0,71,28,1,1,2,2,1,1,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3.0,0.0,0,0,0,0,4,2,0,3,0,0.6,0.0,0.0,2023-09-24 15:30:00+00:00,11,0,6,0,251593,0.0,1,-9268,14975,24243,64,2023-09-24
6,2024-02-03,Sat,23,Home,D 4–4,Newcastle Utd,Luton Town,N,LW,28,1,0,0,0,3,2,0,0,15,0,0,0,0.3,0.3,0.0,2,1,10,11,1,10,0,1,1,144,28,7,7,3,3,0,0,0.1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,10,3,24.0,11.0,1,0,0,0,11,4,0,22,0,2.2,7.1,37.8,2024-02-03 15:00:00+00:00,27,0,23,0,100532,31.0,6,-85,155,240,62,2024-02-03
7,2024-02-10,Sat,24,Away,W 3–2,Newcastle Utd,Nott'ham Forest,N,"LW,LM",31,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,9,13,1,15,3,2,0,146,31,5,5,4,6,0,2,0.0,0,1,0,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,9,1,127.0,45.0,3,1,0,1,14,4,0,0,0,1.0,0.5,2.4,2024-02-10 17:30:00+00:00,30,0,24,0,113457,2.0,1,12437,13717,1280,62,2024-02-10
8,2024-02-17,Sat,25,Home,D 2–2,Newcastle Utd,Bournemouth,Y,LW,66,0,0,0,0,2,0,0,0,30,2,1,0,0.1,0.1,0.0,0,0,14,16,3,18,3,5,0,233,107,9,10,4,4,1,1,0.1,0,1,1,0,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6,11,13,5,131.0,85.0,2,2,2,1,17,5,0,2,0,4.7,1.9,0.4,2024-02-17 15:00:00+00:00,66,0,25,0,111658,14.0,2,-1433,3107,4540,62,2024-02-17
9,2024-02-24,Sat,26,Away,L 1–4,Newcastle Utd,Arsenal,N,LW,27,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,11,3,9,3,0,0,102,40,4,4,3,3,0,1,0.0,0,1,2,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,110.0,98.0,1,1,0,0,10,5,0,3,0,1.2,0.4,0.6,2024-02-24 20:00:00+00:00,26,0,26,0,109890,2.0,1,-2223,1207,3430,62,2024-02-24
10,2024-03-02,Sat,27,Home,W 3–0,Newcastle Utd,Wolves,N,"LW,FW",21,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,1,0,7,9,0,9,2,0,0,107,5,4,6,3,3,0,0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,2,71.0,52.0,0,1,0,1,10,4,0,2,0,1.1,0.8,0.4,2024-03-02 15:00:00+00:00,20,0,27,0,108301,6.0,1,-1929,787,2716,62,2024-03-02
11,2024-03-30,Sat,30,Home,W 4–3,Newcastle Utd,West Ham,N,LW,24,2,0,0,0,4,4,0,0,13,0,0,0,1.0,1.0,0.0,3,1,6,7,2,9,1,1,1,119,44,2,2,4,4,0,0,0.0,1,1,1,0,6,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,4,48.0,28.0,0,1,1,0,8,4,1,40,0,10.6,14.5,74.4,2024-03-30 12:30:00+00:00,23,0,30,0,103920,60.0,12,-1383,65,1448,62,2024-03-30
12,2024-04-02,Tue,31,Home,D 1–1,Newcastle Utd,Everton,Y,LW,90,0,1,0,0,3,1,0,0,43,1,0,0,0.4,0.4,1.3,6,1,27,32,4,25,5,3,1,381,99,19,22,7,7,1,2,0.6,4,2,1,0,32,0,0,0,1,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,17,23,13,211.0,107.0,2,4,1,3,32,9,0,22,0,44.6,12.3,28.6,2024-04-02 18:30:00+00:00,90,0,31,0,147811,50.0,5,42768,44764,1996,62,2024-04-02
13,2024-04-06,Sat,32,Away,W 1–0,Newcastle Utd,Fulham,N,LW,26,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,9,2,9,3,0,0,58,18,4,4,1,5,0,0,0.0,0,1,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,87.0,73.0,1,1,1,0,9,4,0,3,0,1.1,0.6,0.4,2024-04-06 14:00:00+00:00,25,0,32,0,153371,4.0,1,5581,14248,8667,62,2024-04-06
14,2024-04-13,Sat,33,Home,W 4–0,Newcastle Utd,Tottenham,Y,LW,87,0,0,0,0,2,0,0,0,21,0,0,0,0.1,0.1,0.3,3,0,10,17,5,17,2,2,0,168,86,4,8,5,6,1,2,0.2,3,0,5,1,17,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,15,6,110.0,61.0,1,1,0,1,20,5,0,13,1,36.6,6.0,6.0,2024-04-13 11:30:00+00:00,87,0,33,0,146031,17.0,3,-7514,6965,14479,62,2024-04-13
15,2024-04-24,Wed,29,Away,L 0–2,Newcastle Utd,Crystal Palace,Y,AM,64,0,0,0,0,1,0,0,0,22,0,1,0,0.0,0.0,0.0,0,0,9,14,1,18,0,3,0,106,20,8,10,0,1,1,1,0.0,0,0,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10,10,1,64.0,18.0,0,0,2,1,17,4,0,1,0,2.2,0.8,0.4,2024-04-24 19:00:00+00:00,64,0,34,0,136780,5.0,2,-8117,4913,13030,62,2024-04-24
16,2024-04-27,Sat,35,Home,W 5–1,Newcastle Utd,Sheffield Utd,N,LM,25,0,1,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.6,2,1,13,14,0,13,1,0,0,182,21,7,8,6,6,0,0,0.1,2,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,8,5,2,97.0,44.0,2,1,0,0,14,2,0,17,0,21.4,4.7,21.4,2024-04-27 14:00:00+00:00,24,0,35,0,138565,4.0,4,-22,6470,6492,62,2024-04-27
17,2024-05-04,Sat,36,Away,W 4–1,Newcastle Utd,Burnley,N,LM,22,0,0,0,0,2,1,0,0,14,0,0,0,0.2,0.2,0.1,1,0,11,12,1,10,1,0,0,139,18,8,9,2,2,0,0,0.1,1,0,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,57.0,24.0,0,1,0,1,14,2,0,6,0,11.9,4.1,5.4,2024-05-04 14:00:00+00:00,21,0,36,0,136192,24.0,1,-2440,2721,5161,62,2024-05-04
18,2024-05-11,Sat,37,Home,D 1–1,Newcastle Utd,Brighton,N,FW,23,0,0,0,0,2,1,1,0,10,0,1,0,0.2,0.2,0.0,0,0,2,4,0,6,1,1,0,34,0,1,1,1,1,0,0,0.0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,8,2,35.0,14.0,1,0,1,1,7,4,0,-3,0,0.3,2.5,2.0,2024-05-11 14:00:00+00:00,22,0,37,0,132093,23.0,0,-4187,3086,7273,62,2024-05-11
