,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-12,Sat,1,Home,L 0–2,Brighton,Manchester City,Y,FW,59,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,5,15,0,8,1,0,0,69,20,2,7,3,7,0,0,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,0,42.0,14.0,1,0,1,4,16,1,0,0,0,0.5,0.0,0.0,2017-08-12 16:30:00+00:00,59,0,1,0,12807,0.0,1,0,0,0,50,2017-08-12
1,2017-08-19,Sat,2,Away,L 0–2,Brighton,Leicester City,N,FW,25,0,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,0,1,0,0,0,42,0,1,2,2,2,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0,4.0,0.0,0,0,0,0,4,3,0,2,0,1.3,1.3,5.0,2017-08-19 14:00:00+00:00,24,0,2,0,13005,7.0,1,-1464,816,2280,50,2017-08-19
2,2017-08-26,Sat,3,Away,D 0–0,Brighton,Watford,Y,FW,90,0,0,0,0,2,0,0,0,22,0,1,0,0.2,0.2,0.0,1,0,7,14,0,13,0,0,0,96,12,5,6,1,4,1,1,0.0,0,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,41.0,5.0,0,0,2,1,16,4,0,1,1,0.7,3.0,1.4,2017-08-26 14:00:00+00:00,90,0,3,0,11571,28.0,2,-1900,559,2459,50,2017-08-26
3,2017-09-09,Sat,4,Home,W 3–1,Brighton,West Brom,Y,FW,82,1,1,0,0,1,1,0,0,25,0,1,0,0.1,0.1,0.0,1,1,13,21,0,14,0,2,1,174,6,9,14,4,6,0,0,0.0,1,1,0,0,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12,13,1,36.0,15.0,1,0,0,0,19,6,2,41,0,17.0,8.6,52.2,2017-09-09 14:00:00+00:00,82,0,4,0,11015,17.0,11,-1230,1038,2268,49,2017-09-09
4,2017-09-15,Fri,5,Away,L 1–2,Brighton,Bournemouth,Y,FW,90,0,0,0,0,0,0,0,0,36,1,0,1,0.0,0.0,0.0,0,0,18,28,1,23,1,7,2,203,24,11,17,6,8,0,1,0.0,0,1,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,3,23,11,2,100.0,22.0,1,1,0,1,29,5,0,2,0,1.6,0.7,1.6,2017-09-15 19:00:00+00:00,90,0,5,0,71869,4.0,2,55635,66409,10774,49,2017-09-15
5,2017-09-24,Sun,6,Home,W 1–0,Brighton,Newcastle Utd,Y,FW,90,1,0,0,0,3,2,0,0,43,1,0,0,0.5,0.5,0.0,0,0,19,30,4,19,1,1,1,243,62,14,18,5,9,0,0,0.0,0,1,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,4,0,3,7,21,15,4,89.0,26.0,0,0,4,2,29,6,3,35,1,3.2,10.1,50.2,2017-09-24 15:00:00+00:00,90,0,6,0,139301,48.0,9,61394,82064,20670,49,2017-09-24
6,2017-11-04,Sat,11,Away,W 1–0,Brighton,Swansea City,N,FW,12,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,4,7,1,4,0,0,0,55,7,3,5,1,2,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,6,2,0,18.0,0.0,0,0,0,2,6,0,0,0,0,0.2,0.2,2.2,2017-11-04 15:00:00+00:00,11,0,11,0,86767,0.0,1,-8558,2080,10638,50,2017-11-04
7,2017-11-25,Sat,13,Away,L 0–1,Brighton,Manchester Utd,N,FW,17,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,0,3,0,0,0,51,0,2,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,13.0,4.0,0,0,1,0,5,3,0,2,0,0.6,0.0,0.0,2017-11-25 15:00:00+00:00,16,0,13,0,75956,0.0,1,-5088,3529,8617,49,2017-11-25
8,2017-11-28,Tue,14,Home,D 0–0,Brighton,Crystal Palace,N,FW,6,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,0,2,0,0,0,6,0,1,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,7.0,0.0,0,0,1,0,3,1,0,2,0,0.3,0.0,0.0,2017-11-28 19:45:00+00:00,5,0,14,0,78499,0.0,1,2221,6754,4533,49,2017-11-28
9,2017-12-09,Sat,16,Away,L 0–2,Brighton,Huddersfield,N,FW,18,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,3,6,0,6,0,0,0,21,0,2,4,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,3,0,29.0,6.0,0,0,0,0,8,4,0,2,0,0.3,0.2,1.2,2017-12-09 15:00:00+00:00,17,0,16,0,71161,0.0,1,-4185,2645,6830,48,2017-12-09
