,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2019-01-30,Wed,24,Away,L 0–4,Chelsea,Bournemouth,Y,FW,64,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,17,22,2,25,0,1,1,220,33,11,12,3,4,1,1,0.1,0,2,1,0,22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,18,1,79.0,29.0,1,0,1,0,24,7,23,0,0,0,5,0,1,18,8.7,1,0,0,0,0,1.4,13263,3.0,0,2019-01-30 19:45:00+00:00,30 Jan 19:45,0,0,64,2,0,0,0,1,24,0,84062,0,0,0,2.0,2,81312,86908,5596,95,0,2019-01-30
1,2019-02-02,Sat,25,Home,W 5–0,Chelsea,Huddersfield,Y,FW,90,2,0,0,0,6,2,0,0,59,1,0,1,0.7,0.7,0.1,3,0,31,44,3,32,1,5,2,395,76,18,25,8,10,1,1,0.1,2,0,0,0,44,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,0,0,1,4,15,40,10,157.0,31.0,2,1,1,3,53,11,44,0,0,3,58,1,0,31,33.2,2,0,0,0,1,19.8,13903,73.2,2,2019-02-02 15:00:00+00:00,02 Feb 15:00,0,0,90,0,0,0,0,5,25,0,112523,6,1,1,92.0,13,25305,40699,15394,95,1,2019-02-02
2,2019-02-10,Sun,26,Away,L 0–6,Chelsea,Manchester City,Y,FW,90,0,0,0,0,4,1,0,0,25,0,0,0,0.2,0.2,0.3,3,0,16,18,1,16,0,3,1,205,32,9,10,5,5,0,0,0.2,1,0,1,0,15,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,17,3,129.0,13.0,1,0,0,0,21,4,18,1,0,0,8,0,1,16,13.4,1,0,0,0,0,6.6,14500,7.8,1,2019-02-10 16:00:00+00:00,10 Feb 16:00,0,0,90,1,0,0,0,0,26,0,212724,2,0,0,45.0,2,98765,126670,27905,95,0,2019-02-10
3,2019-02-27,Wed,28,Home,W 2–0,Chelsea,Tottenham,Y,FW,83,0,0,0,0,3,0,0,0,34,1,0,0,0.2,0.2,0.0,2,0,20,24,0,22,1,5,1,323,32,11,11,4,6,3,4,0.0,1,0,0,0,24,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,13,16,2,126.0,18.0,1,0,1,4,31,6,24,0,0,0,0,1,0,20,14.6,1,0,0,0,0,3.5,15584,1.2,1,2019-02-27 20:00:00+00:00,27 Feb 20:00,0,0,83,1,0,0,0,2,28,0,161277,7,1,2,19.0,2,-7998,13187,21185,95,0,2019-02-27
4,2019-03-03,Sun,29,Away,W 2–1,Chelsea,Fulham,Y,FW,90,1,0,0,0,6,2,0,0,34,0,0,1,0.6,0.6,0.2,5,1,20,24,3,20,0,0,0,288,37,10,13,7,7,1,1,0.1,3,0,2,0,23,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,22,8,91.0,8.0,1,1,3,2,30,11,24,0,0,2,27,0,0,20,38.7,0,0,0,0,0,14.7,16189,36.8,3,2019-03-03 14:05:00+00:00,03 Mar 14:05,0,0,90,0,0,0,0,0,29,0,230031,3,0,3,71.0,8,67387,87117,19730,95,0,2019-03-03
5,2019-03-10,Sun,30,Home,D 1–1,Chelsea,Wolves,Y,FW,90,0,0,0,0,6,2,0,0,28,2,1,0,0.3,0.3,0.1,4,0,11,17,1,17,0,2,1,194,8,4,7,3,4,2,3,0.0,1,0,1,0,17,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,5,23,5,58.0,12.0,0,0,3,0,22,6,17,0,1,0,3,0,1,11,12.4,1,0,0,0,1,10.8,16795,11.2,1,2019-03-10 14:05:00+00:00,10 Mar 14:05,0,0,90,1,0,0,0,1,30,0,288761,3,2,1,84.0,2,57710,74018,16308,96,0,2019-03-10
6,2019-03-17,Sun,31,Away,L 0–2,Chelsea,Everton,Y,FW,65,0,0,0,0,3,1,0,0,27,1,0,0,0.6,0.6,0.1,2,0,19,23,0,18,2,0,0,272,58,14,16,1,1,3,4,0.0,2,0,0,0,22,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,12,14,3,87.0,48.0,0,1,1,0,23,6,22,0,1,0,5,0,0,19,27.4,0,0,0,0,1,6.4,17113,6.0,2,2019-03-17 16:30:00+00:00,17 Mar 16:30,0,0,65,0,0,0,0,1,31,0,306934,0,1,1,31.0,2,-7195,33630,40825,96,0,2019-03-17
7,2019-03-31,Sun,32,Away,W 2–1,Chelsea,Cardiff City,Y,FW,76,0,0,0,0,3,0,0,0,38,0,0,0,0.1,0.1,0.0,1,0,26,31,1,21,1,0,0,293,53,13,15,7,8,0,0,0.1,0,0,1,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,1,122.0,37.0,2,0,2,3,37,8,31,0,0,0,6,0,0,26,9.6,0,0,0,0,0,3.5,17992,0.0,0,2019-03-31 13:05:00+00:00,31 Mar 14:05,0,0,76,0,0,0,0,1,32,0,298280,3,0,1,27.0,2,11157,62700,51543,96,0,2019-03-31
8,2019-04-08,Mon,33,Home,W 2–0,Chelsea,West Ham,Y,FW,75,0,0,0,0,2,1,0,0,37,2,0,1,0.2,0.2,0.4,2,0,25,33,0,19,1,0,0,289,34,21,23,2,4,1,3,0.0,1,2,0,0,32,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,1,0,0,0,2,15,21,2,136.0,59.0,2,0,0,1,31,6,32,1,0,0,11,1,0,25,18.8,0,0,0,0,0,6.3,18384,9.4,1,2019-04-08 19:00:00+00:00,08 Apr 20:00,0,0,75,1,0,0,0,3,33,0,259021,1,0,0,35.0,2,-33985,9675,43660,95,0,2019-04-08
9,2019-04-14,Sun,34,Away,L 0–2,Chelsea,Liverpool,N,FW,35,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,9,12,1,9,1,0,0,157,29,3,5,4,5,1,1,0.0,0,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,6,6,1,48.0,18.0,0,1,0,1,8,4,11,0,0,0,3,0,1,9,1.0,0,0,0,0,0,0.6,19043,2.8,0,2019-04-14 15:30:00+00:00,14 Apr 16:30,0,0,34,0,0,0,0,3,34,0,147033,1,0,0,2.0,1,-113929,835,114764,93,0,2019-04-14
