,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,L 1–4,Southampton,Tottenham,N,CM,16,0,0,0,0,1,0,0,0,15,0,1,1,0.1,0.1,0.0,1,0,9,9,0,5,0,1,0,101,4,8,8,1,1,0,0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,11,1,19.0,4.0,0,0,2,1,9,1,0,1,0,2.3,1.4,1.6,2022-08-06 14:00:00+00:00,15,0,1,0,65020,10.0,1,0,0,0,45,2022-08-06
1,2022-08-30,Tue,5,Home,W 2–1,Southampton,Chelsea,Y,"DM,CM",90,0,0,0,0,0,0,0,0,31,1,0,2,0.0,0.0,0.0,1,0,13,21,2,14,1,3,1,178,47,8,10,3,5,1,3,0.0,1,4,0,0,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,1,5,16,11,1,54.0,37.0,2,0,3,0,10,2,0,6,0,11.8,2.1,6.8,2022-08-30 18:45:00+00:00,90,0,5,0,54765,2.0,2,-2584,3732,6316,44,2022-08-30
2,2022-09-03,Sat,6,Away,L 0–1,Southampton,Wolves,Y,DM,55,0,0,0,0,1,0,1,0,26,0,0,0,0.0,0.0,0.0,0,0,16,22,4,15,1,2,2,280,35,9,11,5,6,2,3,0.0,0,3,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,5,0,57.0,26.0,2,0,1,0,13,0,0,-2,0,1.6,0.0,0.0,2022-09-03 14:00:00+00:00,55,0,6,0,62706,1.0,0,5312,11236,5924,44,2022-09-03
3,2022-09-16,Fri,8,Away,L 0–1,Southampton,Aston Villa,Y,DM,45,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,15,21,2,13,0,0,0,223,50,8,9,6,8,1,4,0.0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,14,6,1,46.0,21.0,0,0,2,0,14,0,0,3,0,1.0,0.4,1.2,2022-09-16 19:00:00+00:00,45,0,8,0,58266,2.0,1,-2146,1403,3549,44,2022-09-16
4,2022-10-08,Sat,10,Away,L 0–4,Southampton,Manchester City,Y,"CM,DM",90,0,0,0,0,0,0,0,0,50,0,1,1,0.0,0.0,0.0,0,0,37,43,5,26,0,0,0,625,107,13,14,20,22,2,4,0.0,0,4,0,0,41,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,13,28,10,0,160.0,55.0,0,0,2,2,33,2,0,11,0,3.3,0.7,3.6,2022-10-08 14:00:00+00:00,90,0,10,0,53950,0.0,2,-2448,2118,4566,44,2022-10-08
5,2022-10-16,Sun,11,Home,D 1–1,Southampton,West Ham,N,CM,16,0,0,0,0,1,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,6,9,1,3,0,0,0,63,45,4,4,2,3,0,1,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,5,5,2,0,27.0,18.0,0,0,0,0,2,0,0,3,0,0.3,0.1,0.0,2022-10-16 13:00:00+00:00,16,0,11,0,51372,1.0,1,-2721,978,3699,44,2022-10-16
6,2022-10-19,Wed,12,Away,W 1–0,Southampton,Bournemouth,N,CM,3,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,7,0,7,1,1,0,73,7,5,5,1,1,0,0,0.0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,72.0,48.0,0,0,0,0,7,0,0,2,0,1.1,0.2,0.6,2022-10-19 18:30:00+00:00,2,0,12,0,47036,0.0,1,-2747,299,3046,44,2022-10-19
7,2022-10-23,Sun,13,Home,D 1–1,Southampton,Arsenal,Y,CM,90,0,0,0,0,0,0,0,0,42,5,0,2,0.0,0.0,0.0,0,0,27,31,1,25,0,1,1,358,87,22,23,5,7,0,1,0.0,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,2,2,0,0,2,1,0,3,18,24,1,0,101.0,65.0,0,0,1,2,24,0,0,19,0,1.6,1.4,12.8,2022-10-23 13:00:00+00:00,90,0,13,0,52049,0.0,2,2559,4986,2427,43,2022-10-23
8,2022-10-29,Sat,14,Away,L 0–1,Southampton,Crystal Palace,Y,CM,45,0,0,0,0,0,0,0,0,38,3,0,0,0.0,0.0,0.0,0,0,23,30,1,24,1,2,1,338,64,13,14,10,16,0,0,0.0,0,0,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,1,0,1,12,23,4,0,182.0,110.0,0,0,0,1,26,0,0,3,0,1.0,0.9,7.6,2022-10-29 14:00:00+00:00,45,0,14,0,52472,0.0,1,159,3647,3488,43,2022-10-29
9,2022-12-26,Mon,17,Home,L 1–3,Southampton,Brighton,Y,DM,45,0,0,0,0,1,0,0,0,23,0,1,0,0.1,0.1,0.0,0,0,16,20,0,11,0,0,0,253,10,9,9,6,9,1,2,0.0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,0,48.0,17.0,0,0,1,0,14,1,0,5,0,0.8,0.9,0.2,2022-12-26 15:00:00+00:00,45,0,17,0,43333,8.0,1,-4980,2135,7115,43,2022-12-26
10,2023-01-14,Sat,20,Away,W 2–1,Southampton,Everton,Y,DM,84,0,0,0,0,2,0,1,0,41,1,1,1,0.0,0.0,0.0,1,0,23,35,0,26,1,0,0,282,53,14,20,8,9,0,0,0.0,0,0,0,0,32,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,13,23,5,0,143.0,70.0,0,0,2,1,23,0,0,0,0,0.7,0.2,0.0,2023-01-14 15:00:00+00:00,84,0,20,0,40838,2.0,1,-971,672,1643,43,2023-01-14
11,2023-01-21,Sat,21,Home,L 0–1,Southampton,Aston Villa,Y,"DM,CM",90,0,0,0,0,0,0,0,0,52,6,0,1,0.0,0.0,0.0,1,0,36,45,4,31,0,1,1,641,175,18,22,10,12,6,8,0.0,0,4,1,0,45,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,2,2,0,0,1,0,0,1,18,34,1,0,131.0,25.0,0,0,1,0,28,0,0,15,0,2.3,1.9,16.2,2023-01-21 15:00:00+00:00,90,0,21,0,39792,0.0,2,-1088,254,1342,43,2023-01-21
12,2023-02-04,Sat,22,Away,L 0–3,Southampton,Brentford,Y,DM,45,0,0,0,0,0,0,0,0,36,1,1,0,0.0,0.0,0.0,1,0,21,31,1,22,0,0,0,340,83,11,15,9,10,1,3,0.0,1,2,1,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,9,28,0,0,65.0,41.0,0,0,0,0,25,0,0,7,0,11.3,2.0,8.4,2023-02-04 15:00:00+00:00,45,0,22,0,38885,0.0,1,-1002,735,1737,42,2023-02-04
13,2023-02-18,Sat,24,Away,W 1–0,Southampton,Chelsea,N,CM,4,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,3,3,0,4,0,0,0,41,16,2,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,4,2,1,0,19.0,3.0,0,0,0,0,1,0,0,4,0,0.3,0.5,4.4,2023-02-18 15:00:00+00:00,3,0,24,0,38032,0.0,1,-405,267,672,42,2023-02-18
14,2023-02-25,Sat,25,Away,L 0–1,Southampton,Leeds United,N,DM,28,0,0,0,0,0,0,1,0,23,5,0,1,0.0,0.0,0.0,2,0,13,15,2,8,0,0,0,187,110,8,9,5,6,0,0,0.0,1,2,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,1,1,0,0,1,0,0,1,5,18,1,1,55.0,27.0,0,0,1,1,11,0,0,3,0,11.8,2.6,12.6,2023-02-25 15:00:00+00:00,27,0,25,0,38571,2.0,0,-161,746,907,42,2023-02-25
15,2023-03-15,Wed,7,Home,L 0–2,Southampton,Brentford,Y,DM,57,0,0,0,0,0,0,0,0,63,0,0,2,0.0,0.0,0.0,3,0,51,58,5,52,4,2,2,780,171,29,31,20,23,2,4,0.0,1,4,0,0,58,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,49,8,0,266.0,143.0,0,0,0,1,53,0,0,9,0,14.8,2.1,6.4,2023-03-15 19:30:00+00:00,57,0,27,0,36770,0.0,1,-618,166,784,42,2023-03-15
16,2023-04-08,Sat,30,Home,L 1–4,Southampton,Manchester City,N,"CM,RM",11,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0.0,0.0,0,0,0,0,1,0,0,5,0,0.0,0.2,2.0,2023-04-08 16:30:00+00:00,10,0,30,0,35860,0.0,1,-247,105,352,42,2023-04-08
17,2023-04-21,Fri,32,Away,D 3–3,Southampton,Arsenal,N,CM,5,0,0,0,0,0,0,1,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,1,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.0,0.1,1.0,2023-04-21 19:00:00+00:00,4,0,32,0,35883,0.0,0,-65,263,328,42,2023-04-21
18,2021-08-14,Sat,1,Away,L 1–3,Southampton,Everton,N,CM,11,0,0,0,0,1,0,0,0,12,0,0,0,0.2,0.2,0.0,0,0,8,9,0,8,0,0,0,120,34,5,5,3,4,0,0,0.0,0,2,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,3,1,22.0,13.0,1,0,0,0,10,0,0,3,0,0.9,2.0,0.6,2021-08-14 14:00:00+00:00,10,0,1,0,7483,18.0,1,0,0,0,45,2021-08-14
19,2021-08-22,Sun,2,Home,D 1–1,Southampton,Manchester Utd,N,CM,21,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,11,13,0,3,0,0,0,144,21,7,7,3,3,0,1,0.0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,0,10.0,5.0,0,0,0,0,9,0,0,3,0,1.6,0.2,0.4,2021-08-22 13:00:00+00:00,20,0,2,0,8855,0.0,1,-127,858,985,45,2021-08-22
20,2021-08-28,Sat,3,Away,D 2–2,Southampton,Newcastle Utd,N,CM,3,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,1,4,0,2,2,79,46,4,5,1,1,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,45.0,34.0,1,0,0,0,6,1,0,5,0,1.5,0.6,2.8,2021-08-28 14:00:00+00:00,2,0,3,0,9311,2.0,1,-87,960,1047,45,2021-08-28
21,2021-09-11,Sat,4,Home,D 0–0,Southampton,West Ham,N,CM,38,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,8,10,2,10,1,0,0,119,13,4,6,2,2,1,1,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,1,57.0,19.0,1,0,0,0,9,5,0,2,0,0.9,0.7,0.0,2021-09-11 14:00:00+00:00,37,0,4,0,10485,7.0,1,286,2079,1793,45,2021-09-11
22,2021-10-02,Sat,7,Away,L 1–3,Southampton,Chelsea,N,CM,45,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.2,2,1,13,15,4,9,0,1,1,225,89,7,8,4,4,2,2,0.0,1,2,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,13,1,0,30.0,10.0,1,0,0,1,14,0,0,4,0,10.7,1.5,4.4,2021-10-02 14:00:00+00:00,45,0,7,0,10752,0.0,1,-445,487,932,45,2021-10-02
