,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-21,Sat,2,Away,L 0–2,Watford,Brighton,Y,CM,45,0,0,0,0,0,0,0,0,24,1,1,0,0.0,0.0,0.1,0,0,9,16,2,9,0,1,1,136,54,4,6,5,7,0,2,0.0,1,1,0,0,15,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,13,7,1,56.0,32.0,0,0,1,1,14,2,0,5,0,11.3,2.1,7.8,2021-08-21 16:30:00+00:00,45,0,2,0,2832,2.0,1,-579,42,621,55,2021-08-21
1,2021-11-20,Sat,12,Home,W 4–1,Watford,Manchester Utd,Y,DM,76,0,0,0,0,1,0,1,0,46,4,2,1,0.0,0.0,0.2,4,1,30,38,4,15,1,0,0,609,251,11,13,14,18,5,7,0.2,3,5,2,0,34,4,1,0,0,5,0,3,0,1,3,0,0,0,0,1,0,0,0,0,0,2,1,3,0,1,2,1,0,1,0,0,1,6,27,13,0,80.0,31.0,0,0,1,0,20,2,0,13,0,44.8,6.9,15.8,2021-11-20 15:00:00+00:00,76,0,12,0,2101,8.0,1,-39,30,69,52,2021-11-20
2,2021-11-28,Sun,13,Away,L 2–4,Watford,Leicester City,Y,DM,45,0,0,0,0,0,0,0,0,14,2,1,0,0.0,0.0,0.0,1,0,8,11,2,6,0,0,0,127,61,4,6,4,5,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,11,2,0,18.0,5.0,0,0,1,0,7,0,0,1,0,0.3,0.2,1.8,2021-11-28 14:00:00+00:00,45,0,13,0,2324,0.0,1,157,226,69,52,2021-11-28
3,2021-12-01,Wed,14,Home,L 1–2,Watford,Chelsea,Y,DM,72,0,0,0,0,3,0,1,0,57,1,3,1,0.1,0.1,0.1,3,0,36,46,4,13,0,0,0,728,155,12,16,16,19,7,10,0.0,1,6,1,0,38,8,6,0,2,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,1,5,37,15,0,42.0,11.0,0,0,0,0,21,1,0,7,0,13.6,3.0,6.0,2021-12-01 19:30:00+00:00,72,0,14,0,2327,10.0,1,-27,99,126,52,2021-12-01
4,2021-12-04,Sat,15,Home,L 1–3,Watford,Manchester City,Y,DM,45,0,0,0,0,0,0,0,0,13,3,0,0,0.0,0.0,0.0,1,0,9,10,2,2,0,0,0,175,28,1,1,7,7,0,1,0.0,1,2,0,0,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,0,0,0,0,2,2,9,2,0,7.0,0.0,0,0,0,0,7,0,0,3,0,10.7,1.7,6.6,2021-12-04 17:30:00+00:00,45,0,15,0,2331,0.0,1,-27,104,131,52,2021-12-04
5,2021-12-28,Tue,20,Home,L 1–4,Watford,West Ham,N,DM,51,0,0,0,0,0,0,0,0,43,1,2,0,0.0,0.0,0.1,4,0,29,39,6,17,1,1,0,616,261,10,13,10,12,8,12,0.1,2,4,1,0,32,7,3,0,0,6,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,9,26,9,1,103.0,47.0,0,0,0,0,21,1,0,11,0,29.6,4.2,10.8,2021-12-28 15:00:00+00:00,50,0,20,0,2361,2.0,1,20,53,33,52,2021-12-28
6,2022-01-01,Sat,21,Home,L 0–1,Watford,Tottenham,Y,CM,89,0,0,0,0,0,0,0,0,40,4,0,2,0.0,0.0,0.1,1,0,22,30,3,10,1,3,3,477,152,9,10,9,9,4,11,0.1,1,2,0,0,23,7,4,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,3,2,0,2,4,1,5,14,21,7,0,82.0,60.0,0,0,2,0,17,0,0,20,1,15.0,3.2,16.8,2022-01-01 15:00:00+00:00,90,0,21,0,2370,0.0,3,1,57,56,52,2022-01-01
7,2022-02-08,Tue,24,Away,L 0–1,Watford,West Ham,N,CM,14,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,1,4,0,0,0,100,20,1,1,4,5,0,0,0.0,0,1,0,0,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3.0,1.0,0,0,0,0,3,0,0,3,0,0.5,0.1,0.2,2022-02-08 19:45:00+00:00,13,0,24,0,2491,0.0,1,-247,63,310,52,2022-02-08
8,2022-02-12,Sat,25,Home,L 0–2,Watford,Brighton,N,CM,45,0,0,0,0,1,0,1,0,41,1,2,3,0.1,0.1,0.0,1,0,20,28,2,21,2,2,1,405,157,8,9,8,10,4,8,0.1,0,4,0,0,27,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,3,2,0,4,14,25,7,1,139.0,82.0,1,1,2,1,21,2,0,2,0,1.4,1.7,5.8,2022-02-12 15:00:00+00:00,45,0,25,0,2504,10.0,0,0,34,34,52,2022-02-12
9,2022-02-19,Sat,26,Away,W 1–0,Watford,Aston Villa,Y,CM,90,0,0,0,0,0,0,0,0,63,4,4,2,0.0,0.0,0.0,2,1,35,50,3,33,1,3,2,713,143,10,14,13,17,9,16,0.0,0,1,1,0,45,5,3,0,3,2,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,1,3,2,2,0,2,0,5,23,34,6,0,153.0,59.0,0,0,0,0,29,0,0,14,1,2.2,3.3,31.0,2022-02-19 15:00:00+00:00,90,0,26,0,2563,0.0,3,28,79,51,52,2022-02-19
