,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,D 1–1,West Ham,Bournemouth,N,FW,13,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,1,4,0,5,0,2,1,4,1,0,1,0,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,4,2,4.0,3.0,0,0,1,0,5,1,0,1,0,0.0,1.0,3.0,2023-08-12 14:00:00+00:00,12,0,1,0,165077,7.0,1,0,0,0,60,2023-08-12
1,2023-08-26,Sat,3,Away,W 3–1,West Ham,Brighton,N,FW,6,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,0,3,0,0,0,29,8,1,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,17.0,0.0,0,0,0,0,3,3,0,3,0,0.3,0.6,5.2,2023-08-26 16:30:00+00:00,5,0,3,0,120199,0.0,1,-29727,2600,32327,59,2023-08-26
2,2023-09-01,Fri,4,Away,W 2–1,West Ham,Luton Town,N,FW,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,1,4,0,0,0,58,10,3,3,1,1,0,0,0.0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,21.0,4.0,0,0,2,1,6,2,0,1,0,0.3,0.0,0.0,2023-09-01 19:00:00+00:00,10,0,4,0,105344,0.0,1,-17173,2847,20020,59,2023-09-01
3,2023-09-16,Sat,5,Home,L 1–3,West Ham,Manchester City,N,FW,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0,17,0,1,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.1,0.0,0.0,2023-09-16 14:00:00+00:00,3,0,5,0,91828,0.0,1,-15674,2740,18414,58,2023-09-16
4,2023-09-24,Sun,6,Away,L 1–3,West Ham,Liverpool,N,AM,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.2,0.0,2023-09-24 13:00:00+00:00,3,0,6,0,84109,2.0,1,-8493,861,9354,58,2023-09-24
5,2023-10-22,Sun,9,Away,L 1–4,West Ham,Aston Villa,N,"FW,LW",5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0,23,12,2,2,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.2,2.2,2023-10-22 15:30:00+00:00,4,0,9,0,74627,0.0,1,-2774,1857,4631,57,2023-10-22
6,2023-10-29,Sun,10,Home,L 0–1,West Ham,Everton,N,LB,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.0,1.0,0,0,1,0,1,1,0,3,0,0.0,0.4,0.0,2023-10-29 13:00:00+00:00,5,0,10,0,72941,4.0,1,-2073,1706,3779,57,2023-10-29
7,2023-11-04,Sat,11,Away,L 2–3,West Ham,Brentford,N,FW,27,0,0,0,0,0,0,1,0,5,0,0,1,0.0,0.0,0.0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,2,1,5.0,0.0,0,0,0,0,2,0,0,0,0,0.0,0.3,1.0,2023-11-04 15:00:00+00:00,26,0,11,0,70975,2.0,0,-2325,1474,3799,56,2023-11-04
8,2023-11-25,Sat,13,Away,W 2–1,West Ham,Burnley,Y,FW,61,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,11,0,9,1,0,0,66,5,3,4,1,1,0,1,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,38.0,10.0,0,0,1,0,10,0,0,6,0,0.8,0.0,0.0,2023-11-25 15:00:00+00:00,61,0,13,0,74262,0.0,2,2481,5702,3221,56,2023-11-25
9,2023-12-17,Sun,17,Home,W 3–0,West Ham,Wolves,N,"RW,FW",5,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,3,3,0,3,0,0,0,13,0,1,1,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0,2.0,2.0,0,0,0,0,3,1,0,5,0,0.6,0.3,2.0,2023-12-17 14:00:00+00:00,3,0,17,0,70059,0.0,1,-1288,1323,2611,56,2023-12-17
