,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,L 0–1,Everton,Fulham,Y,"LM,RM",90,0,0,0,0,4,2,0,0,44,1,1,2,0.3,0.3,0.1,11,0,22,30,4,25,3,4,3,470,175,9,10,6,6,7,13,0.3,3,1,3,1,23,6,0,0,0,6,1,5,1,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,3,14,29,2,237.0,162.0,3,1,3,1,25,4,0,9,0,40.7,10.6,19.4,2023-08-12 14:00:00+00:00,90,0,1,0,75742,46.0,2,0,0,0,55,2023-08-12
1,2023-08-20,Sun,2,Away,L 0–4,Everton,Aston Villa,Y,"LM,RM",50,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,5,12,0,8,3,0,0,75,4,4,4,1,4,0,2,0.1,1,0,0,0,11,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,2,3,9,1,79.0,59.0,2,1,0,0,9,4,0,4,0,14.5,2.2,5.0,2023-08-20 13:00:00+00:00,50,0,2,0,74543,2.0,1,-6783,2583,9366,55,2023-08-20
2,2023-09-16,Sat,5,Home,W 1–0,Fulham,Luton Town,N,RM,29,0,0,0,0,2,0,0,0,33,1,0,0,0.1,0.1,0.0,3,1,26,31,3,19,1,1,0,435,61,11,11,12,13,2,3,0.0,0,1,0,0,31,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,16,17,1,151.0,28.0,1,1,0,0,29,2,0,6,0,3.3,1.1,1.6,2023-09-16 14:00:00+00:00,28,0,5,0,30403,6.0,1,-6160,441,6601,54,2023-09-16
3,2023-09-23,Sat,6,Away,D 0–0,Fulham,Crystal Palace,N,LM,16,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,9,11,3,8,1,0,0,166,33,1,3,4,4,2,2,0.0,1,2,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,44.0,12.0,0,1,0,1,11,1,0,3,0,11.4,1.6,3.0,2023-09-23 14:00:00+00:00,15,0,6,0,29656,2.0,1,-1047,512,1559,54,2023-09-23
4,2023-10-02,Mon,7,Home,L 0–2,Fulham,Chelsea,N,RW,37,0,0,0,0,2,0,0,0,29,2,0,0,0.2,0.2,0.1,1,0,15,24,2,16,3,0,0,216,48,11,13,3,5,1,4,0.1,1,2,0,0,24,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,0,0,2,5,12,13,3,97.0,40.0,1,2,1,1,23,4,0,3,0,15.3,3.4,4.6,2023-10-02 19:00:00+00:00,36,0,7,0,28718,14.0,1,-1035,582,1617,54,2023-10-02
5,2023-10-07,Sat,8,Home,W 3–1,Fulham,Sheffield Utd,Y,RM,78,0,0,0,0,1,0,0,0,47,1,0,0,0.1,0.1,0.1,4,0,35,42,6,31,1,0,0,561,197,15,17,16,17,2,6,0.0,2,6,0,0,40,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,1,7,26,15,1,160.0,44.0,3,0,2,0,35,3,0,16,0,24.3,3.8,8.8,2023-10-07 14:00:00+00:00,78,0,8,0,28757,5.0,2,-248,1023,1271,54,2023-10-07
6,2023-10-23,Mon,9,Away,L 0–2,Fulham,Tottenham,N,AM,45,0,0,0,0,1,0,0,0,28,0,1,1,0.0,0.0,0.2,1,0,22,24,1,21,0,0,0,369,71,11,11,8,9,2,2,0.2,1,1,0,0,23,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,17,7,0,100.0,18.0,0,0,2,0,21,2,0,4,0,14.5,2.1,4.2,2023-10-23 19:00:00+00:00,45,0,9,0,27816,2.0,1,-1026,327,1353,54,2023-10-23
7,2023-10-29,Sun,10,Away,D 1–1,Fulham,Brighton,Y,"AM,DM,LW",89,0,0,0,0,1,1,0,0,33,1,2,0,0.0,0.0,0.0,3,1,22,23,5,21,1,6,5,378,69,12,12,9,9,1,1,0.0,0,2,0,0,21,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,0,1,0,1,4,20,11,2,121.0,56.0,2,1,4,3,18,2,0,12,0,2.2,2.9,13.4,2023-10-29 14:00:00+00:00,90,0,10,0,27055,13.0,2,-851,224,1075,54,2023-10-29
8,2023-11-04,Sat,11,Home,L 0–1,Fulham,Manchester Utd,Y,"DM,AM,LW",88,0,0,0,0,3,0,1,0,44,1,2,0,0.2,0.2,0.1,6,0,30,34,3,30,5,5,4,571,216,11,13,16,17,3,4,0.0,2,3,0,0,34,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,24,16,1,281.0,177.0,3,0,0,2,32,3,0,12,1,23.3,3.9,9.0,2023-11-04 12:30:00+00:00,88,0,11,0,26892,7.0,2,-263,608,871,54,2023-11-04
9,2023-11-12,Sun,12,Away,L 1–3,Fulham,Aston Villa,Y,DM,81,0,0,0,0,2,1,1,0,53,2,0,1,0.1,0.1,0.0,1,0,32,38,2,31,0,4,2,426,165,20,22,7,8,1,2,0.1,1,4,1,0,37,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,5,31,18,0,165.0,60.0,4,0,3,2,40,1,0,4,0,19.4,3.6,8.8,2023-11-12 14:00:00+00:00,81,0,12,0,26522,8.0,1,-433,435,868,54,2023-11-12
