,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-04-24,Sat,33,Away,L 0–1,Brighton,Sheffield Utd,N,WB,9,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.0,1,0,8,9,0,8,1,1,0,115,10,5,5,3,4,0,0,0.0,0,0,0,0,7,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,77.0,54.0,1,0,1,0,8,2,0,2,0,1.3,1.2,3.2,2021-04-24 19:00:00+00:00,8,0,33,0,692,7.0,1,4,36,32,55,2021-04-24
1,2018-09-29,Sat,7,Away,L 0–2,Brighton,Manchester City,N,LM,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,7,0,1,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.0,2018-09-29 14:00:00+00:00,7,0,7,0,4676,0.0,1,-225,41,266,59,2018-09-29
2,2018-10-05,Fri,8,Home,W 1–0,Brighton,West Ham,N,LM,20,0,0,0,0,1,1,0,0,10,1,0,0,0.0,0.0,0.0,0,0,4,8,1,7,1,1,1,67,19,1,2,1,1,1,2,0.0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,4,2,70.0,27.0,0,1,0,0,6,1,0,6,0,0.3,2.6,6.6,2018-10-05 19:00:00+00:00,19,0,8,0,4891,19.0,1,118,239,121,59,2018-10-05
3,2018-10-20,Sat,9,Away,W 1–0,Brighton,Newcastle Utd,Y,LM,79,0,1,0,0,2,0,0,0,27,1,0,1,0.1,0.1,0.0,1,1,14,18,2,19,1,5,2,177,61,10,12,4,5,0,0,0.0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,0,1,5,7,15,2,138.0,51.0,2,1,0,1,19,3,0,13,1,2.3,3.4,3.6,2018-10-20 14:00:00+00:00,79,0,9,0,5105,28.0,6,28,229,201,59,2018-10-20
4,2018-10-27,Sat,10,Home,W 1–0,Brighton,Wolves,Y,LM,80,0,0,0,0,0,0,0,0,39,2,1,2,0.0,0.0,0.0,0,0,22,30,3,26,3,3,2,282,118,13,15,6,8,1,2,0.0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,2,9,20,11,1,215.0,139.0,4,1,1,0,23,4,0,10,1,2.9,1.9,13.6,2018-10-27 14:00:00+00:00,80,0,10,0,6818,2.0,3,1485,1772,287,59,2018-10-27
5,2018-11-03,Sat,11,Away,L 1–3,Brighton,Everton,Y,LM,62,0,0,0,0,2,0,0,0,32,1,2,2,0.1,0.1,0.0,0,0,13,20,3,20,2,2,2,208,132,8,10,4,7,1,3,0.0,0,3,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,1,0,2,16,11,7,1,185.0,98.0,3,1,2,1,13,2,0,10,0,0.8,3.4,7.2,2018-11-03 15:00:00+00:00,62,0,11,0,6596,26.0,2,-218,357,575,59,2018-11-03
6,2018-11-10,Sat,12,Away,L 1–2,Brighton,Cardiff City,Y,LM,90,0,0,0,0,2,1,0,0,25,1,0,0,0.1,0.1,0.0,2,0,13,18,1,18,1,3,2,170,67,8,11,5,5,0,0,0.0,0,0,0,0,17,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,1,4,12,9,0,126.0,53.0,1,0,1,1,19,3,0,5,0,2.4,1.7,7.0,2018-11-10 12:30:00+00:00,90,0,12,0,7009,8.0,2,250,614,364,59,2018-11-10
7,2018-11-24,Sat,13,Home,D 1–1,Brighton,Leicester City,Y,LM,90,0,0,0,0,4,0,1,0,48,5,1,2,0.2,0.2,0.2,4,0,19,26,1,28,4,5,3,230,42,12,15,6,7,0,2,0.2,2,0,1,0,24,1,0,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,4,5,1,0,2,1,0,1,8,18,24,9,126.0,57.0,1,4,3,3,28,10,0,6,0,27.0,6.7,13.8,2018-11-24 15:00:00+00:00,90,0,13,0,7048,26.0,1,-106,354,460,59,2018-11-24
8,2018-12-01,Sat,14,Away,W 2–1,Brighton,Huddersfield,Y,LW,90,0,0,0,0,2,1,0,0,34,0,0,0,0.1,0.1,0.1,3,0,18,22,3,22,2,1,0,272,54,11,14,6,7,1,1,0.1,2,1,2,0,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,23,3,108.0,38.0,2,0,3,2,23,11,0,4,0,23.3,5.3,6.8,2018-12-01 15:00:00+00:00,90,0,14,0,6951,23.0,2,-181,197,378,59,2018-12-01
9,2018-12-04,Tue,15,Home,W 3–1,Brighton,Crystal Palace,Y,"LW,LM",48,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,1,9,14,1,12,2,0,0,108,5,4,6,4,5,0,2,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,0,0,0,0,0,3,6,9,3,70.0,26.0,1,2,2,2,11,5,0,10,0,1.5,1.0,0.2,2018-12-04 19:45:00+00:00,48,0,15,0,6763,8.0,4,-245,154,399,59,2018-12-04
