,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-13,Sun,1,Home,D 1–1,Chelsea,Liverpool,Y,FW,90,0,0,0,0,4,2,1,0,33,0,0,1,0.5,0.5,0.0,0,0,17,21,0,24,5,3,2,147,21,12,13,1,2,0,0,0.0,0,1,0,0,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,10,21,6,238.0,143.0,2,1,3,2,26,5,0,-6,0,5.5,6.3,9.6,2023-08-13 15:30:00+00:00,90,0,1,0,1266420,48.0,1,0,0,0,70,2023-08-13
1,2023-08-20,Sun,2,Away,L 1–3,Chelsea,West Ham,Y,FW,90,0,0,0,0,2,0,1,0,42,3,0,2,0.8,0.8,0.0,2,0,21,31,1,22,2,3,1,202,37,15,20,4,4,0,0,0.1,1,1,1,0,28,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,2,1,0,1,1,20,21,5,143.0,76.0,1,1,1,1,27,9,0,6,0,14.0,4.0,6.8,2023-08-20 15:30:00+00:00,90,0,2,0,1463154,19.0,1,62065,152907,90842,70,2023-08-20
2,2023-08-25,Fri,3,Home,W 3–0,Chelsea,Luton Town,Y,FW,82,1,0,0,0,5,3,0,0,41,1,1,1,0.7,0.7,0.3,7,0,20,23,2,26,5,2,2,200,59,15,16,2,3,0,0,0.2,2,1,1,0,21,2,0,0,0,0,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,17,24,8,156.0,96.0,3,1,9,2,28,10,1,34,1,25.3,15.7,47.6,2023-08-25 19:00:00+00:00,82,0,3,0,1860530,84.0,7,337084,489435,152351,71,2023-08-25
3,2023-09-02,Sat,4,Home,L 0–1,Chelsea,Nott'ham Forest,Y,FW,90,0,0,0,0,4,0,1,0,45,0,0,0,1.0,1.0,0.0,7,0,22,26,5,36,4,6,5,206,45,16,17,4,5,0,0,0.1,1,2,1,0,24,2,0,0,0,1,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,9,246.0,126.0,3,1,7,3,38,10,0,-3,0,17.0,5.8,5.2,2023-09-02 14:00:00+00:00,90,0,4,0,2135710,36.0,1,232388,330495,98107,71,2023-09-02
4,2023-09-17,Sun,5,Away,D 0–0,Chelsea,Bournemouth,Y,FW,90,0,0,0,0,3,1,1,0,27,0,0,0,0.3,0.3,0.0,1,0,14,16,0,17,0,4,1,119,35,13,15,0,0,0,0,0.1,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7,19,4,71.0,19.0,0,0,3,2,18,6,0,-4,1,4.8,2.8,0.0,2023-09-17 13:00:00+00:00,90,0,5,0,1743588,26.0,1,-385693,53664,439357,71,2023-09-17
5,2023-09-24,Sun,6,Home,L 0–1,Chelsea,Aston Villa,Y,FW,67,0,0,0,0,1,1,1,0,19,1,0,1,0.5,0.5,0.0,1,0,7,10,2,11,0,1,0,102,56,4,4,1,2,1,1,0.0,1,2,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,3,4,8,8,2,79.0,8.0,1,0,3,1,13,4,0,-3,1,10.6,3.8,6.6,2023-09-24 13:00:00+00:00,67,0,6,0,1117628,21.0,1,-632047,11540,643587,70,2023-09-24
6,2023-10-07,Sat,8,Away,W 4–1,Chelsea,Burnley,N,FW,45,1,0,0,0,1,1,0,0,13,0,1,1,0.3,0.3,0.1,2,1,5,7,0,9,0,2,2,72,9,3,4,2,2,0,0,0.0,1,1,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,7,3,3,44.0,29.0,0,0,2,0,8,1,1,31,0,10.5,7.9,45.2,2023-10-07 14:00:00+00:00,45,0,8,0,541967,23.0,6,-62179,21668,83847,69,2023-10-07
7,2023-10-21,Sat,9,Home,D 2–2,Chelsea,Arsenal,N,FW,25,0,0,0,0,1,1,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,6,0,4,1,1,0,45,2,4,4,0,0,0,0,0.2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,3,4,3,23.0,9.0,0,1,1,1,8,4,0,1,0,0.6,2.5,3.0,2023-10-21 16:30:00+00:00,24,0,9,0,493767,21.0,1,-48191,11509,59700,69,2023-10-21
8,2023-10-28,Sat,10,Home,L 0–2,Chelsea,Brentford,Y,FW,90,0,0,0,0,3,0,0,0,37,0,0,0,0.1,0.1,0.1,7,0,24,29,3,26,2,2,2,307,64,17,18,6,6,0,0,0.1,2,2,1,0,27,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,13,22,4,167.0,79.0,2,2,3,4,34,5,0,2,0,26.8,4.7,3.4,2023-10-28 11:30:00+00:00,90,0,10,0,465523,17.0,2,-30419,10833,41252,69,2023-10-28
9,2023-11-06,Mon,11,Away,W 4–1,Chelsea,Tottenham,Y,FW,90,3,0,0,0,6,4,1,0,20,0,0,0,2.9,2.9,0.0,4,2,10,11,1,10,2,4,3,123,16,8,9,0,0,1,1,0.1,0,0,1,0,9,2,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,14,7,89.0,54.0,2,1,0,3,14,4,3,70,0,2.2,20.7,100.4,2023-11-06 20:00:00+00:00,90,0,11,0,429518,104.0,16,-36611,3519,40130,68,2023-11-06
