,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-11-11,Sat,12,Away,L 0–1,Luton Town,Manchester Utd,N,"AM,WB",18,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,8,11,2,5,0,0,0,138,64,2,3,5,7,0,0,0.0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,6,5,1,0,20.0,1.0,0,0,0,0,6,0,0,4,0,0.3,0.6,5.8,2023-11-11 15:00:00+00:00,17,0,12,0,493,0.0,1,11,34,23,48,2023-11-11
1,2023-11-25,Sat,13,Home,W 2–1,Luton Town,Crystal Palace,N,CM,30,0,0,0,0,0,0,1,0,18,2,0,0,0.0,0.0,0.0,1,0,7,11,1,3,0,0,0,118,39,3,4,2,4,1,2,0.0,1,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,6,9,3,0,41.0,24.0,0,0,2,0,5,0,0,0,0,10.5,1.7,6.4,2023-11-25 15:00:00+00:00,29,0,13,0,505,0.0,0,-5,28,33,48,2023-11-25
2,2023-12-02,Sat,14,Away,L 1–3,Luton Town,Brentford,N,"DM,CM",31,0,0,0,0,0,0,0,0,20,1,0,1,0.0,0.0,0.0,1,0,13,16,2,10,1,1,0,213,44,6,7,5,5,1,3,0.1,0,1,2,0,14,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,5,13,2,1,54.0,25.0,0,1,0,0,14,1,0,2,0,1.0,0.8,4.6,2023-12-02 15:00:00+00:00,30,0,14,0,518,2.0,1,4,29,25,48,2023-12-02
3,2023-12-05,Tue,15,Home,L 3–4,Luton Town,Arsenal,N,CM,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.0,2023-12-05 20:15:00+00:00,2,0,15,0,536,0.0,1,9,21,12,48,2023-12-05
4,2023-12-10,Sun,16,Home,L 1–2,Luton Town,Manchester City,N,RM,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-12-10 14:00:00+00:00,1,0,16,0,540,0.0,1,-9,16,25,48,2023-12-10
5,2024-01-12,Fri,21,Away,D 1–1,Luton Town,Burnley,Y,AM,73,0,0,0,0,2,0,0,0,33,1,0,1,0.1,0.1,0.0,3,0,18,24,2,24,2,2,0,264,34,11,13,3,4,2,3,0.0,0,1,0,0,24,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,5,4,0,1,0,0,0,1,19,13,3,106.0,71.0,1,0,3,0,27,4,0,7,0,1.7,1.1,0.0,2024-01-12 19:45:00+00:00,73,0,21,0,608,10.0,2,-6,37,43,48,2024-01-12
6,2024-01-30,Tue,22,Home,W 4–0,Luton Town,Brighton,Y,AM,67,0,0,0,0,2,1,1,0,39,3,1,2,0.1,0.1,0.1,3,0,16,24,3,17,1,5,2,345,112,5,8,9,14,2,2,0.0,1,1,0,0,24,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1,3,2,0,2,1,0,0,4,14,21,4,79.0,28.0,0,1,2,1,22,3,0,2,1,15.8,5.9,14.8,2024-01-30 19:45:00+00:00,67,0,22,0,638,28.0,2,8,32,24,48,2024-01-30
7,2024-02-03,Sat,23,Away,D 4–4,Luton Town,Newcastle Utd,Y,AM,67,0,0,0,0,0,0,0,0,31,0,3,2,0.0,0.0,0.0,1,0,12,21,3,22,3,3,2,176,88,8,11,3,5,1,2,0.0,0,3,0,0,21,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,3,17,12,2,128.0,77.0,1,1,1,5,23,1,0,3,0,3.8,1.1,3.2,2024-02-03 15:00:00+00:00,67,0,23,0,698,4.0,2,52,77,25,48,2024-02-03
8,2024-02-10,Sat,24,Home,L 1–3,Luton Town,Sheffield Utd,Y,AM,52,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,8,15,0,12,1,0,0,117,15,2,6,4,4,0,2,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,10,2,62.0,15.0,1,0,2,2,15,2,0,3,0,2.3,0.8,1.6,2024-02-10 15:00:00+00:00,52,0,24,0,1028,4.0,1,297,374,77,48,2024-02-10
9,2024-02-18,Sun,25,Home,L 1–2,Luton Town,Manchester Utd,N,AM,23,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,4,8,0,8,2,4,0,75,20,2,3,1,1,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,7,2,91.0,37.0,1,1,0,0,9,3,0,3,0,0.6,0.7,2.4,2024-02-18 16:30:00+00:00,22,0,25,0,1236,4.0,1,-6,242,248,48,2024-02-18
10,2024-02-21,Wed,26,Away,L 1–4,Luton Town,Liverpool,N,AM,28,0,0,0,0,0,0,0,0,9,2,0,1,0.0,0.0,0.0,0,0,4,6,1,4,0,0,0,84,38,2,3,1,1,1,1,0.0,0,1,0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,3,5,1,0,38.0,16.0,0,0,0,0,4,0,0,3,0,0.1,0.5,4.4,2024-02-21 19:30:00+00:00,27,0,25,0,1236,0.0,1,-6,242,248,48,2024-02-21
11,2024-03-02,Sat,27,Home,L 2–3,Luton Town,Aston Villa,Y,CM,90,0,0,0,0,0,0,0,0,44,3,0,2,0.0,0.0,0.1,2,0,29,35,3,22,1,1,0,534,169,10,11,14,14,3,7,0.1,2,1,3,1,30,5,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,0,2,0,0,1,10,22,12,0,145.0,89.0,2,0,0,1,27,0,0,11,0,25.7,3.8,12.6,2024-03-02 17:30:00+00:00,90,0,27,0,1552,0.0,2,520,634,114,48,2024-03-02
12,2024-03-09,Sat,28,Away,D 1–1,Luton Town,Crystal Palace,Y,CM,86,0,0,0,0,1,0,0,0,56,3,0,0,0.1,0.1,0.0,0,0,34,48,3,32,0,2,1,649,140,14,19,12,15,6,11,0.0,0,0,0,0,42,6,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,0,0,0,1,1,12,34,10,2,148.0,71.0,1,0,2,1,33,0,0,10,0,1.9,1.4,4.2,2024-03-09 15:00:00+00:00,86,0,28,0,2255,8.0,2,622,833,211,48,2024-03-09
13,2024-03-13,Wed,17,Away,L 3–4,Luton Town,Bournemouth,Y,CM,90,0,1,0,0,0,0,1,0,39,2,1,4,0.0,0.0,0.6,1,1,16,23,1,19,0,6,1,287,82,5,6,6,6,3,4,0.4,1,0,0,0,21,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,2,6,4,1,3,2,0,5,11,18,12,1,168.0,51.0,1,0,1,0,19,1,0,19,0,14.9,4.9,32.0,2024-03-13 19:30:00+00:00,90,0,28,0,2255,2.0,4,622,833,211,48,2024-03-13
14,2024-03-16,Sat,29,Home,D 1–1,Luton Town,Nott'ham Forest,Y,AM,84,0,0,0,0,2,0,0,0,47,1,0,1,0.1,0.1,0.0,2,0,30,37,6,26,1,2,0,465,143,15,17,10,11,2,5,0.0,0,2,2,0,35,2,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,1,0,1,4,24,19,3,154.0,54.0,1,1,2,2,38,3,0,7,0,4.3,2.2,3.0,2024-03-16 15:00:00+00:00,84,0,29,0,3654,15.0,2,575,843,268,48,2024-03-16
15,2024-03-30,Sat,30,Away,L 1–2,Luton Town,Tottenham,N,RM,28,0,0,0,0,1,1,0,0,17,0,0,2,0.0,0.0,0.0,0,0,2,8,0,12,2,3,1,18,0,2,6,0,2,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,2,4,11,1,96.0,45.0,2,0,1,2,12,3,0,-1,0,0.5,1.5,5.0,2024-03-30 15:00:00+00:00,27,0,30,0,2144,9.0,1,-675,66,741,48,2024-03-30
16,2024-04-03,Wed,31,Away,L 0–2,Luton Town,Arsenal,Y,"AM,CM,RM",90,0,0,0,0,1,0,0,0,49,1,0,0,0.0,0.0,0.0,2,0,37,46,3,37,1,0,0,546,98,23,26,9,12,3,5,0.0,0,1,1,0,43,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,29,15,3,167.0,93.0,0,1,0,0,39,2,0,10,0,3.6,1.3,1.0,2024-04-03 18:30:00+00:00,90,0,31,0,1923,8.0,2,-244,44,288,48,2024-04-03
17,2024-04-06,Sat,32,Home,W 2–1,Luton Town,Bournemouth,Y,CM,90,1,0,0,0,3,1,0,0,77,3,2,3,0.3,0.3,0.1,3,0,43,57,7,42,1,4,1,681,246,20,26,18,22,3,6,0.1,3,4,4,2,55,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,7,5,0,3,1,0,4,14,37,30,5,263.0,151.0,4,0,1,0,43,1,3,36,0,44.3,13.3,57.8,2024-04-06 14:00:00+00:00,90,0,32,0,1748,31.0,10,-185,49,234,48,2024-04-06
18,2024-04-13,Sat,33,Away,L 1–5,Luton Town,Manchester City,Y,AM,87,0,0,0,0,0,0,0,0,32,1,1,2,0.0,0.0,0.0,0,0,19,22,0,14,0,1,0,249,49,15,16,3,5,1,1,0.0,0,1,0,0,17,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,1,0,5,16,15,1,0,39.0,5.0,0,0,2,1,16,3,0,5,0,0.4,0.8,8.0,2024-04-13 14:00:00+00:00,88,0,33,0,2118,0.0,2,320,472,152,48,2024-04-13
19,2024-04-20,Sat,34,Home,L 1–5,Luton Town,Brentford,Y,"AM,RW,LW",80,0,0,0,0,1,0,0,0,38,0,0,1,0.0,0.0,0.0,2,0,18,31,5,26,1,3,2,316,109,8,14,9,14,1,2,0.0,1,1,2,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,6,14,18,3,100.0,45.0,1,0,3,4,31,6,0,2,0,12.6,2.3,2.0,2024-04-20 14:00:00+00:00,80,0,34,0,2231,8.0,2,84,414,330,48,2024-04-20
20,2024-04-27,Sat,35,Away,L 1–2,Luton Town,Wolves,Y,AM,65,0,0,0,0,1,1,0,0,40,2,2,1,0.0,0.0,0.1,3,0,18,24,4,17,0,2,1,304,66,10,12,7,9,1,2,0.2,1,1,3,1,24,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,3,7,16,17,2,62.0,22.0,1,0,2,2,22,3,0,12,0,21.1,5.7,16.4,2024-04-27 14:00:00+00:00,65,0,35,0,1920,19.0,2,-322,78,400,48,2024-04-27
21,2024-05-11,Sat,37,Away,L 1–3,Luton Town,West Ham,N,CM,52,0,0,0,0,0,0,0,0,23,3,0,0,0.0,0.0,0.0,0,0,11,15,1,15,2,1,0,177,17,5,5,6,8,0,1,0.0,0,0,0,0,14,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,4,3,0,0,3,0,3,7,12,4,2,75.0,44.0,1,0,0,0,13,1,0,6,0,0.5,1.4,9.4,2024-05-11 14:00:00+00:00,51,0,37,0,1831,4.0,1,-169,73,242,48,2024-05-11
22,2024-05-19,Sun,38,Home,L 2–4,Luton Town,Fulham,Y,CM,69,0,0,0,0,3,0,1,0,38,0,1,0,0.1,0.1,0.2,5,0,22,30,4,17,2,2,1,352,63,12,15,9,10,1,3,0.0,2,1,1,0,24,5,1,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,20,15,6,84.0,40.0,2,1,1,0,20,2,0,6,0,21.6,4.7,4.2,2024-05-19 15:00:00+00:00,69,0,38,0,1837,21.0,1,-12,96,108,48,2024-05-19
