,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-08-11,Sat,1,Home,L 1–2,Newcastle Utd,Tottenham,Y,FW,58,1,0,0,0,2,1,1,0,32,1,1,0,0.4,0.4,0.0,1,0,13,24,1,9,1,1,0,229,39,8,15,1,2,3,3,0.1,1,0,1,0,22,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,3,15,14,3,28.0,12.0,1,1,2,2,24,4,1,30,0,15.8,12.2,38.6,2018-08-11 11:30:00+00:00,58,0,1,0,89238,68.0,5,0,0,0,50,2018-08-11
1,2018-08-18,Sat,2,Away,D 0–0,Newcastle Utd,Cardiff City,Y,FW,90,0,0,0,0,3,0,0,0,39,2,0,0,0.2,0.2,0.0,2,0,13,23,0,19,0,1,0,103,19,11,15,0,3,0,0,0.0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,3,3,22,14,4,54.0,17.0,0,0,5,2,30,3,0,4,1,3.7,5.3,7.4,2018-08-18 11:30:00+00:00,90,0,2,0,195889,42.0,2,59971,79969,19998,50,2018-08-18
2,2018-08-26,Sun,3,Home,L 1–2,Newcastle Utd,Chelsea,N,FW,29,1,0,0,0,1,1,0,0,17,2,0,2,0.1,0.1,0.0,0,0,8,10,0,8,0,0,0,96,5,4,5,2,2,1,1,0.0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,2,4,8,5,1,16.0,5.0,1,0,0,1,9,2,2,25,0,0.4,7.2,38.2,2018-08-26 15:00:00+00:00,28,0,3,0,215121,33.0,7,13230,56991,43761,50,2018-08-26
3,2018-09-01,Sat,4,Away,L 1–2,Newcastle Utd,Manchester City,N,FW,18,0,0,0,0,1,1,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,5,1,1,0,0,0,24,21,2,4,0,0,0,0,0.0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,1,1.0,0.0,1,0,1,0,6,0,0,3,0,0.2,2.1,3.4,2018-09-01 16:30:00+00:00,17,0,4,0,274099,17.0,1,43831,78286,34455,50,2018-09-01
4,2018-09-15,Sat,5,Home,L 1–2,Newcastle Utd,Arsenal,Y,FW,90,0,0,0,0,1,1,0,0,42,2,1,0,0.0,0.0,0.0,0,0,17,36,2,9,1,0,0,235,19,10,20,5,6,1,4,0.0,0,0,1,0,36,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,0,1,1,31,10,3,38.0,15.0,0,0,1,3,34,5,0,6,0,2.8,3.5,10.8,2018-09-15 14:00:00+00:00,90,0,5,0,297506,21.0,2,17311,62389,45078,50,2018-09-15
5,2018-09-22,Sat,6,Away,D 0–0,Newcastle Utd,Crystal Palace,N,FW,45,0,0,0,0,2,1,0,0,21,2,0,1,0.1,0.1,0.0,1,0,10,14,0,4,0,0,0,93,33,6,8,2,3,0,1,0.0,0,2,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,2,9,10,3,3.0,2.0,0,0,2,1,18,0,0,1,0,2.7,3.2,6.0,2018-09-22 14:00:00+00:00,45,0,6,0,306555,23.0,1,5919,41005,35086,50,2018-09-22
6,2018-09-29,Sat,7,Home,L 0–2,Newcastle Utd,Leicester City,Y,FW,90,0,0,0,0,1,0,0,0,35,0,0,0,0.1,0.1,0.0,0,0,16,27,0,13,0,0,0,150,24,13,18,1,5,0,0,0.0,0,1,0,0,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,25,5,2,35.0,2.0,0,1,3,3,26,4,0,2,0,1.5,1.2,2.8,2018-09-29 14:00:00+00:00,90,0,7,0,287507,8.0,2,-18761,15356,34117,50,2018-09-29
7,2018-10-06,Sat,8,Away,L 2–3,Newcastle Utd,Manchester Utd,N,FW,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0,41,0,0,0,2,2,0,0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.1,0.0,0.2,2018-10-06 16:30:00+00:00,2,0,8,0,274743,0.0,1,-14728,15137,29865,50,2018-10-06
8,2018-10-20,Sat,9,Home,L 0–1,Newcastle Utd,Brighton,N,FW,17,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,7,0,4,0,1,0,64,0,3,4,1,1,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,14.0,2.0,0,0,0,0,7,1,0,0,0,2.1,0.3,0.0,2018-10-20 14:00:00+00:00,16,0,9,0,251790,3.0,1,-24325,13839,38164,50,2018-10-20
9,2018-11-26,Mon,13,Away,W 2–1,Newcastle Utd,Burnley,N,FW,20,0,0,0,0,3,0,0,0,15,0,1,0,0.5,0.5,0.0,0,0,7,8,1,4,0,1,0,140,19,4,4,1,2,2,2,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,7,6,4,30.0,3.0,0,0,0,0,10,1,0,-1,0,1.7,6.1,1.4,2018-11-26 20:30:00+00:00,19,0,13,0,196951,58.0,1,-10952,5607,16559,49,2018-11-26
