,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Away,L 0–2,Cardiff City,Bournemouth,N,LM,28,0,0,0,0,2,0,0,0,15,0,0,0,0.2,0.2,1.0,2,0,6,10,2,12,3,4,2,90,26,3,3,3,6,0,1,0.0,2,0,0,0,10,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,3,8,2,91.0,59.0,2,1,1,0,13,7,9,0,0,0,4,0,0,6,20.6,2,0,0,0,0,4.7,106,4.4,2,2018-08-11 14:00:00+00:00,11 Aug 15:00,0,0,27,0,0,0,0,2,1,0,14017,2,0,1,22.0,1,0,0,0,50,0,2018-08-11
1,2018-08-18,Sat,2,Home,D 0–0,Cardiff City,Newcastle Utd,Y,LW,77,0,0,0,0,1,0,0,0,37,1,2,1,0.0,0.0,0.1,3,0,19,32,4,24,7,1,1,315,100,10,11,6,9,2,9,0.2,1,1,4,2,30,2,2,1,0,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,6,10,21,0,227.0,141.0,4,0,0,3,26,4,24,0,0,0,10,1,2,16,25.0,1,0,0,0,1,3.4,631,8.4,1,2018-08-18 11:30:00+00:00,18 Aug 12:30,0,0,77,0,2,0,0,4,2,0,12486,2,1,1,1.0,3,-2176,248,2424,50,0,2018-08-18
2,2018-08-25,Sat,3,Away,D 0–0,Cardiff City,Huddersfield,Y,LM,90,0,0,0,0,3,0,0,0,44,1,1,1,0.2,0.2,0.0,2,0,8,20,0,20,2,4,0,115,15,5,9,2,5,1,5,0.0,1,0,0,0,15,5,0,0,0,5,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,9,12,24,4,161.0,78.0,2,2,5,1,21,4,13,0,0,0,6,1,2,6,11.1,2,0,0,0,0,3.6,1158,5.2,1,2018-08-25 14:00:00+00:00,25 Aug 15:00,0,0,90,0,0,0,0,4,3,0,12063,5,1,2,20.0,3,-947,1310,2257,50,0,2018-08-25
3,2018-09-22,Sat,6,Home,L 0–5,Cardiff City,Manchester City,N,RM,16,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,0,5,2,1,0,18,0,2,2,0,1,0,0,0.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,44.0,29.0,0,1,1,0,5,0,2,0,0,0,1,0,0,2,0.3,0,0,0,0,0,0.2,2763,0.0,0,2018-09-22 14:00:00+00:00,22 Sep 15:00,0,0,15,1,0,0,0,0,6,0,7667,1,0,0,2.0,1,-1606,29,1635,48,0,2018-09-22
4,2018-09-30,Sun,7,Home,L 1–2,Cardiff City,Burnley,Y,LM,90,1,0,0,0,6,2,0,0,28,0,0,0,0.4,0.4,0.0,6,0,9,16,0,25,5,5,5,152,39,6,7,2,4,1,2,0.1,1,0,1,1,15,0,0,0,0,5,0,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,18,7,260.0,160.0,3,4,2,3,26,9,10,0,0,1,24,0,0,7,19.2,4,0,0,0,1,11.8,3301,41.0,1,2018-09-30 15:00:00+00:00,30 Sep 16:00,0,0,90,0,2,0,0,2,7,0,7254,3,0,3,58.0,8,-508,91,599,48,0,2018-09-30
5,2018-10-06,Sat,8,Away,L 0–1,Cardiff City,Tottenham,Y,"LM,RM",90,0,0,0,0,3,2,0,0,28,1,0,3,0.5,0.5,0.0,1,0,10,14,1,17,2,2,1,113,37,8,9,2,2,0,0,0.0,0,1,0,0,12,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,3,10,17,4,139.0,23.0,1,2,3,2,20,6,10,0,2,0,-3,0,0,9,3.5,1,0,0,0,1,5.0,3840,6.8,0,2018-10-06 14:00:00+00:00,06 Oct 15:00,0,0,90,0,0,0,0,3,8,0,9978,3,0,1,40.0,2,2317,2956,639,48,0,2018-10-06
6,2018-10-20,Sat,9,Home,W 4–2,Cardiff City,Fulham,Y,LM,81,1,0,0,0,5,2,0,0,34,1,0,2,0.3,0.3,0.0,3,0,7,16,0,17,5,4,1,118,36,3,7,2,5,1,2,0.0,0,0,0,0,16,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,3,13,19,5,137.0,80.0,0,3,3,0,21,4,14,0,0,0,22,0,0,6,1.8,1,0,0,0,1,10.9,4382,33.4,0,2018-10-20 14:00:00+00:00,20 Oct 15:00,0,0,81,0,0,0,0,4,9,0,21326,3,1,2,74.0,7,10124,11910,1786,48,0,2018-10-20
7,2018-10-27,Sat,10,Away,L 1–4,Cardiff City,Liverpool,Y,LM,73,0,0,0,0,0,0,0,0,25,1,2,0,0.0,0.0,0.0,0,0,5,15,1,16,4,4,1,61,27,4,8,1,3,0,2,0.0,0,0,1,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,0,2,7,4,15,0,230.0,86.0,2,0,2,1,16,2,12,0,0,0,4,0,3,5,0.8,2,0,0,0,0,0.8,4928,7.4,0,2018-10-27 14:00:00+00:00,27 Oct 15:00,0,0,73,2,0,0,0,4,10,0,29448,4,0,0,0.0,2,8204,13066,4862,48,0,2018-10-27
8,2018-11-03,Sat,11,Home,L 0–1,Cardiff City,Leicester City,Y,LM,84,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,2,0,5,10,0,17,4,7,3,44,1,5,7,0,2,0,1,0.1,0,0,0,0,10,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,12,4,198.0,126.0,2,4,0,2,15,6,8,0,0,0,2,0,0,5,1.1,2,0,0,0,2,1.4,5476,3.0,0,2018-11-03 15:00:00+00:00,03 Nov 15:00,0,0,84,0,0,0,0,3,11,0,35422,5,0,0,10.0,2,5669,9222,3553,48,0,2018-11-03
9,2018-11-10,Sat,12,Home,W 2–1,Cardiff City,Brighton,Y,"LM,RM",71,0,0,0,0,3,0,0,0,30,1,0,0,0.1,0.1,0.0,1,0,15,20,0,23,2,2,0,167,19,9,9,4,8,0,0,0.0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,12,18,3,145.0,50.0,1,2,2,3,27,11,19,0,0,0,2,0,0,15,3.6,0,0,0,0,0,0.9,6026,0.0,0,2018-11-10 12:30:00+00:00,10 Nov 12:30,0,0,71,0,0,0,0,4,12,0,39833,4,1,3,10.0,2,4047,7040,2993,48,0,2018-11-10
