,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-27,Sun,3,Home,L 1–3,Burnley,Aston Villa,N,FW,10,0,0,0,0,2,0,0,0,4,0,0,0,0.5,0.5,0.0,0,0,1,2,0,2,0,0,0,8,0,1,1,0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2.0,0.0,0,0,0,0,4,1,0,-3,0,0.3,0.1,0.0,2023-08-27 13:00:00+00:00,9,0,3,0,19436,5.0,1,-2622,1189,3811,54,2023-08-27
1,2023-09-23,Sat,6,Home,L 0–1,Burnley,Manchester Utd,N,FW,18,0,0,0,0,1,0,0,0,3,0,0,1,0.1,0.1,0.0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,3.0,0.0,0,0,0,0,2,2,0,2,0,3.0,1.2,4.0,2023-09-23 19:00:00+00:00,17,0,6,0,16977,5.0,1,-861,617,1478,53,2023-09-23
2,2023-09-30,Sat,7,Away,L 0–2,Burnley,Newcastle Utd,N,FW,33,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,3,0,2,0,1,0,23,1,2,2,0,0,0,1,0.0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,8.0,0.0,0,0,0,0,4,1,0,2,0,0.2,0.1,1.2,2023-09-30 14:00:00+00:00,32,0,7,0,17695,0.0,1,237,1580,1343,53,2023-09-30
3,2023-10-03,Tue,2,Away,W 2–1,Burnley,Luton Town,N,FW,11,0,0,0,0,2,0,0,0,9,0,0,1,0.0,0.0,0.0,2,0,5,6,0,7,0,1,1,63,8,4,5,1,1,0,0,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,6,1,18.0,9.0,0,0,0,0,6,1,0,3,0,0.6,0.6,0.0,2023-10-03 18:30:00+00:00,10,0,7,0,17695,6.0,1,237,1580,1343,53,2023-10-03
4,2023-10-28,Sat,10,Away,L 1–2,Burnley,Bournemouth,N,FW,45,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,12,17,1,13,0,0,0,153,24,8,12,2,2,1,1,0.0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,4,14,2,1,24.0,7.0,0,0,1,1,19,1,0,0,0,0.7,0.3,0.6,2023-10-28 14:00:00+00:00,45,0,10,0,16352,2.0,1,-409,472,881,53,2023-10-28
5,2023-11-04,Sat,11,Home,L 0–2,Burnley,Crystal Palace,Y,FW,90,0,0,0,0,3,1,0,0,32,2,1,1,0.4,0.4,0.0,1,0,11,21,1,19,0,1,1,169,20,7,15,2,2,1,2,0.0,1,2,1,0,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,0,1,0,0,0,1,17,14,6,22.0,6.0,0,0,2,0,21,2,0,1,0,12.3,6.9,6.8,2023-11-04 15:00:00+00:00,90,0,11,0,16197,50.0,2,-318,596,914,53,2023-11-04
6,2023-11-11,Sat,12,Away,L 1–3,Burnley,Arsenal,Y,FW,90,0,0,0,0,2,2,0,0,28,1,0,1,0.1,0.1,0.0,0,0,9,16,1,16,0,0,0,112,27,7,11,2,4,0,1,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,0,4,8,11,9,1,55.0,21.0,0,0,1,2,16,2,0,5,0,0.7,3.7,10.6,2023-11-11 15:00:00+00:00,90,0,12,0,16585,26.0,2,186,875,689,53,2023-11-11
7,2023-11-25,Sat,13,Home,L 1–2,Burnley,West Ham,Y,FW,90,1,0,1,1,0,0,0,0,37,4,0,2,0.8,0.0,0.0,1,0,18,22,2,15,0,1,1,206,60,11,11,4,6,1,3,0.0,1,3,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,3,2,0,2,0,0,0,3,30,4,2,66.0,8.0,0,0,6,1,26,5,3,30,0,12.3,7.5,44.0,2023-11-25 15:00:00+00:00,90,0,13,0,17401,19.0,9,503,1500,997,53,2023-11-25
8,2023-12-02,Sat,14,Home,W 5–0,Burnley,Sheffield Utd,Y,FW,76,1,0,0,0,2,1,0,0,34,0,0,1,0.2,0.2,0.0,2,0,20,29,5,11,0,0,0,281,78,12,15,6,8,1,3,0.0,0,2,0,0,29,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,15,15,2,28.0,3.0,0,0,1,0,24,4,0,31,1,3.3,5.7,33.4,2023-12-02 15:00:00+00:00,75,0,14,0,32265,20.0,6,13606,14938,1332,53,2023-12-02
9,2023-12-05,Tue,15,Away,L 0–1,Burnley,Wolves,Y,FW,90,0,0,0,0,1,1,0,0,26,2,0,0,0.4,0.4,0.0,1,0,9,18,0,10,0,0,0,122,23,6,9,2,4,1,5,0.0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,1,7,11,8,2,19.0,12.0,1,0,1,0,18,2,0,6,0,3.3,2.8,5.6,2023-12-05 19:30:00+00:00,90,0,15,0,34283,19.0,2,2169,7053,4884,53,2023-12-05
