,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-09-01,Sat,4,Away,D 1–1,Huddersfield,Everton,N,RM,31,0,0,0,0,1,1,0,0,12,1,0,0,0.0,0.0,0.0,0,0,8,9,1,7,2,0,0,98,28,6,6,0,1,1,1,0.0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,5,1,65.0,35.0,0,0,1,1,9,2,8,0,0,0,1,0,0,8,2.2,0,0,0,0,1,2.4,1795,4.4,0,2018-09-01 14:00:00+00:00,01 Sep 15:00,0,0,30,0,0,0,0,2,4,0,4821,1,0,0,17.0,1,-431,230,661,49,0,2018-09-01
1,2018-09-15,Sat,5,Home,L 0–1,Huddersfield,Crystal Palace,Y,RW,67,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,15,20,1,17,1,1,0,172,37,11,13,2,4,1,2,0.0,0,0,1,1,20,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,10,0,119.0,26.0,0,0,2,0,19,4,18,0,0,0,3,0,0,14,7.2,0,0,0,0,0,0.9,2332,1.6,0,2018-09-15 14:00:00+00:00,15 Sep 15:00,0,0,67,3,1,0,0,2,5,0,4917,1,0,0,0.0,2,-92,437,529,49,0,2018-09-15
2,2018-09-22,Sat,6,Away,L 1–3,Huddersfield,Leicester City,Y,RM,56,0,0,0,0,1,0,0,0,13,1,0,1,0.0,0.0,0.0,1,0,4,8,0,5,1,0,0,64,7,1,3,3,3,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,9,3,1,23.0,15.0,0,0,1,1,8,1,9,0,0,0,-3,0,0,4,0.2,0,0,0,0,4,0.0,2869,0.0,0,2018-09-22 14:00:00+00:00,22 Sep 15:00,0,0,56,0,0,0,0,2,6,0,5229,1,0,1,4.0,1,121,633,512,49,0,2018-09-22
3,2018-12-22,Sat,18,Home,L 1–3,Huddersfield,Southampton,N,RW,26,0,0,0,0,1,0,0,0,22,0,0,0,0.1,0.1,0.0,2,0,15,21,2,16,1,0,0,269,50,8,10,4,6,3,3,0.0,0,1,1,1,21,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,1,76.0,22.0,1,0,0,0,18,5,18,0,0,0,2,0,0,15,7.4,0,0,0,0,0,1.2,9472,0.6,0,2018-12-22 15:00:00+00:00,22 Dec 15:00,0,0,25,1,1,0,0,1,18,0,4578,0,0,1,4.0,1,-63,78,141,48,0,2018-12-22
4,2018-12-26,Wed,19,Away,L 1–3,Huddersfield,Manchester Utd,Y,RW,56,0,0,0,0,1,0,1,0,24,4,1,2,0.0,0.0,0.0,0,0,5,11,0,7,1,1,1,42,14,4,6,0,2,0,1,0.0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,2,0,0,2,1,0,2,10,9,6,0,66.0,54.0,1,0,2,1,8,1,10,0,0,0,-4,0,2,5,1.5,1,0,0,0,4,0.7,10037,4.4,0,2018-12-26 15:00:00+00:00,26 Dec 15:00,0,0,56,0,0,0,0,2,19,0,4551,1,0,1,1.0,0,-51,92,143,48,0,2018-12-26
5,2018-12-29,Sat,20,Away,L 0–1,Huddersfield,Fulham,N,FW,26,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,4,7,0,6,0,0,0,66,23,2,3,2,2,0,0,0.0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,1,24.0,3.0,1,0,1,0,6,1,7,0,0,0,4,0,0,4,10.1,0,0,0,0,0,1.7,10605,4.4,1,2018-12-29 15:00:00+00:00,29 Dec 15:00,0,0,25,0,0,0,0,0,20,0,4648,0,0,0,2.0,1,64,191,127,48,0,2018-12-29
6,2019-01-02,Wed,21,Home,L 1–2,Huddersfield,Burnley,Y,"RW,RB",90,0,0,0,0,1,0,0,0,39,3,0,2,0.0,0.0,0.1,2,0,16,27,3,15,4,3,1,262,73,9,14,4,6,2,2,0.1,1,2,1,1,26,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,4,3,0,2,2,0,0,8,15,16,2,113.0,53.0,1,1,2,1,22,3,24,0,0,0,4,0,1,13,16.9,1,0,0,0,3,4.9,11173,11.6,1,2019-01-02 19:45:00+00:00,02 Jan 19:45,0,0,90,0,1,0,0,3,21,0,4662,3,0,0,20.0,2,5,195,190,48,0,2019-01-02
7,2019-01-12,Sat,22,Away,D 0–0,Huddersfield,Cardiff City,Y,AM,90,0,0,0,0,3,0,0,0,41,1,0,1,0.1,0.1,0.0,1,0,15,28,3,21,3,2,1,205,37,8,14,6,7,1,2,0.0,0,2,0,0,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,4,22,15,1,153.0,62.0,2,1,3,2,30,5,25,0,0,0,1,1,1,14,3.1,1,0,0,0,2,3.6,11743,1.6,0,2019-01-12 15:00:00+00:00,12 Jan 15:00,0,0,90,1,0,0,0,5,22,0,4906,3,0,1,31.0,2,164,463,299,48,0,2019-01-12
8,2019-01-20,Sun,23,Home,L 0–3,Huddersfield,Manchester City,Y,RW,90,0,0,0,0,0,0,0,0,31,4,0,0,0.0,0.0,0.1,3,0,15,20,1,15,1,3,0,211,79,6,9,6,7,1,2,0.1,2,0,1,1,20,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,2,1,0,0,1,0,2,12,13,8,1,98.0,53.0,1,0,0,2,15,4,19,0,0,0,5,0,1,14,25.4,0,0,0,0,0,4.4,12317,16.6,2,2019-01-20 13:30:00+00:00,20 Jan 13:30,0,0,90,1,1,0,0,7,23,0,5241,5,0,0,2.0,2,276,720,444,48,0,2019-01-20
9,2019-01-29,Tue,24,Home,L 0–1,Huddersfield,Everton,Y,"RW,LW",80,0,0,0,0,2,1,0,0,35,1,1,0,0.3,0.3,0.0,0,0,19,25,0,20,0,4,1,237,42,14,17,3,3,1,3,0.0,0,0,1,1,24,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,13,21,2,102.0,23.0,2,0,0,1,26,7,22,0,1,0,0,0,2,17,9.1,1,0,0,0,1,3.7,12896,6.4,0,2019-01-29 19:45:00+00:00,29 Jan 19:45,0,0,80,0,1,0,0,1,24,0,6337,4,0,1,21.0,2,976,1486,510,48,0,2019-01-29
